C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,0,4,2,3,2,1,9564.07510310616,8831.624394322638,3.4200788954635097,2020-09-25,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,9058.531003688428,8831.624394322638,3.4200788954635097,2020-09-26,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8840.310863218318,8831.624394322638,3.4200788954635097,2020-09-27,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8717.422817484705,8831.624394322638,3.4200788954635097,2020-09-28,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8626.267123995096,8831.624394322638,3.4200788954635097,2020-09-29,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8545.778935778748,8831.624394322638,3.4200788954635097,2020-09-30,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8468.984912987013,8831.624394322638,3.4200788954635097,2020-10-01,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8393.580558119878,8664.410887896027,3.4200788954635097,2020-10-02,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8318.808085841156,8558.736185346415,3.4200788954635097,2020-10-03,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8244.422141514686,8473.60922510304,3.4200788954635097,2020-10-04,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8170.347013046436,8395.455538754717,3.4200788954635097,2020-10-05,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8096.563032685562,8319.783525710498,3.4200788954635097,2020-10-06,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,8023.069001110865,8245.110677900799,3.4200788954635097,2020-10-07,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,7949.869632863813,8170.951352168913,3.4200788954635097,2020-10-08,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,8065.401740859595,8124.068663988874,1.9452761341222868,2020-10-09,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,8322.77362048122,8124.635168937453,1.9452761341222868,2020-10-10,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,8680.279164829046,8186.900457982362,1.9452761341222868,2020-10-11,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,9121.829671276491,8322.826552015229,1.9452761341222868,2020-10-12,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,9641.020379737109,8543.463315879735,1.9452761341222868,2020-10-13,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,10235.571177618953,8859.535055380891,1.9452761341222868,2020-10-14,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,10905.329977769494,9281.743676081702,1.9452761341222868,2020-10-15,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,11651.49621758599,9794.042887042617,1.9452761341222868,2020-10-16,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,12476.278385102763,10387.400710559978,1.9452761341222868,2020-10-17,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,13382.717179413316,11059.177569786303,1.9452761341222868,2020-10-18,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,14374.581952756233,11809.570752854836,1.9452761341222868,2020-10-19,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,15456.306351496069,12640.325891677545,1.9452761341222868,2020-10-20,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,16632.947004983576,13554.236724158209,1.9452761341222868,2020-10-21,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,17910.157388952284,14554.926354327175,1.9452761341222868,2020-10-22,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,19294.17217455455,15646.737205322685,1.9452761341222868,2020-10-23,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,20791.79853909128,16834.668655892474,1.9452761341222868,2020-10-24,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,22410.41217274229,18124.33936922518,1.9452761341222868,2020-10-25,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,24157.955944009667,19521.96422511853,1.9452761341222868,2020-10-26,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,26042.9396845758,21034.34041555849,1.9452761341222868,2020-10-27,Argentina,,Plan 1
