,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,3,1,4,2,3,2,2,9401.989409999935,8283.665380384175,62.01,2020-09-25,Argentina,,Plan 1
1,3,3,2,4,2,3,1,4,2,3,2,2,8752.243523839647,8283.665380384175,62.01,2020-09-26,Argentina,,Plan 1
2,3,3,2,4,2,3,1,4,2,3,2,2,8402.536594769601,8283.665380384175,62.01,2020-09-27,Argentina,,Plan 1
3,3,3,2,4,2,3,1,4,2,3,2,2,8156.448560252244,8283.665380384175,62.01,2020-09-28,Argentina,,Plan 1
4,3,3,2,4,2,3,1,4,2,3,2,2,7947.962805102251,8283.665380384175,62.01,2020-09-29,Argentina,,Plan 1
5,3,3,2,4,2,3,1,4,2,3,2,2,7754.857523006412,8283.665380384175,62.01,2020-09-30,Argentina,,Plan 1
6,3,3,2,4,2,3,1,4,2,3,2,2,7569.619245719131,8283.665380384175,62.01,2020-10-01,Argentina,,Plan 1
7,3,3,2,4,2,0,1,4,2,3,2,1,7507.576142280901,8013.0349135671695,49.01,2020-10-02,Argentina,,Plan 1
8,3,3,2,4,2,0,1,4,2,3,2,1,7512.69404422515,7835.956416479385,49.01,2020-10-03,Argentina,,Plan 1
9,3,3,2,4,2,0,1,4,2,3,2,1,7557.710463678814,7715.2669691807005,49.01,2020-10-04,Argentina,,Plan 1
10,3,3,2,4,2,0,1,4,2,3,2,1,7630.433683059308,7640.121986724567,49.01,2020-10-05,Argentina,,Plan 1
11,3,3,2,4,2,0,1,4,2,3,2,1,7724.343943665031,7608.176435090679,49.01,2020-10-06,Argentina,,Plan 1
12,3,3,2,4,2,0,1,4,2,3,2,1,7835.330318177973,7619.672548686614,49.01,2020-10-07,Argentina,,Plan 1
13,3,3,2,4,2,0,1,4,2,3,2,1,7960.498830082055,7675.51248930989,49.01,2020-10-08,Argentina,,Plan 1
14,3,3,2,2,2,0,1,4,2,3,2,1,8140.200319592996,7765.8873717830475,44.01,2020-10-09,Argentina,,Plan 1
15,3,3,2,2,2,0,1,4,2,3,2,1,8367.317024721056,7887.976368996747,44.01,2020-10-10,Argentina,,Plan 1
16,3,3,2,2,2,0,1,4,2,3,2,1,8630.784648043029,8041.272681048778,44.01,2020-10-11,Argentina,,Plan 1
17,3,3,2,2,2,0,1,4,2,3,2,1,8925.33858720034,8226.259095926069,44.01,2020-10-12,Argentina,,Plan 1
18,3,3,2,2,2,0,1,4,2,3,2,1,9248.041653059834,8443.930197268182,44.01,2020-10-13,Argentina,,Plan 1
19,3,3,2,2,2,0,1,4,2,3,2,1,9597.050885878965,8695.60456408261,44.01,2020-10-14,Argentina,,Plan 1
20,3,3,2,2,2,0,1,4,2,3,2,1,9971.145079005624,8982.839742500264,44.01,2020-10-15,Argentina,,Plan 1
21,3,3,2,4,2,0,1,4,2,3,2,1,10319.86745361179,9294.220761645805,49.01,2020-10-16,Argentina,,Plan 1
22,3,3,2,4,2,0,1,4,2,3,2,1,10644.907243347261,9619.590792878122,49.01,2020-10-17,Argentina,,Plan 1
23,3,3,2,4,2,0,1,4,2,3,2,1,10956.173436954978,9951.789191294112,49.01,2020-10-18,Argentina,,Plan 1
24,3,3,2,4,2,0,1,4,2,3,2,1,11258.435605268149,10285.088765303799,49.01,2020-10-19,Argentina,,Plan 1
25,3,3,2,4,2,0,1,4,2,3,2,1,11554.566468796233,10614.592310409,49.01,2020-10-20,Argentina,,Plan 1
26,3,3,2,4,2,0,1,4,2,3,2,1,11846.610867666728,10935.958022092966,49.01,2020-10-21,Argentina,,Plan 1
