C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,1,4,2,3,2,2,9100.199162905814,6620.211996567647,62.01,2021-01-10,Argentina,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,7862.533143436801,6620.211996567647,62.01,2021-01-11,Argentina,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,7029.067695257624,6620.211996567647,62.01,2021-01-12,Argentina,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,6373.071550443412,6620.211996567647,62.01,2021-01-13,Argentina,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,5810.791997558052,6620.211996567647,62.01,2021-01-14,Argentina,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,5309.765272680982,6620.211996567647,62.01,2021-01-15,Argentina,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,4856.055153690833,6620.211996567647,62.01,2021-01-16,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,4550.076700859595,5970.194501989614,49.01,2021-01-17,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,4316.317160548525,5463.59221871986,49.01,2021-01-18,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,4123.947494013499,5048.575047113556,49.01,2021-01-19,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,3958.866193104848,4703.688567493761,49.01,2021-01-20,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,3813.5238406508806,4418.3645450784525,49.01,2021-01-21,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,3683.2296810469397,4186.00231770216,49.01,2021-01-22,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,3564.752373523857,4001.530491964021,49.01,2021-01-23,Argentina,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,3492.004508635366,3850.3773216462737,43.01,2021-01-24,Argentina,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,3446.2211039061517,3726.077884983077,43.01,2021-01-25,Argentina,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,3418.0373770675237,3625.233582562224,43.01,2021-01-26,Argentina,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,3402.502409991749,3545.7530421174956,43.01,2021-01-27,Argentina,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,3396.5689906419793,3486.188063544796,43.01,2021-01-28,Argentina,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,3398.1363471011755,3445.4604444096863,43.01,2021-01-29,Argentina,,Plan 1
3,3,2,2,2,0,1,4,2,3,2,0,3405.6543630269866,3422.7321571958473,43.01,2021-01-30,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3494.358125116232,3423.068388121685,30.0,2021-01-31,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3646.689237215505,3451.7066928801646,30.0,2021-02-01,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3847.4250984413643,3513.04779593357,30.0,2021-02-02,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,4091.416275740378,3611.4640624690883,30.0,2021-02-03,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,4377.402299763979,3751.5831066293736,30.0,2021-02-04,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,4705.865960768352,3938.4016228675428,30.0,2021-02-05,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5078.274410607806,4177.347343950517,30.0,2021-02-06,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,5468.199421150684,4459.324671955438,33.67,2021-02-07,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,5878.2276256594705,4778.115870304576,33.67,2021-02-08,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6313.73987972628,5130.4465533452785,33.67,2021-02-09,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6777.924946540361,5514.233506316706,33.67,2021-02-10,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,7273.365196355079,5927.942491544005,33.67,2021-02-11,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,7802.537331877815,6370.324115988215,33.67,2021-02-12,Argentina,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,8367.975567826037,6840.281424162246,33.67,2021-02-13,Argentina,,Plan 1
3,0,1,0,1,0,0,4,2,3,2,0,9195.588362821498,7372.7655586866495,20.5,2021-02-14,Argentina,,Plan 1
