C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,20593.02202186008,20301.87327489295,0.1238653571428562,2021-04-17,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19980.76025940577,20301.87327489295,0.1238653571428562,2021-04-18,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19938.441175763528,20301.87327489295,0.1238653571428562,2021-04-19,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20080.81954073976,20301.87327489295,0.1238653571428562,2021-04-20,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20283.052159435007,20301.87327489295,0.1238653571428562,2021-04-21,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20504.63492029881,20301.87327489295,0.1238653571428562,2021-04-22,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20732.382846747703,20301.87327489295,0.1238653571428562,2021-04-23,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20852.137969525233,20338.88983884512,0.14124630952380854,2021-04-24,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20912.574997989508,20472.00623007136,0.14124630952380854,2021-04-25,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20934.234312492157,20614.262392461165,0.14124630952380854,2021-04-26,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20927.607081089896,20735.23204108261,0.14124630952380854,2021-04-27,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20899.1202507003,20823.24176840623,0.14124630952380854,2021-04-28,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,20853.240443459094,20873.04255742913,0.14124630952380854,2021-04-29,Argentina,,Plan 1
