C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,20593.02202186008,20301.87327489295,0.1238653571428562,2021-04-17,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19980.760259405768,20301.87327489295,0.1238653571428562,2021-04-18,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19938.441175763528,20301.87327489295,0.1238653571428562,2021-04-19,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20080.819540739758,20301.87327489295,0.1238653571428562,2021-04-20,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20283.052159435007,20301.87327489295,0.1238653571428562,2021-04-21,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20504.63492029881,20301.87327489295,0.1238653571428562,2021-04-22,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20732.382846747703,20301.87327489295,0.1238653571428562,2021-04-23,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,20961.96000309525,20354.57870078369,0.1238653571428562,2021-04-24,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,21191.89594538163,20527.59808449453,0.1238653571428562,2021-04-25,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,21421.64783753913,20739.484750462467,0.1238653571428562,2021-04-26,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,21650.972047996507,20963.792251499148,0.1238653571428562,2021-04-27,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,21879.72071985458,21191.887760130518,0.1238653571428562,2021-04-28,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,22107.7760088149,21420.90791563281,0.1238653571428562,2021-04-29,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,22335.028640306842,21649.85731471269,0.1238653571428562,2021-04-30,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,22725.821804179515,21901.837572010445,0.1166957142857134,2021-05-01,Argentina,,Plan 1
