C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,0,4,2,3,2,3,8280.319801422795,7312.870079974391,3.628560157790926,2020-11-10,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,3,7714.566811982081,7312.870079974391,3.628560157790926,2020-11-11,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,3,7412.5479962988575,7312.870079974391,3.628560157790926,2020-11-12,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,3,7201.431352927784,7312.870079974391,3.628560157790926,2020-11-13,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,3,7023.151716063445,7312.870079974391,3.628560157790926,2020-11-14,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,3,6858.1740155151465,7312.870079974391,3.628560157790926,2020-11-15,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,3,6699.89886561062,7312.870079974391,3.628560157790926,2020-11-16,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,6575.379560685798,7069.3071884405335,3.3158382642998014,2020-11-17,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,6468.34956312792,6891.276152889937,3.3158382642998014,2020-11-18,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,6372.061764893969,6742.635262689239,3.3158382642998014,2020-11-19,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,6283.248655655389,6611.46630593604,3.3158382642998014,2020-11-20,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,6200.033271924617,6493.877956773351,3.3158382642998014,2020-11-21,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,6121.1798976367345,6388.593082790721,3.3158382642998014,2020-11-22,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,6045.803555272434,6295.1508955995505,3.3158382642998014,2020-11-23,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,5973.2416809992965,6209.131198501479,3.3158382642998014,2020-11-24,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,5902.987133463175,6128.365137120802,3.3158382642998014,2020-11-25,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,5834.6473694889755,6051.591652062945,3.3158382642998014,2020-11-26,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,5767.916675936196,5977.972797817348,3.3158382642998014,2020-11-27,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,5702.556059125177,5906.904624560284,3.3158382642998014,2020-11-28,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,5638.378217134166,5837.93295591706,3.3158382642998014,2020-11-29,Argentina,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,5575.236067073921,5770.709029031557,3.3158382642998014,2020-11-30,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,5653.757587521647,5725.0684442490365,1.9452761341222868,2020-12-01,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,5836.133723001122,5715.517957040172,1.9452761341222868,2020-12-02,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,6092.789217251622,5752.395363863407,1.9452761341222868,2020-12-03,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,6412.425652864876,5844.468074853217,1.9452761341222868,2020-12-04,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,6790.737054732197,5999.92250279708,1.9452761341222868,2020-12-05,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,7226.439168804162,6226.788353035649,1.9452761341222868,2020-12-06,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,7719.836848933358,6533.159893301284,1.9452761341222868,2020-12-07,Argentina,,Plan 1
3,1,2,4,2,0,0,4,2,3,2,0,8260.799980692283,6905.594520897089,2.0586061801446407,2020-12-08,Argentina,,Plan 1
3,1,2,4,2,0,0,4,2,3,2,0,8851.245555663707,7336.32478270603,2.0586061801446407,2020-12-09,Argentina,,Plan 1
3,1,2,4,2,0,0,4,2,3,2,0,9495.088725090578,7822.367569540166,2.0586061801446407,2020-12-10,Argentina,,Plan 1
3,1,2,4,2,0,0,4,2,3,2,0,10195.633816964471,8362.825878697251,2.0586061801446407,2020-12-11,Argentina,,Plan 1
3,1,2,4,2,0,0,4,2,3,2,0,10956.2563449603,8957.90006301555,2.0586061801446407,2020-12-12,Argentina,,Plan 1
3,1,2,4,2,0,0,4,2,3,2,0,11780.61330713634,9608.496368491577,2.0586061801446407,2020-12-13,Argentina,,Plan 1
3,1,2,4,2,0,0,4,2,3,2,0,12672.708079677495,10316.049401455024,2.0586061801446407,2020-12-14,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,13696.992035949681,11092.648266491797,1.7391617357001965,2020-12-15,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,14861.361731224759,11951.236291571946,1.7391617357001965,2020-12-16,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,16166.345242432151,12904.272936906458,1.7391617357001965,2020-12-17,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,17619.126756354093,13964.771928247832,1.7391617357001965,2020-12-18,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,19229.898260612958,15146.720773341067,1.7391617357001965,2020-12-19,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,21010.718531390696,16465.307233948835,1.7391617357001965,2020-12-20,Argentina,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,22975.171177982902,17937.087676563893,1.7391617357001965,2020-12-21,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,25255.809336474693,19588.347290924605,1.5145562130177506,2020-12-22,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,27882.650849995352,21448.53145074897,1.5145562130177506,2020-12-23,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,30870.870901432998,23549.177973463386,1.5145562130177506,2020-12-24,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,34249.883339448264,25925.00034247684,1.5145562130177506,2020-12-25,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,38056.468690917434,28614.5104039489,1.5145562130177506,2020-12-26,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,42332.719678118796,31660.510567767204,1.5145562130177506,2020-12-27,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,47125.489887049676,35110.55609763389,1.5145562130177506,2020-12-28,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,51324.373383286664,38834.63667574988,3.1097238658777115,2020-12-29,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,54812.61746566276,42681.77476370237,3.1097238658777115,2020-12-30,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,57726.05276741027,46518.229315984834,3.1097238658777115,2020-12-31,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,60139.93767748949,50216.80850713358,3.1097238658777115,2021-01-01,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,62115.34565506705,53653.790930583535,3.1097238658777115,2021-01-02,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,63708.960859491766,56707.539670779675,3.1097238658777115,2021-01-03,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,64973.67614277229,59257.280564454326,3.1097238658777115,2021-01-04,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,65957.58883718064,61347.739915010614,3.1097238658777115,2021-01-05,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,66703.26890485537,63046.40440632384,3.1097238658777115,2021-01-06,Argentina,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,67247.57760750734,64406.62224062343,3.1097238658777115,2021-01-07,Argentina,,Plan 1
