,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,3,2,4,2,3,2,4,8004.849379406721,6448.333895177692,0.4745260714285701,2020-11-10,Argentina,,Plan 1
1,3,3,2,4,2,3,2,4,2,3,2,4,7202.118659399105,6448.333895177692,0.4745260714285701,2020-11-11,Argentina,,Plan 1
2,3,3,2,4,2,3,2,4,2,3,2,4,6693.937338201,6448.333895177692,0.4745260714285701,2020-11-12,Argentina,,Plan 1
3,3,3,2,4,2,3,2,4,2,3,2,4,6299.348094654625,6448.333895177692,0.4745260714285701,2020-11-13,Argentina,,Plan 1
4,3,3,2,4,2,3,2,4,2,3,2,4,5955.280488510645,6448.333895177692,0.4745260714285701,2020-11-14,Argentina,,Plan 1
5,3,3,2,4,2,3,2,4,2,3,2,4,5639.388968372129,6448.333895177692,0.4745260714285701,2020-11-15,Argentina,,Plan 1
6,3,3,2,4,2,3,2,4,2,3,2,4,5343.41433769962,6448.333895177692,0.4745260714285701,2020-11-16,Argentina,,Plan 1
7,3,0,2,4,2,1,0,4,2,3,2,4,5286.825050658991,6060.044705356589,0.14124630952380854,2020-11-17,Argentina,,Plan 1
8,3,0,2,4,2,1,0,4,2,3,2,4,5359.779384458428,5796.853380365063,0.14124630952380854,2020-11-18,Argentina,,Plan 1
9,3,0,2,4,2,1,0,4,2,3,2,4,5508.117241405563,5627.450509394285,0.14124630952380854,2020-11-19,Argentina,,Plan 1
10,3,0,2,4,2,1,0,4,2,3,2,4,5711.862830177798,5543.524043040453,0.14124630952380854,2020-11-20,Argentina,,Plan 1
11,3,0,2,4,2,1,0,4,2,3,2,4,5962.740902771916,5544.589816506349,0.14124630952380854,2020-11-21,Argentina,,Plan 1
12,3,0,2,4,2,1,0,4,2,3,2,4,6256.814050255367,5632.7933996325255,0.14124630952380854,2020-11-22,Argentina,,Plan 1
13,3,0,2,4,2,1,0,4,2,3,2,4,6592.070674422212,5811.1728763071815,0.14124630952380854,2020-11-23,Argentina,,Plan 1
14,3,0,2,4,2,1,0,4,2,3,2,4,6967.582498267641,6051.281083108418,0.14124630952380854,2020-11-24,Argentina,,Plan 1
15,3,0,2,4,2,1,0,4,2,3,2,4,7383.1627173194365,6340.3358449457055,0.14124630952380854,2020-11-25,Argentina,,Plan 1
16,3,0,2,4,2,1,0,4,2,3,2,4,7839.193716121416,6673.3467699051125,0.14124630952380854,2020-11-26,Argentina,,Plan 1
17,3,0,2,4,2,1,0,4,2,3,2,4,8336.522479316289,7048.298148353468,0.14124630952380854,2020-11-27,Argentina,,Plan 1
18,3,0,2,4,2,1,0,4,2,3,2,4,8876.390800357522,7464.533848008555,0.14124630952380854,2020-11-28,Argentina,,Plan 1
19,3,0,2,4,2,1,0,4,2,3,2,4,9460.386304367788,7922.187027167472,0.14124630952380854,2020-11-29,Argentina,,Plan 1
20,3,0,2,4,2,1,0,4,2,3,2,4,10090.407962496703,8421.9494968924,0.14124630952380854,2020-11-30,Argentina,,Plan 1
21,3,0,2,4,2,1,1,4,2,3,2,4,10742.23033786477,8961.184902549132,0.18035345238095135,2020-12-01,Argentina,,Plan 1
22,3,0,2,4,2,1,1,4,2,3,2,4,11417.999095881734,9537.590099486604,0.18035345238095135,2020-12-02,Argentina,,Plan 1
23,3,0,2,4,2,1,1,4,2,3,2,4,12123.689961617723,10149.660991700363,0.18035345238095135,2020-12-03,Argentina,,Plan 1
24,3,0,2,4,2,1,1,4,2,3,2,4,12862.989612517898,10796.299153586306,0.18035345238095135,2020-12-04,Argentina,,Plan 1
25,3,0,2,4,2,1,1,4,2,3,2,4,13638.861106570414,11476.652054473861,0.18035345238095135,2020-12-05,Argentina,,Plan 1
26,3,0,2,4,2,1,1,4,2,3,2,4,14454.04411362753,12190.03174151097,0.18035345238095135,2020-12-06,Argentina,,Plan 1
27,3,0,2,4,2,1,1,4,2,3,2,4,15311.220443803031,12935.8620959833,0.18035345238095135,2020-12-07,Argentina,,Plan 1
28,3,0,2,4,2,1,2,4,2,3,2,4,16172.887964850717,13711.670328409864,0.21946059523809414,2020-12-08,Argentina,,Plan 1
29,3,0,2,4,2,1,2,4,2,3,2,4,17042.168760218003,14515.12313760076,0.21946059523809414,2020-12-09,Argentina,,Plan 1
30,3,0,2,4,2,1,2,4,2,3,2,4,17927.737862319973,15344.27283770108,0.21946059523809414,2020-12-10,Argentina,,Plan 1
31,3,0,2,4,2,1,2,4,2,3,2,4,18834.560704240568,16197.354422232891,0.21946059523809414,2020-12-11,Argentina,,Plan 1
32,3,0,2,4,2,1,2,4,2,3,2,4,19766.2538329282,17072.696240284004,0.21946059523809414,2020-12-12,Argentina,,Plan 1
33,3,0,2,4,2,1,2,4,2,3,2,4,20725.846175749444,17968.667963444277,0.21946059523809414,2020-12-13,Argentina,,Plan 1
34,3,0,2,4,2,1,2,4,2,3,2,4,21716.038139494744,18883.641919971666,0.21946059523809414,2020-12-14,Argentina,,Plan 1
35,3,0,2,4,2,1,0,4,2,3,2,4,22854.620863953485,19838.175191272057,0.14124630952380854,2020-12-15,Argentina,,Plan 1
36,3,0,2,4,2,1,0,4,2,3,2,4,24138.968865541472,20852.003777746842,0.14124630952380854,2020-12-16,Argentina,,Plan 1
37,3,0,2,4,2,1,0,4,2,3,2,4,25553.35488484733,21941.37763810789,0.14124630952380854,2020-12-17,Argentina,,Plan 1
38,3,0,2,4,2,1,0,4,2,3,2,4,27093.89754918786,23121.28290167179,0.14124630952380854,2020-12-18,Argentina,,Plan 1
39,3,0,2,4,2,1,0,4,2,3,2,4,28761.125520576727,24406.264571335865,0.14124630952380854,2020-12-19,Argentina,,Plan 1
40,3,0,2,4,2,1,0,4,2,3,2,4,30557.50218431529,25810.786858273845,0.14124630952380854,2020-12-20,Argentina,,Plan 1
41,3,0,2,4,2,1,0,4,2,3,2,4,32486.557540530073,27349.432486993177,0.14124630952380854,2020-12-21,Argentina,,Plan 1
42,3,0,2,4,2,1,0,4,2,3,2,4,34552.546341204645,29020.564698029055,0.14124630952380854,2020-12-22,Argentina,,Plan 1
43,3,0,2,4,2,1,0,4,2,3,2,4,36760.28318251531,30823.60960045389,0.14124630952380854,2020-12-23,Argentina,,Plan 1
44,3,0,2,4,2,1,0,4,2,3,2,4,39115.03986459358,32760.993168989073,0.14124630952380854,2020-12-24,Argentina,,Plan 1
45,3,0,2,4,2,1,0,4,2,3,2,4,41622.4663235727,34836.50299390119,0.14124630952380854,2020-12-25,Argentina,,Plan 1
46,3,0,2,4,2,1,0,4,2,3,2,4,44288.52048519465,37054.70227456089,0.14124630952380854,2020-12-26,Argentina,,Plan 1
47,3,0,2,4,2,1,0,4,2,3,2,4,47119.40103245335,39420.6878242949,0.14124630952380854,2020-12-27,Argentina,,Plan 1
48,3,0,2,4,2,1,0,4,2,3,2,4,50121.479754886735,41939.96242634585,0.14124630952380854,2020-12-28,Argentina,,Plan 1
49,3,2,2,4,2,1,1,4,2,3,2,4,52696.39089159871,44531.94021925929,0.327222499999999,2020-12-29,Argentina,,Plan 1
50,3,2,2,4,2,1,1,4,2,3,2,4,54849.91938304726,47116.17396219243,0.327222499999999,2020-12-30,Argentina,,Plan 1
51,3,2,2,4,2,1,1,4,2,3,2,4,56690.16584771219,49626.90624549508,0.327222499999999,2020-12-31,Argentina,,Plan 1
52,3,2,2,4,2,1,1,4,2,3,2,4,58275.59605468427,52005.92477851103,0.327222499999999,2021-01-01,Argentina,,Plan 1
53,3,2,2,4,2,1,1,4,2,3,2,4,59646.78698693976,54199.962850188895,0.327222499999999,2021-01-02,Argentina,,Plan 1
54,3,2,2,4,2,1,1,4,2,3,2,4,60835.93845006197,56159.46819556155,0.327222499999999,2021-01-03,Argentina,,Plan 1
55,3,2,2,4,2,1,1,4,2,3,2,4,61869.841703318336,57837.805616766076,0.327222499999999,2021-01-04,Argentina,,Plan 1
56,3,2,2,4,2,1,1,4,2,3,2,4,62770.9934248796,59277.034550091914,0.327222499999999,2021-01-05,Argentina,,Plan 1
57,3,2,2,4,2,1,1,4,2,3,2,4,63558.208540317246,60521.07585827335,0.327222499999999,2021-01-06,Argentina,,Plan 1
58,3,2,2,4,2,1,1,4,2,3,2,4,64247.1123649497,61600.63964645012,0.327222499999999,2021-01-07,Argentina,,Plan 1
59,3,2,2,4,2,1,1,4,2,3,2,4,64850.58886717363,62539.924333948606,0.327222499999999,2021-01-08,Argentina,,Plan 1
60,3,2,2,4,2,1,1,4,2,3,2,4,65379.194827457046,63358.83973973679,0.327222499999999,2021-01-09,Argentina,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,8004.849379406721,6448.333895177692,0.4745260714285701,2020-11-10,Argentina,,Plan 2
