C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,2,4,2,3,2,4,8004.849379406721,6448.333895177691,0.4745260714285701,2020-11-10,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,7202.118659399105,6448.333895177691,0.4745260714285701,2020-11-11,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,6693.937338201,6448.333895177691,0.4745260714285701,2020-11-12,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,6299.348094654625,6448.333895177691,0.4745260714285701,2020-11-13,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,5955.280488510644,6448.333895177691,0.4745260714285701,2020-11-14,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,5639.388968372129,6448.333895177691,0.4745260714285701,2020-11-15,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,5343.414337699621,6448.333895177691,0.4745260714285701,2020-11-16,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,5063.987340190241,6028.210746718195,0.4745260714285701,2020-11-17,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,4799.452328166186,5684.972699399206,0.4745260714285701,2020-11-18,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,4548.769461842868,5378.520145633759,0.4745260714285701,2020-11-19,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,4311.13477397401,5094.489671250814,0.4745260714285701,2020-11-20,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,4085.847741459833,4827.427850243555,0.4745260714285701,2020-11-21,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,3872.264614446371,4574.981513968448,0.4745260714285701,2020-11-22,Argentina,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,3669.781291116533,4335.891078742292,0.4745260714285701,2020-11-23,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,3609.83542293008,4128.155090562269,0.1412463095238085,2020-11-24,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,3634.326037650661,3961.70847763148,0.1412463095238085,2020-11-25,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,3711.532161012805,3842.1031489414704,0.1412463095238085,2020-11-26,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,3828.385949224373,3773.1390311200935,0.1412463095238085,2020-11-27,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,3978.86047801257,3757.855136341913,0.1412463095238085,2020-11-28,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,4159.823735718689,3798.9350108093863,0.1412463095238085,2020-11-29,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,4369.541463043997,3898.900749656168,0.1412463095238085,2020-11-30,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,4607.097744044138,4041.366795529605,0.1412463095238085,2020-12-01,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,4872.138533647844,4218.197152100632,0.1412463095238085,2020-12-02,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,5164.736677229036,4425.797797274378,0.1412463095238085,2020-12-03,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,5485.31101013394,4662.501377404316,0.1412463095238085,2020-12-04,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,5834.572006749174,4927.603024366688,0.1412463095238085,2020-12-05,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,6213.484715943545,5220.98316439881,0.1412463095238085,2020-12-06,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,6623.242893962259,5542.940511672848,0.1412463095238085,2020-12-07,Argentina,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,7065.251122322718,5894.105279998359,0.1412463095238085,2020-12-08,Argentina,,Plan 1
