,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,3,1,4,2,3,2,1,8241.589022917078,7186.04411772521,61.01,2020-11-10,Argentina,,Plan 1
1,3,3,2,4,2,3,1,4,2,3,2,1,7641.884138924279,7186.04411772521,61.01,2020-11-11,Argentina,,Plan 1
2,3,3,2,4,2,3,1,4,2,3,2,1,7309.508607903584,7186.04411772521,61.01,2020-11-12,Argentina,,Plan 1
3,3,3,2,4,2,3,1,4,2,3,2,1,7070.538185024246,7186.04411772521,61.01,2020-11-13,Argentina,,Plan 1
4,3,3,2,4,2,3,1,4,2,3,2,1,6866.284661128715,7186.04411772521,61.01,2020-11-14,Argentina,,Plan 1
5,3,3,2,4,2,3,1,4,2,3,2,1,6676.8958293377955,7186.04411772521,61.01,2020-11-15,Argentina,,Plan 1
6,3,3,2,4,2,3,1,4,2,3,2,1,6495.608378840774,7186.04411772521,61.01,2020-11-16,Argentina,,Plan 1
7,3,3,2,4,2,0,1,4,2,3,2,1,6425.741707819246,6926.63735842552,49.01,2020-11-17,Argentina,,Plan 1
8,3,3,2,4,2,0,1,4,2,3,2,1,6414.468154380709,6751.2922177764385,49.01,2020-11-18,Argentina,,Plan 1
9,3,3,2,4,2,0,1,4,2,3,2,1,6437.723757120462,6626.751524807421,49.01,2020-11-19,Argentina,,Plan 1
10,3,3,2,4,2,0,1,4,2,3,2,1,6484.7372254103675,6543.065673434009,49.01,2020-11-20,Argentina,,Plan 1
11,3,3,2,4,2,0,1,4,2,3,2,1,6549.745213053471,6497.845752280404,49.01,2020-11-21,Argentina,,Plan 1
12,3,3,2,4,2,0,1,4,2,3,2,1,6629.111071038344,6491.019358237624,49.01,2020-11-22,Argentina,,Plan 1
13,3,3,2,4,2,0,1,4,2,3,2,1,6720.272314014584,6523.114206119598,49.01,2020-11-23,Argentina,,Plan 1
14,3,3,2,3,2,0,1,4,2,3,2,2,6835.317872920858,6581.625086848399,47.51,2020-11-24,Argentina,,Plan 1
15,3,3,2,3,2,0,1,4,2,3,2,2,6970.333780390911,6661.034461992714,47.51,2020-11-25,Argentina,,Plan 1
16,3,3,2,3,2,0,1,4,2,3,2,2,7120.925268760564,6758.6346779413,47.51,2020-11-26,Argentina,,Plan 1
17,3,3,2,3,2,0,1,4,2,3,2,2,7284.664329645251,6872.909978546283,47.51,2020-11-27,Argentina,,Plan 1
18,3,3,2,3,2,0,1,4,2,3,2,2,7459.982469711641,7002.943872354593,47.51,2020-11-28,Argentina,,Plan 1
19,3,3,2,3,2,0,1,4,2,3,2,2,7645.761312964042,7148.179621201122,47.51,2020-11-29,Argentina,,Plan 1
20,3,3,2,3,2,0,1,4,2,3,2,2,7841.163320820994,7308.306907887752,47.51,2020-11-30,Argentina,,Plan 1
21,3,3,2,2,2,0,1,4,2,3,2,0,8083.273108837689,7486.586227304441,43.01,2020-12-01,Argentina,,Plan 1
22,3,3,2,2,2,0,1,4,2,3,2,0,8366.990214023732,7686.108574966273,43.01,2020-12-02,Argentina,,Plan 1
23,3,3,2,2,2,0,1,4,2,3,2,0,8684.412905602341,7909.4639516579555,43.01,2020-12-03,Argentina,,Plan 1
24,3,3,2,2,2,0,1,4,2,3,2,0,9032.035790519481,8159.088446068561,43.01,2020-12-04,Argentina,,Plan 1
25,3,3,2,2,2,0,1,4,2,3,2,0,9408.080997604717,8437.388235767572,43.01,2020-12-05,Argentina,,Plan 1
26,3,3,2,2,2,0,1,4,2,3,2,0,9811.571725804572,8746.789723316218,43.01,2020-12-06,Argentina,,Plan 1
27,3,3,2,2,2,0,1,4,2,3,2,0,10241.98697628631,9089.764531239834,43.01,2020-12-07,Argentina,,Plan 1
28,3,3,2,2,2,0,0,4,2,3,2,0,10726.76159428423,9467.405743446483,41.01,2020-12-08,Argentina,,Plan 1
29,3,3,2,2,2,0,0,4,2,3,2,0,11264.24888832342,9881.29983977501,41.01,2020-12-09,Argentina,,Plan 1
30,3,3,2,2,2,0,0,4,2,3,2,0,11850.185862870507,10333.553119384747,41.01,2020-12-10,Argentina,,Plan 1
31,3,3,2,2,2,0,0,4,2,3,2,0,12483.404362679506,10826.605772550465,41.01,2020-12-11,Argentina,,Plan 1
32,3,3,2,2,2,0,0,4,2,3,2,0,13163.990409212405,11363.164259922993,41.01,2020-12-12,Argentina,,Plan 1
33,3,3,2,2,2,0,0,4,2,3,2,0,13892.656644623423,11946.17639118283,41.01,2020-12-13,Argentina,,Plan 1
34,3,3,2,2,2,0,0,4,2,3,2,0,14670.512365273784,12578.822875323896,41.01,2020-12-14,Argentina,,Plan 1
35,3,1,2,2,2,0,0,4,2,3,2,0,15642.549249562919,13281.078254649425,33.67,2020-12-15,Argentina,,Plan 1
36,3,1,2,2,2,0,0,4,2,3,2,0,16808.592055159974,14073.127278483216,33.67,2020-12-16,Argentina,,Plan 1
37,3,1,2,2,2,0,0,4,2,3,2,0,18154.140795205316,14973.69226881676,33.67,2020-12-17,Argentina,,Plan 1
38,3,1,2,2,2,0,0,4,2,3,2,0,19680.864068801642,16001.90079826278,33.67,2020-12-18,Argentina,,Plan 1
39,3,1,2,2,2,0,0,4,2,3,2,0,21397.007033628066,17178.04603032216,33.67,2020-12-19,Argentina,,Plan 1
40,3,1,2,2,2,0,0,4,2,3,2,0,23314.239426535976,18523.98642773824,33.67,2020-12-20,Argentina,,Plan 1
41,3,1,2,2,2,0,0,4,2,3,2,0,25446.604022272182,20063.428093023726,33.67,2020-12-21,Argentina,,Plan 1
42,3,2,2,2,2,0,1,4,2,3,2,0,27630.11747211614,21775.937839102757,39.34,2020-12-22,Argentina,,Plan 1
43,3,2,2,2,2,0,1,4,2,3,2,0,29864.939240319145,23641.130294125494,39.34,2020-12-23,Argentina,,Plan 1
44,3,2,2,2,2,0,1,4,2,3,2,0,32182.414433831906,25645.16938535787,39.34,2020-12-24,Argentina,,Plan 1
45,3,2,2,2,2,0,1,4,2,3,2,0,34599.46521793507,27776.398120948354,39.34,2020-12-25,Argentina,,Plan 1
46,3,2,2,2,2,0,1,4,2,3,2,0,37128.477432945685,30023.751035136585,39.34,2020-12-26,Argentina,,Plan 1
47,3,2,2,2,2,0,1,4,2,3,2,0,39780.306776824196,32376.046370892047,39.34,2020-12-27,Argentina,,Plan 1
48,3,2,2,2,2,0,1,4,2,3,2,0,42565.18567280675,34821.55803525412,39.34,2020-12-28,Argentina,,Plan 1
49,3,3,2,4,2,0,1,4,2,3,2,1,45030.500379074845,37307.32702196251,49.01,2020-12-29,Argentina,,Plan 1
50,3,3,2,4,2,0,1,4,2,3,2,1,47174.73448419587,39780.154913944905,49.01,2020-12-30,Argentina,,Plan 1
51,3,3,2,4,2,0,1,4,2,3,2,1,49078.23520569576,42193.84359563974,49.01,2020-12-31,Argentina,,Plan 1
52,3,3,2,4,2,0,1,4,2,3,2,1,50784.83058768131,44506.038648460635,49.01,2021-01-01,Argentina,,Plan 1
53,3,3,2,4,2,0,1,4,2,3,2,1,52325.39181927697,46677.02641793653,49.01,2021-01-02,Argentina,,Plan 1
54,3,3,2,4,2,0,1,4,2,3,2,1,53724.74507609444,48669.08903211799,49.01,2021-01-03,Argentina,,Plan 1
55,3,3,2,4,2,0,1,4,2,3,2,1,55003.74848796937,50446.026577141216,49.01,2021-01-04,Argentina,,Plan 1
56,3,3,2,4,2,0,1,4,2,3,2,1,56180.01965575065,52038.81504523777,49.01,2021-01-05,Argentina,,Plan 1
57,3,3,2,4,2,0,1,4,2,3,2,1,57268.341297433464,53480.75887570028,49.01,2021-01-06,Argentina,,Plan 1
58,3,3,2,4,2,0,1,4,2,3,2,1,58280.993304888456,54795.43860415638,49.01,2021-01-07,Argentina,,Plan 1
59,3,3,2,4,2,0,1,4,2,3,2,1,59228.072105756146,56001.615963881355,49.01,2021-01-08,Argentina,,Plan 1
60,3,3,2,4,2,0,1,4,2,3,2,1,60117.795867238034,57114.81654216151,49.01,2021-01-09,Argentina,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,8004.849379406721,6448.333895177692,78.00999999999999,2020-11-10,Argentina,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,7202.118659399105,6448.333895177692,78.00999999999999,2020-11-11,Argentina,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,6693.937338201,6448.333895177692,78.00999999999999,2020-11-12,Argentina,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,6299.348094654625,6448.333895177692,78.00999999999999,2020-11-13,Argentina,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,5955.280488510645,6448.333895177692,78.00999999999999,2020-11-14,Argentina,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,5639.388968372129,6448.333895177692,78.00999999999999,2020-11-15,Argentina,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,5343.41433769962,6448.333895177692,78.00999999999999,2020-11-16,Argentina,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,5063.987340190241,6028.210746718195,78.00999999999999,2020-11-17,Argentina,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,4799.452328166186,5684.972699399207,78.00999999999999,2020-11-18,Argentina,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,4548.769461842868,5378.520145633759,78.00999999999999,2020-11-19,Argentina,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,4311.13477397401,5094.489671250814,78.00999999999999,2020-11-20,Argentina,,Plan 2
