C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,1,1,4,2,3,2,1,8549.202798418086,8243.508119875838,53.01,2020-11-10,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8224.851914675151,8243.508119875838,53.01,2020-11-11,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8146.130713937159,8243.508119875838,53.01,2020-11-12,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8147.661429707517,8243.508119875838,53.01,2020-11-13,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8175.315077991117,8243.508119875838,53.01,2020-11-14,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8211.370938952348,8243.508119875838,53.01,2020-11-15,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8250.023965449493,8243.508119875838,53.01,2020-11-16,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8289.369206882711,8206.389035370787,53.01,2020-11-17,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8328.778131623561,8221.235637791988,53.01,2020-11-18,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8368.04012860377,8252.936982744359,53.01,2020-11-19,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8407.081313634491,8289.996966162498,53.01,2020-11-20,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8445.872573014694,8328.648036880153,53.01,2020-11-21,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8484.399515332307,8367.652119220147,53.01,2020-11-22,Argentina,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,1,8522.652471971893,8406.599048723347,53.01,2020-11-23,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,8815.640948332224,8481.780726073277,31.0,2020-11-24,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,9314.061174325794,8622.53544645931,31.0,2020-11-25,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,9970.553993042757,8851.465998522022,31.0,2020-11-26,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,10772.973539901435,9189.450602274444,31.0,2020-11-27,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,11722.54848096268,9657.54716055273,31.0,2020-11-28,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,12826.562906181409,10277.856216388314,31.0,2020-11-29,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,14095.920795410942,11074.037405451036,31.0,2020-11-30,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,15544.336261466882,12035.2795930417,31.0,2020-12-01,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,17188.085050011232,13160.140146711045,31.0,2020-12-02,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,19045.96721863108,14456.62775036652,31.0,2020-12-03,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,21139.36612034053,15937.540976143537,31.0,2020-12-04,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,23492.359284071896,17618.942519444852,31.0,2020-12-05,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,26131.864181504214,19519.69984449097,31.0,2020-12-06,Argentina,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,29087.806519583515,21661.39780508705,31.0,2020-12-07,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,31788.00681661428,23981.922170108104,49.01,2020-12-08,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,34168.283182144034,26407.664760412797,49.01,2020-12-09,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,36300.04171552559,28872.53254568344,49.01,2020-12-10,Argentina,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,38219.28913798399,31312.521548203928,49.01,2020-12-11,Argentina,,Plan 1
