C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,0,2,0,0,4,2,3,2,0,1093.7078430165534,1079.1754638808798,1.1075871137409594,2020-04-01,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1062.5181947451094,1079.1754638808798,1.1075871137409594,2020-04-02,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1060.4607805143546,1079.1754638808798,1.1075871137409594,2020-04-03,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1067.8177362644751,1079.1754638808798,1.1075871137409594,2020-04-04,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1078.2641853168002,1079.1754638808798,1.1075871137409594,2020-04-05,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1089.771266918978,1079.1754638808798,1.1075871137409594,2020-04-06,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1101.6882403898867,1079.1754638808798,1.1075871137409594,2020-04-07,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1113.806434163672,1082.0466911876108,1.1075871137409594,2020-04-08,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1126.05896167152,1091.1239436056696,1.1075871137409594,2020-04-09,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1138.4244238397828,1102.2616069378737,1.1075871137409594,2020-04-10,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1150.895989930332,1114.129928890139,1.1075871137409594,2020-04-11,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1163.4714874193096,1126.3024006190687,1.1075871137409594,2020-04-12,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1176.1502251242998,1138.6422517912574,1.1075871137409594,2020-04-13,Belgium,,Plan 1
2,0,2,0,2,0,0,4,2,3,2,0,1188.9319711063056,1151.1056418936032,1.1075871137409594,2020-04-14,Belgium,,Plan 1
0,0,0,0,0,0,0,0,0,0,0,0,1218.9277625153873,1166.1229745152768,0.0,2020-04-15,Belgium,,Plan 1
