,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,1049.9370172919841,920.0316254990119,0.12386535714285621,2020-04-01,Belgium,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,977.7870968720883,920.0316254990119,0.12386535714285621,2020-04-02,Belgium,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,936.86122769364,920.0316254990119,0.12386535714285621,2020-04-03,Belgium,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,906.671214604992,920.0316254990119,0.12386535714285621,2020-04-04,Belgium,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,880.4595370154991,920.0316254990119,0.12386535714285621,2020-04-05,Belgium,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,855.9899873357047,920.0316254990119,0.12386535714285621,2020-04-06,Belgium,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,832.5152976791749,920.0316254990119,0.12386535714285621,2020-04-07,Belgium,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,809.7787429933784,885.723300599211,0.12386535714285621,2020-04-08,Belgium,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,787.6853608903915,858.5659097446829,0.12386535714285621,2020-04-09,Belgium,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,766.1936944188586,834.1848335625713,0.12386535714285621,2020-04-10,Belgium,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,745.2801385983053,811.1289655616159,0.12386535714285621,2020-04-11,Belgium,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,724.9271997185826,788.9100602334851,0.12386535714285621,2020-04-12,Belgium,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,705.1196159116362,767.3571500300467,0.12386535714285621,2020-04-13,Belgium,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,685.8430846973168,746.4039767469242,0.12386535714285621,2020-04-14,Belgium,,Plan 1
14,3,0,2,4,2,0,0,1,2,3,2,4,673.8614391552206,726.9872190557588,0.08671357142857071,2020-04-15,Belgium,,Plan 1
15,3,0,2,4,2,0,0,1,2,3,2,4,666.2228929000017,709.6354379142747,0.08671357142857071,2020-04-16,Belgium,,Plan 1
16,3,0,2,4,2,0,0,1,2,3,2,4,661.5221636102134,694.6823620844681,0.08671357142857071,2020-04-17,Belgium,,Plan 1
17,3,0,2,4,2,0,0,1,2,3,2,4,658.9735209396148,682.3528452760838,0.08671357142857071,2020-04-18,Belgium,,Plan 1
18,3,0,2,4,2,0,0,1,2,3,2,4,658.0713654899625,672.8020118148523,0.08671357142857071,2020-04-19,Belgium,,Plan 1
19,3,0,2,4,2,0,0,1,2,3,2,4,658.4581690296409,666.1360908317101,0.08671357142857071,2020-04-20,Belgium,,Plan 1
20,3,0,2,4,2,0,0,1,2,3,2,4,659.8671771442911,662.4252468955635,0.08671357142857071,2020-04-21,Belgium,,Plan 1
21,3,0,2,4,2,0,0,4,2,3,2,4,655.8268874256362,659.8488823627658,0.12386535714285621,2020-04-22,Belgium,,Plan 1
22,3,0,2,4,2,0,0,4,2,3,2,4,648.5084329589872,657.3182452283352,0.12386535714285621,2020-04-23,Belgium,,Plan 1
23,3,0,2,4,2,0,0,4,2,3,2,4,638.9807591901188,654.0980445968931,0.12386535714285621,2020-04-24,Belgium,,Plan 1
24,3,0,2,4,2,0,0,4,2,3,2,4,627.8903726910196,649.6575948470937,0.12386535714285621,2020-04-25,Belgium,,Plan 1
25,3,0,2,4,2,0,0,4,2,3,2,4,615.6877185085539,643.6027881354639,0.12386535714285621,2020-04-26,Belgium,,Plan 1
26,3,0,2,4,2,0,0,4,2,3,2,4,602.7098589783855,635.6387438424274,0.12386535714285621,2020-04-27,Belgium,,Plan 1
