C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,0,2,3,2,4,1104.6078932061678,1122.3125544480245,0.0743296428571422,2020-04-01,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1084.01226095797,1122.3125544480245,0.0743296428571422,2020-04-02,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1092.4863787424058,1122.3125544480245,0.0743296428571422,2020-04-03,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1110.5154610640532,1122.3125544480245,0.0743296428571422,2020-04-04,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1131.8826355779504,1122.3125544480245,0.0743296428571422,2020-04-05,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1154.6103896954214,1122.3125544480245,0.0743296428571422,2020-04-06,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1178.0728618922028,1122.3125544480245,0.0743296428571422,2020-04-07,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1202.0751443432532,1136.236447467608,0.0743296428571422,2020-04-08,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1226.559741299946,1156.6003732307474,0.0743296428571422,2020-04-09,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1251.5130049028428,1179.3184626822383,0.0743296428571422,2020-04-10,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1276.9352823177187,1203.092722861334,0.0743296428571422,2020-04-11,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1302.8314044452811,1227.5139755566663,0.0743296428571422,2020-04-12,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1329.2076512936294,1252.4564414992674,0.0743296428571422,2020-04-13,Belgium,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,1356.070765377991,1277.8847134258087,0.0743296428571422,2020-04-14,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1393.8562739714284,1305.2820176584053,0.0505394642857138,2020-04-15,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1439.2768566610143,1335.670176995701,0.0505394642857138,2020-04-16,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1490.944397511339,1369.8746616540575,0.0505394642857138,2020-04-17,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1548.1790185793122,1408.6237668342849,0.0505394642857138,2020-04-18,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1610.6000603257198,1452.5907176743478,0.0505394642857138,2020-04-19,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1677.9783976902845,1502.4151100167269,0.0505394642857138,2020-04-20,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1750.1775191418535,1558.716074840136,0.0505394642857138,2020-04-21,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1827.12613364686,1620.611769079483,0.0505394642857138,2020-04-22,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1908.8029902790909,1687.6869310249228,0.0505394642857138,2020-04-23,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,1995.2271496969136,1759.7273241942908,0.0505394642857138,2020-04-24,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2086.451112416785,1836.623337599644,0.0505394642857138,2020-04-25,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2182.5557007527545,1918.3312862320768,0.0505394642857138,2020-04-26,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2283.646125517363,2004.855247350232,0.0505394642857138,2020-04-27,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2389.848902211485,2096.236873503036,0.0505394642857138,2020-04-28,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2501.309407131669,2192.548769715152,0.0505394642857138,2020-04-29,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2618.189921648053,2293.8897599107177,0.0505394642857138,2020-04-30,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2740.668041154688,2400.3813158332573,0.0505394642857138,2020-05-01,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,2868.935374831476,2512.1647818924985,0.0505394642857138,2020-05-02,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3003.196477593644,2629.3991785840544,0.0505394642857138,2020-05-03,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3143.667953262562,2752.259439690511,0.0505394642857138,2020-05-04,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3290.577688725531,2880.934980621089,0.0505394642857138,2020-05-05,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3444.164191768632,3015.628521283513,0.0505394642857138,2020-05-06,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3604.676004157089,3156.555104499089,0.0505394642857138,2020-05-07,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3772.371163237233,3303.9412647965946,0.0505394642857138,2020-05-08,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,3947.516698153679,3458.024310985481,0.0505394642857138,2020-05-09,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4130.388139075453,3619.051691197168,0.0505394642857138,2020-05-10,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4321.26903000166,3787.280416445611,0.0505394642857138,2020-05-11,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4520.450421968818,3962.976521194652,0.0505394642857138,2020-05-12,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4728.230341167074,4146.414542537285,0.0505394642857138,2020-05-13,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,4944.913258216224,4337.877007402877,0.0505394642857138,2020-05-14,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5170.809366483802,4537.653893580959,0.0505394642857138,2020-05-15,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5406.234006932995,4746.042080549431,0.0505394642857138,2020-05-16,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5651.506887310909,4963.344758868783,0.0505394642857138,2020-05-17,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,5906.951259085763,5189.870791595083,0.0505394642857138,2020-05-18,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,6172.893005617541,5425.934017830616,0.0505394642857138,2020-05-19,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,6449.659632825767,5671.85248806757,0.0505394642857138,2020-05-20,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,6737.579156906056,5927.947616451834,0.0505394642857138,2020-05-21,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,7036.978992890436,6194.543277367066,0.0505394642857138,2020-05-22,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,7348.184238904998,6471.964739077353,0.0505394642857138,2020-05-23,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,7671.516544957901,6760.537547312638,0.0505394642857138,2020-05-24,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,8007.29236942141,7060.586277360586,0.0505394642857138,2020-05-25,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,8355.821205455331,7372.433163051699,0.0505394642857138,2020-05-26,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,8717.403652382018,7696.396594416878,0.0505394642857138,2020-05-27,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,9092.329325865412,8032.789475696786,0.0505394642857138,2020-05-28,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,9480.874475706654,8381.917401813389,0.0505394642857138,2020-05-29,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,9883.299933475291,8744.076786751999,0.0505394642857138,2020-05-30,Belgium,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,10299.848137146157,9119.55272849318,0.0505394642857138,2020-05-31,Belgium,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,1090.810875585194,1067.9544007029276,0.0867135714285707,2020-04-01,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1056.8319768902368,1067.9544007029276,0.0867135714285707,2020-04-02,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1052.0333588372932,1067.9544007029276,0.0867135714285707,2020-04-03,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1056.644933298968,1067.9544007029276,0.0867135714285707,2020-04-04,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1064.3142268819038,1067.9544007029276,0.0867135714285707,2020-04-05,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1072.9998350204282,1067.9544007029276,0.0867135714285707,2020-04-06,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1082.045598406472,1067.9544007029276,0.0867135714285707,2020-04-07,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1091.2404557533855,1068.0157692983842,0.0867135714285707,2020-04-08,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1100.5163438052496,1074.2563931433856,0.0867135714285707,2020-04-09,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1109.851156560074,1082.5160785323544,0.0867135714285707,2020-04-10,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1119.237535511992,1091.4578788485007,0.0867135714285707,2020-04-11,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1128.6728566492122,1100.6519688152594,0.0867135714285707,2020-04-12,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1138.1560053264536,1109.9599931446912,0.0867135714285707,2020-04-13,Belgium,,Plan 2
3,0,2,4,2,0,0,1,2,3,2,4,1147.6863409049938,1119.3372420730516,0.0867135714285707,2020-04-14,Belgium,,Plan 2
2,0,2,1,2,0,0,0,2,3,2,4,1169.8623723420617,1130.5689444428626,0.0505394642857138,2020-04-15,Belgium,,Plan 2
2,0,2,1,2,0,0,0,2,3,2,4,1200.380178066886,1144.8352064802389,0.0505394642857138,2020-04-16,Belgium,,Plan 2
2,0,2,1,2,0,0,0,2,3,2,4,1237.3796660675075,1163.053564981301,0.0505394642857138,2020-04-17,Belgium,,Plan 2
