,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,2,2,0,0,4,2,3,2,1,1064.7145372600705,971.3277707865639,31.0,2020-04-01,Belgium,,Plan 1
1,3,0,2,2,2,0,0,4,2,3,2,1,1006.1096938418009,971.3277707865639,31.0,2020-04-02,Belgium,,Plan 1
2,3,0,2,2,2,0,0,4,2,3,2,1,977.7003286295752,971.3277707865639,31.0,2020-04-03,Belgium,,Plan 1
3,3,0,2,2,2,0,0,4,2,3,2,1,959.2605338415246,971.3277707865639,31.0,2020-04-04,Belgium,,Plan 1
4,3,0,2,2,2,0,0,4,2,3,2,1,944.1897263591416,971.3277707865639,31.0,2020-04-05,Belgium,,Plan 1
5,3,0,2,2,2,0,0,4,2,3,2,1,930.3331055538702,971.3277707865639,31.0,2020-04-06,Belgium,,Plan 1
6,3,0,2,2,2,0,0,4,2,3,2,1,916.9864700199646,971.3277707865639,31.0,2020-04-07,Belgium,,Plan 1
7,0,0,0,0,0,0,0,0,0,0,0,0,927.7144659421592,951.7563320268622,0.0,2020-04-08,Belgium,,Plan 1
8,0,0,0,0,0,0,0,0,0,0,0,0,981.132199518533,948.1881185521098,0.0,2020-04-09,Belgium,,Plan 1
9,0,0,0,0,0,0,0,0,0,0,0,0,1063.2756891348324,960.4131700528607,0.0,2020-04-10,Belgium,,Plan 1
10,0,0,0,0,0,0,0,0,0,0,0,0,1171.062652279786,990.670615544041,0.0,2020-04-11,Belgium,,Plan 1
11,0,0,0,0,0,0,0,0,0,0,0,0,1305.1278216695862,1042.2332005883902,0.0,2020-04-12,Belgium,,Plan 1
12,0,0,0,0,0,0,0,0,0,0,0,0,1467.7538898087325,1119.0075983390848,0.0,2020-04-13,Belgium,,Plan 1
13,0,0,0,0,0,0,0,0,0,0,0,0,1662.2768921949637,1225.477658649799,0.0,2020-04-14,Belgium,,Plan 1
14,2,0,1,0,2,0,0,4,2,3,2,0,1911.281017012189,1365.9871659455177,16.5,2020-04-15,Belgium,,Plan 1
15,2,0,1,0,2,0,0,4,2,3,2,0,2134.7880386617653,1530.7951429659793,16.5,2020-04-16,Belgium,,Plan 1
16,2,0,1,0,2,0,0,4,2,3,2,0,2340.3961742577103,1713.2409265549618,16.5,2020-04-17,Belgium,,Plan 1
17,2,0,1,0,2,0,0,4,2,3,2,0,2531.214748452549,1907.5483688653565,16.5,2020-04-18,Belgium,,Plan 1
18,2,0,1,0,2,0,0,4,2,3,2,0,2709.13184951463,2108.12037284322,16.5,2020-04-19,Belgium,,Plan 1
19,2,0,1,0,2,0,0,4,2,3,2,0,2875.7844423854403,2309.2675946398926,16.5,2020-04-20,Belgium,,Plan 1
20,2,0,1,0,2,0,0,4,2,3,2,0,3032.7699096802944,2505.052311423511,16.5,2020-04-21,Belgium,,Plan 1
21,1,0,1,1,2,0,0,4,2,3,2,0,3189.912006860087,2687.713881401782,14.0,2020-04-22,Belgium,,Plan 1
22,1,0,1,1,2,0,0,4,2,3,2,0,3346.846280704142,2860.8650588364076,14.0,2020-04-23,Belgium,,Plan 1
23,1,0,1,1,2,0,0,4,2,3,2,0,3504.0615294038494,3027.102966714428,14.0,2020-04-24,Belgium,,Plan 1
24,1,0,1,1,2,0,0,4,2,3,2,0,3662.252552637926,3188.679795883767,14.0,2020-04-25,Belgium,,Plan 1
25,1,0,1,1,2,0,0,4,2,3,2,0,3822.117181641207,3347.677700473278,14.0,2020-04-26,Belgium,,Plan 1
26,1,0,1,1,2,0,0,4,2,3,2,0,3984.2982054251493,3506.0368094789505,14.0,2020-04-27,Belgium,,Plan 1
27,1,0,1,1,2,0,0,4,2,3,2,0,4149.3716636402605,3665.5513457589454,14.0,2020-04-28,Belgium,,Plan 1
28,2,0,1,0,2,0,0,4,2,3,2,0,4306.341336520425,3825.0412499961376,16.5,2020-04-29,Belgium,,Plan 1
29,2,0,1,0,2,0,0,4,2,3,2,0,4458.681580060927,3983.8748641899633,16.5,2020-04-30,Belgium,,Plan 1
30,2,0,1,0,2,0,0,4,2,3,2,0,4608.148378703301,4141.601556947027,16.5,2020-05-01,Belgium,,Plan 1
31,2,0,1,0,2,0,0,4,2,3,2,0,4755.8586648170585,4297.831001544047,16.5,2020-05-02,Belgium,,Plan 1
32,2,0,1,0,2,0,0,4,2,3,2,0,4902.641155503272,4452.191569238627,16.5,2020-05-03,Belgium,,Plan 1
33,2,0,1,0,2,0,0,4,2,3,2,0,5049.157997967382,4604.314396744661,16.5,2020-05-04,Belgium,,Plan 1
34,2,0,1,0,2,0,0,4,2,3,2,0,5195.953542852288,4753.82609377495,16.5,2020-05-05,Belgium,,Plan 1
35,1,0,1,1,2,0,0,4,2,3,2,0,5357.943960134604,4904.055040005546,14.0,2020-05-06,Belgium,,Plan 1
36,1,0,1,1,2,0,0,4,2,3,2,0,5531.33724008445,5057.29156286605,14.0,2020-05-07,Belgium,,Plan 1
37,1,0,1,1,2,0,0,4,2,3,2,0,5714.594052075327,5215.355230490626,14.0,2020-05-08,Belgium,,Plan 1
38,1,0,1,1,2,0,0,4,2,3,2,0,5906.968801885629,5379.799535786136,14.0,2020-05-09,Belgium,,Plan 1
39,1,0,1,1,2,0,0,4,2,3,2,0,6108.028553630885,5551.997735518652,14.0,2020-05-10,Belgium,,Plan 1
40,1,0,1,1,2,0,0,4,2,3,2,0,6317.48764246745,5733.187684732947,14.0,2020-05-11,Belgium,,Plan 1
41,1,0,1,1,2,0,0,4,2,3,2,0,6535.145307726153,5924.500794000642,14.0,2020-05-12,Belgium,,Plan 1
42,1,0,1,1,2,0,0,4,2,3,2,0,6760.857932052559,6124.917075703207,14.0,2020-05-13,Belgium,,Plan 1
