C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,1,1,2,0,0,4,2,3,2,0,1126.8347517086356,1214.9097653989184,14.0,2020-04-01,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1128.3273152901836,1214.9097653989184,14.0,2020-04-02,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1159.3525655544595,1214.9097653989184,14.0,2020-04-03,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1200.8587359858548,1214.9097653989184,14.0,2020-04-04,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1246.8887991417948,1214.9097653989184,14.0,2020-04-05,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1295.611152783693,1214.9097653989184,14.0,2020-04-06,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1346.4950373278082,1214.9097653989184,14.0,2020-04-07,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1399.4208567269877,1253.8506375443974,14.0,2020-04-08,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1454.400003910094,1300.4324502043844,14.0,2020-04-09,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1511.4866675998417,1350.7373219251533,14.0,2020-04-10,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1570.7500671336566,1403.5789406605536,14.0,2020-04-11,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1632.2657014287124,1458.632783844399,14.0,2020-04-12,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1696.1126555916453,1515.8472842455349,14.0,2020-04-13,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1762.3727567138017,1575.2583870149624,14.0,2020-04-14,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1831.1303281153039,1636.9311686418653,14.0,2020-04-15,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1902.4721083682089,1700.9414692787384,14.0,2020-04-16,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,1976.487301129404,1767.3701312115336,14.0,2020-04-17,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2053.267528968681,1836.3011971879655,14.0,2020-04-18,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2132.9068592628887,1907.821362592848,14.0,2020-04-19,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2215.5018090873223,1982.0198130922306,14.0,2020-04-20,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2301.151344496416,2058.9881827754607,14.0,2020-04-21,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2389.956873162667,2138.820546353655,14.0,2020-04-22,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2482.022229570773,2221.6134208111644,14.0,2020-04-23,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2577.453652005701,2307.465756650636,14.0,2020-04-24,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2676.3597505556445,2396.478931163059,14.0,2020-04-25,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2778.851465313454,2488.7567320274247,14.0,2020-04-26,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2885.0420139160424,2584.4053327172433,14.0,2020-04-27,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2995.046827514604,2683.533258862698,14.0,2020-04-28,Belgium,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3108.983474220689,2786.25134472813,14.0,2020-04-29,Belgium,,Plan 1
