C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,0,4,2,3,2,0,719.4971545752405,621.5996209348443,3.315838264299801,2021-06-13,Belgium,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,664.9892877635641,621.5996209348443,3.315838264299801,2021-06-14,Belgium,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,633.972454804668,621.5996209348443,3.315838264299801,2021-06-15,Belgium,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,611.2532178793697,621.5996209348443,3.315838264299801,2021-06-16,Belgium,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,591.6951931398056,621.5996209348443,3.315838264299801,2021-06-17,Belgium,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,573.5551619576995,621.5996209348443,3.315838264299801,2021-06-18,Belgium,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,556.2348764235633,621.5996209348443,3.315838264299801,2021-06-19,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,553.7996076431588,597.9285428016899,2.264720578566732,2021-06-20,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,559.1495510024946,582.8085804072514,2.264720578566732,2021-06-21,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,569.2119224019485,573.5570757782914,2.264720578566732,2021-06-22,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,582.7057715325278,569.4788691573142,2.264720578566732,2021-06-23,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,599.0004373554121,570.5224754738292,2.264720578566732,2021-06-24,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,617.7273603895536,576.8327895355228,2.264720578566732,2021-06-25,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,638.6440471419052,588.6055282095715,2.264720578566732,2021-06-26,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,664.8366352741717,604.4679607282877,1.9452761341222868,2021-06-27,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,695.8854298430429,624.0016577055087,1.9452761341222868,2021-06-28,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,731.1195602711567,647.1313202582529,1.9452761341222868,2021-06-29,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,770.2912452678537,673.9292450775849,1.9452761341222868,2021-06-30,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,813.3252349062828,704.5470732991382,1.9452761341222868,2021-07-01,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,860.2316920347548,739.1905492484526,1.9452761341222868,2021-07-02,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,911.0737766057132,778.1090820289965,1.9452761341222868,2021-07-03,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,968.9466439363526,821.5533689807366,1.7391617357001965,2021-07-04,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1033.9966264853433,869.8549685010652,1.7391617357001965,2021-07-05,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1106.016904745795,923.4117319974424,1.7391617357001965,2021-07-06,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1185.1515092909451,982.677484000741,1.7391617357001965,2021-07-07,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1271.6971389435996,1048.1591845775006,1.7391617357001965,2021-07-08,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1366.0384813507962,1120.417297336935,1.7391617357001965,2021-07-09,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1468.626763619834,1200.0677240532382,1.7391617357001965,2021-07-10,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1579.9726755663144,1287.3571571432326,1.7391617357001965,2021-07-11,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1700.644411178372,1382.5925549565222,1.7391617357001965,2021-07-12,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1831.2677766736688,1486.19982237479,1.7391617357001965,2021-07-13,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,1972.5273372770016,1598.6820835156554,1.7391617357001965,2021-07-14,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2125.168197829568,1720.606520499365,1.7391617357001965,2021-07-15,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2289.9982481489296,1852.6007728990985,1.7391617357001965,2021-07-16,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,2467.8907819257684,1995.352775514232,1.7391617357001965,2021-07-17,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,2652.014649052541,2148.501628869407,1.9452761341222868,2021-07-18,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,2842.846915831252,2311.67341524839,1.9452761341222868,2021-07-19,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3042.248145826949,2484.670610841716,1.9452761341222868,2021-07-20,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3251.427582324969,2667.370645848568,1.9452761341222868,2021-07-21,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3471.395662279696,2859.6888550557287,1.9452761341222868,2021-07-22,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3703.105970179016,3061.5613867743127,1.9452761341222868,2021-07-23,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,3947.501552479013,3272.9343539962056,1.9452761341222868,2021-07-24,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,4218.144179068498,3496.667143998485,1.7391617357001965,2021-07-25,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,4516.412663008609,3735.7479650238206,1.7391617357001965,2021-07-26,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,4841.816075822514,3992.82909788033,1.7391617357001965,2021-07-27,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,5195.156997107285,4270.504728563518,1.7391617357001965,2021-07-28,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,5577.750854859233,4571.412613217738,1.7391617357001965,2021-07-29,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,5991.176838810461,4898.279880165088,1.7391617357001965,2021-07-30,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,6437.196395960958,5253.950572091079,1.7391617357001965,2021-07-31,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,6868.281706656,5632.541647460724,2.264720578566732,2021-08-01,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,7283.766962641754,6027.877975979743,2.264720578566732,2021-08-02,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,7691.9697576525905,6435.042787669755,2.264720578566732,2021-08-03,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,8096.996753342417,6849.591324274773,2.264720578566732,2021-08-04,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,8501.510694246854,7267.271301330146,2.264720578566732,2021-08-05,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,8907.574386733611,7683.899522462027,2.264720578566732,2021-08-06,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,9316.914018434056,8095.287754243896,2.264720578566732,2021-08-07,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,9731.008500726992,8504.248724825467,2.264720578566732,2021-08-08,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,10151.128069000566,8913.871740019584,2.264720578566732,2021-08-09,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,10578.357967879974,9326.212912909208,2.264720578566732,2021-08-10,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,11013.617296976856,9742.872990571272,2.264720578566732,2021-08-11,Belgium,,Plan 1
3,1,2,4,2,1,0,4,2,3,2,0,11457.67556394259,10165.182257670664,2.264720578566732,2021-08-12,Belgium,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,719.4971545752405,621.5996209348443,3.315838264299801,2021-06-13,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,664.9892877635641,621.5996209348443,3.315838264299801,2021-06-14,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,633.972454804668,621.5996209348443,3.315838264299801,2021-06-15,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,611.2532178793697,621.5996209348443,3.315838264299801,2021-06-16,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,591.6951931398056,621.5996209348443,3.315838264299801,2021-06-17,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,573.5551619576995,621.5996209348443,3.315838264299801,2021-06-18,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,556.2348764235633,621.5996209348443,3.315838264299801,2021-06-19,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,539.5226613022031,595.8889790386962,3.315838264299801,2021-06-20,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,523.3375254394767,575.653012992398,3.315838264299801,2021-06-21,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,507.6428293505481,557.6059236418095,3.315838264299801,2021-06-22,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,492.4171545739395,540.6293431696051,3.315838264299801,2021-06-23,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,477.6444699365064,524.336382711991,3.315838264299801,2021-06-24,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,463.3108019959132,508.5871884317357,3.315838264299801,2021-06-25,Belgium,,Plan 2
3,3,2,4,2,3,0,4,2,3,2,0,449.4031108539357,493.3255076360747,3.315838264299801,2021-06-26,Belgium,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,0,448.3469180087194,480.3004014512913,1.9452761341222868,2021-06-27,Belgium,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,0,455.1394178307715,470.5578146500477,1.9452761341222868,2021-06-28,Belgium,,Plan 2
3,0,2,4,2,1,0,4,2,3,2,0,467.13430094557344,464.7708820207656,1.9452761341222868,2021-06-29,Belgium,,Plan 2
