C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,1,0,4,2,3,2,4,790.5871479005647,881.2396196167218,0.1412463095238085,2021-06-13,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,800.5323938452731,881.2396196167218,0.1412463095238085,2021-06-14,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,831.2861429919434,881.2396196167218,0.1412463095238085,2021-06-15,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,869.9697669406181,881.2396196167218,0.1412463095238085,2021-06-16,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,912.5888409985575,881.2396196167218,0.1412463095238085,2021-06-17,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,957.9531450696229,881.2396196167218,0.1412463095238085,2021-06-18,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1005.7598995704736,881.2396196167218,0.1412463095238085,2021-06-19,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1055.989436481092,919.1542322710831,0.1412463095238085,2021-06-20,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1108.7147969777673,963.1802898614394,0.1412463095238085,2021-06-21,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1164.041817399512,1010.716814776806,0.1412463095238085,2021-06-22,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1222.0903783406015,1061.0197592625184,0.1412463095238085,2021-06-23,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1282.9886254387711,1113.9340141825487,0.1412463095238085,2021-06-24,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1346.8712893517709,1169.4937490799985,0.1412463095238085,2021-06-25,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1413.879298370226,1227.7965203371061,0.1412463095238085,2021-06-26,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1484.1597999450141,1288.9637151176664,0.1412463095238085,2021-06-27,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1557.8663122429646,1353.1282172984086,0.1412463095238085,2021-06-28,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1635.1589172157346,1420.4306601292974,0.1412463095238085,2021-06-29,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1716.2044666507459,1491.0183870307465,0.1412463095238085,2021-06-30,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1801.176791516012,1565.0452678989238,0.1412463095238085,2021-07-01,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1890.2569107638142,1642.6717852435015,0.1412463095238085,2021-07-02,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,1983.6332375051188,1724.065205119915,0.1412463095238085,2021-07-03,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2081.5017809090987,1809.3997738290689,0.1412463095238085,2021-07-04,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2184.066342203573,1898.8569209663,0.1412463095238085,2021-07-05,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2291.5387030306188,1992.6254617969967,0.1412463095238085,2021-07-06,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2404.138804246593,2090.9017957392607,0.1412463095238085,2021-07-07,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2522.0949129938267,2193.8900988075206,0.1412463095238085,2021-07-08,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2645.643775747112,2301.802508090849,0.1412463095238085,2021-07-09,Belgium,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,2775.030754707071,2414.859296262556,0.1412463095238085,2021-07-10,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2919.691607279029,2534.600700029689,0.1238653571428562,2021-07-11,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3079.6277542068456,2662.538044601585,0.1238653571428562,2021-07-12,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3253.676186702253,2799.986256554676,0.1238653571428562,2021-07-13,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3441.6517450867323,2948.20239096041,0.1238653571428562,2021-07-14,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3643.7457337075675,3108.438222490945,0.1238653571428562,2021-07-15,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3860.3273257850537,3281.964443924936,0.1238653571428562,2021-07-16,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4091.874590961453,3470.084991961276,0.1238653571428562,2021-07-17,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4338.9478726923935,3672.8358870203288,0.1238653571428562,2021-07-18,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4602.177527593598,3890.3429975041504,0.1238653571428562,2021-07-19,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4882.2569314059465,4122.997389604678,0.1238653571428562,2021-07-20,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5179.937638145754,4371.323945755967,0.1238653571428562,2021-07-21,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5496.025588898244,4635.935353640349,0.1238653571428562,2021-07-22,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5831.377866542685,4917.51400232001,0.1238653571428562,2021-07-23,Belgium,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,6186.899734251944,5216.803308504366,0.1238653571428562,2021-07-24,Belgium,,Plan 1
3,0,2,4,2,1,1,4,2,3,2,4,6528.2541006998,5529.561341076855,0.1803534523809513,2021-07-25,Belgium,,Plan 1
