C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,3,2,0,1,4,2,3,2,1,755.5812239445715,746.7750734515787,46.51,2021-06-13,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,733.4847945441264,746.7750734515787,46.51,2021-06-14,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,732.4907566860617,746.7750734515787,46.51,2021-06-15,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,738.413142786488,746.7750734515787,46.51,2021-06-16,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,746.6493248692411,746.7750734515787,46.51,2021-06-17,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,755.7062680660852,746.7750734515787,46.51,2021-06-18,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,765.1000032644762,746.7750734515787,46.51,2021-06-19,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,774.6739956177687,749.5026122620353,46.51,2021-06-20,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,784.3779482993161,756.7730627984911,46.51,2021-06-21,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,794.196047587695,765.5881043558674,46.51,2021-06-22,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,804.1236579266201,774.9753208044575,46.51,2021-06-23,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,814.1597690886424,784.6196699786577,46.51,2021-06-24,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,824.3045423146448,794.4194234427375,46.51,2021-06-25,Belgium,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,1,834.5585168085013,804.3420682347412,46.51,2021-06-26,Belgium,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,862.1295044788037,816.8357123577463,32.0,2021-06-27,Belgium,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,903.4891247006308,833.8515947007912,32.0,2021-06-28,Belgium,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,955.5083076071064,856.8962032749927,32.0,2021-06-29,Belgium,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,1017.1607691205652,887.3300763026991,32.0,2021-06-30,Belgium,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,1088.2218551210185,926.4818028787528,32.0,2021-07-01,Belgium,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,1168.8238549054392,975.6988475345806,32.0,2021-07-02,Belgium,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,1259.300218797258,1036.3762335329743,32.0,2021-07-03,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1363.2278658008454,1107.9617137218377,30.0,2021-07-04,Belgium,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,1481.4110074883838,1190.5219826915163,30.0,2021-07-05,Belgium,,Plan 1
