C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,0,4,2,3,2,1,31571.268470020714,31562.345032162382,3.4200788954635097,2020-07-18,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,30768.616918291464,31562.345032162382,3.4200788954635097,2020-07-19,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,30844.850288414862,31562.345032162382,3.4200788954635097,2020-07-20,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,31210.438375918653,31562.345032162382,3.4200788954635097,2020-07-21,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,31674.40709509072,31562.345032162382,3.4200788954635097,2020-07-22,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,32174.90724528304,31562.345032162382,3.4200788954635097,2020-07-23,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,32691.92683211722,31562.345032162382,3.4200788954635097,2020-07-24,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,33241.750535708,31800.985327260565,3.3158382642998014,2020-07-25,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,33821.13647038828,32237.05954898868,3.3158382642998014,2020-07-26,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,34422.04900924581,32748.087937678818,3.3158382642998014,2020-07-27,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,35040.931976684835,33295.30130921683,3.3158382642998014,2020-07-28,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,35675.896953958814,33866.94271762657,3.3158382642998014,2020-07-29,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,36325.76536960825,34459.922449673024,3.3158382642998014,2020-07-30,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,36989.7198515016,35073.892881013664,3.3158382642998014,2020-07-31,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,38198.17260184633,35781.95317617628,1.9452761341222868,2020-08-01,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,39962.849375948776,36659.34073411349,1.9452761341222868,2020-08-02,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,42154.46350676889,37763.971376616784,1.9452761341222868,2020-08-03,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,44728.34490673138,39147.887509480584,1.9452761341222868,2020-08-04,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,47671.78662269092,40861.58603358517,1.9452761341222868,2020-08-05,Brazil,,Plan 1
