C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,2,0,4,2,3,2,0,32141.989187024243,33586.723688770086,3.1097238658777115,2020-07-18,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,31827.482317765967,33586.723688770086,3.1097238658777115,2020-07-19,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,32372.064513175552,33586.723688770086,3.1097238658777115,2020-07-20,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,33211.220061869615,33586.723688770086,3.1097238658777115,2020-07-21,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,34163.86931349868,33586.723688770086,3.1097238658777115,2020-07-22,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,35172.23605068119,33586.723688770086,3.1097238658777115,2020-07-23,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,36218.204377375325,33586.723688770086,3.1097238658777115,2020-07-24,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,37296.41885954709,34323.07078484477,3.1097238658777115,2020-07-25,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,38405.63354393428,35262.80667429739,3.1097238658777115,2020-07-26,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,39545.9304675496,36287.64466777939,3.1097238658777115,2020-07-27,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,40717.8243979186,37360.0167157864,3.1097238658777115,2020-07-28,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,41921.97403957712,38468.317390940465,3.1097238658777115,2020-07-29,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,43159.08935153819,39609.296433920026,3.1097238658777115,2020-07-30,Brazil,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,44429.901159757756,40782.39597426037,3.1097238658777115,2020-07-31,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,46257.484935539454,42062.54827083071,1.9452761341222868,2020-08-01,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,48679.68292257108,43530.269610635965,1.9452761341222868,2020-08-02,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,51579.06080180283,45249.28822981501,1.9452761341222868,2020-08-03,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,54918.401996547844,47277.942172476316,1.9452761341222868,2020-08-04,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,58690.92636504137,49673.50679039978,1.9452761341222868,2020-08-05,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,62903.449167628045,52494.12962126976,1.9452761341222868,2020-08-06,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,67570.45027352526,55799.92235180798,1.9452761341222868,2020-08-07,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,72711.81924564381,59579.11296753718,1.9452761341222868,2020-08-08,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,78351.88724327943,63817.999299066934,1.9452761341222868,2020-08-09,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,84518.95942435668,68523.69910228891,1.9452761341222868,2020-08-10,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,91245.06338547688,73713.22215785019,1.9452761341222868,2020-08-11,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,98565.80962179277,79409.63405167182,1.9452761341222868,2020-08-12,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,106520.31629360316,85640.61506966827,1.9452761341222868,2020-08-13,Brazil,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,0,115151.17218181485,92437.86105656679,1.9452761341222868,2020-08-14,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,123790.25525585322,99734.7804865967,2.69749506903353,2020-08-15,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,132253.46370709466,107435.00569571316,2.69749506903353,2020-08-16,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,140693.5825742349,115459.95185998149,2.69749506903353,2020-08-17,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,149186.4052663813,123737.28641439641,2.69749506903353,2020-08-18,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,157781.73886928914,132196.70487832447,2.69749506903353,2020-08-19,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,166519.0632916478,140767.9544494737,2.69749506903353,2020-08-20,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,175432.37584421257,149379.55497267336,2.69749506903353,2020-08-21,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,184551.75318378003,158059.76896237722,2.69749506903353,2020-08-22,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,193903.94949927492,166866.98121840294,2.69749506903353,2020-08-23,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,203512.71451515253,175841.14292424833,2.69749506903353,2020-08-24,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,213399.02645463872,185014.37452257078,2.69749506903353,2020-08-25,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,223581.28978331573,194414.31036743172,2.69749506903353,2020-08-26,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,234075.5042038889,204065.2304977519,2.69749506903353,2020-08-27,Brazil,,Plan 1
3,3,2,4,2,0,0,4,2,3,2,0,244895.4049776143,213988.52037395214,2.69749506903353,2020-08-28,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,254457.3731146704,223975.03750693653,3.4200788954635097,2020-08-29,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,262507.1286288123,233775.49166829907,3.4200788954635097,2020-08-30,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,269453.14804678806,243195.55360138978,3.4200788954635097,2020-08-31,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,275515.0030027358,252069.26453683226,3.4200788954635097,2020-09-01,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,280839.98675272684,260249.07838960525,3.4200788954635097,2020-09-02,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,285540.66688971204,267601.24448758,3.4200788954635097,2020-09-03,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,289707.8536157608,274003.02286445803,3.4200788954635097,2020-09-04,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,293416.0321638755,279568.54558577307,3.4200788954635097,2020-09-05,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,296726.3790051425,284457.00992524874,3.4200788954635097,2020-09-06,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,299688.9556573187,288776.41101246746,3.4200788954635097,2020-09-07,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,302344.5211836461,292609.1993240261,3.4200788954635097,2020-09-08,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,304726.09094466275,296021.49992287403,3.4200788954635097,2020-09-09,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,306860.28021971736,299067.1589700177,3.4200788954635097,2020-09-10,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,308768.4507600858,301790.101419207,3.4200788954635097,2020-09-11,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,310467.68168660963,304226.0513510261,3.4200788954635097,2020-09-12,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,311971.5831599609,306403.9376588574,3.4200788954635097,2020-09-13,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,313290.9734693891,308347.0830605817,3.4200788954635097,2020-09-14,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,314434.4400389916,310074.21432563104,3.4200788954635097,2020-09-15,Brazil,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,1,315408.8013207254,311600.31580792565,3.4200788954635097,2020-09-16,Brazil,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,30656.8228947482,28247.485201116528,4.326982248520709,2020-07-18,Brazil,,Plan 2
