,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,3,1,4,2,3,2,2,31160.02653202069,30044.288785283243,62.01,2020-07-18,Brazil,,Plan 1
1,3,3,2,4,2,3,1,4,2,3,2,2,29979.222717178796,30044.288785283243,62.01,2020-07-19,Brazil,,Plan 1
2,3,3,2,4,2,3,1,4,2,3,2,2,29691.490147906177,30044.288785283243,62.01,2020-07-20,Brazil,,Plan 1
3,3,3,2,4,2,3,1,4,2,3,2,2,29695.53769802204,30044.288785283243,62.01,2020-07-21,Brazil,,Plan 1
4,3,3,2,4,2,3,1,4,2,3,2,2,29794.707163409363,30044.288785283243,62.01,2020-07-22,Brazil,,Plan 1
5,3,3,2,4,2,3,1,4,2,3,2,2,29924.668584062507,30044.288785283243,62.01,2020-07-23,Brazil,,Plan 1
6,3,3,2,4,2,3,1,4,2,3,2,2,30064.368654383117,30044.288785283243,62.01,2020-07-24,Brazil,,Plan 1
7,3,2,2,2,2,0,0,4,2,3,2,0,30832.089746090824,29997.440673007546,37.34,2020-07-25,Brazil,,Plan 1
8,3,2,2,2,2,0,0,4,2,3,2,0,32138.871515388157,30305.961929894598,37.34,2020-07-26,Brazil,,Plan 1
9,3,2,2,2,2,0,0,4,2,3,2,0,33816.59172781597,30895.262155595992,37.34,2020-07-27,Brazil,,Plan 1
10,3,2,2,2,2,0,0,4,2,3,2,0,35807.38504840838,31768.38320565119,37.34,2020-07-28,Brazil,,Plan 1
11,3,2,2,2,2,0,0,4,2,3,2,0,38092.15342304562,32953.73267131351,37.34,2020-07-29,Brazil,,Plan 1
12,3,2,2,2,2,0,0,4,2,3,2,0,40667.28921743264,34488.39276179496,37.34,2020-07-30,Brazil,,Plan 1
13,3,2,2,2,2,0,0,4,2,3,2,0,43536.85942309411,36413.03430018224,37.34,2020-07-31,Brazil,,Plan 1
14,3,3,2,3,2,0,1,4,2,3,2,0,46445.50466095311,38643.52214516257,45.51,2020-08-01,Brazil,,Plan 1
15,3,3,2,3,2,0,1,4,2,3,2,0,49339.34022492547,41100.73196081076,45.51,2020-08-02,Brazil,,Plan 1
16,3,3,2,3,2,0,1,4,2,3,2,0,52277.719712225386,43738.03595858353,45.51,2020-08-03,Brazil,,Plan 1
17,3,3,2,3,2,0,1,4,2,3,2,0,55288.73314288727,46521.085686366234,45.51,2020-08-04,Brazil,,Plan 1
18,3,3,2,3,2,0,1,4,2,3,2,0,58389.97877836874,49420.77502284096,45.51,2020-08-05,Brazil,,Plan 1
