,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,2,0,2,1,2,0,0,0,2,3,2,4,42081.30111799441,57941.26449094889,0.050539464285713806,2020-12-08,Brazil,,Plan 1
1,2,0,2,1,2,0,0,0,2,3,2,4,45754.08227899075,57941.26449094889,0.050539464285713806,2020-12-09,Brazil,,Plan 1
2,2,0,2,1,2,0,0,0,2,3,2,4,50654.09343845733,57941.26449094889,0.050539464285713806,2020-12-10,Brazil,,Plan 1
3,2,0,2,1,2,0,0,0,2,3,2,4,56360.093342018394,57941.26449094889,0.050539464285713806,2020-12-11,Brazil,,Plan 1
4,2,0,2,1,2,0,0,0,2,3,2,4,62790.55840503134,57941.26449094889,0.050539464285713806,2020-12-12,Brazil,,Plan 1
5,2,0,2,1,2,0,0,0,2,3,2,4,69973.33237811594,57941.26449094889,0.050539464285713806,2020-12-13,Brazil,,Plan 1
6,2,0,2,1,2,0,0,0,2,3,2,4,77975.39047603411,57941.26449094889,0.050539464285713806,2020-12-14,Brazil,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,84039.21186199659,63935.25174009206,0.12386535714285621,2020-12-15,Brazil,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,88050.60910765191,69977.61271561509,0.12386535714285621,2020-12-16,Brazil,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,90541.83824341197,75675.86197346575,0.12386535714285621,2020-12-17,Brazil,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,91839.39995004423,80744.33434604087,0.12386535714285621,2020-12-18,Brazil,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,92190.65574141183,84944.34825123809,0.12386535714285621,2020-12-19,Brazil,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,91797.86704972056,88062.13891861017,0.12386535714285621,2020-12-20,Brazil,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,90828.47462352744,89898.2937968235,0.12386535714285621,2020-12-21,Brazil,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,89419.98491505742,90666.97566154649,0.12386535714285621,2020-12-22,Brazil,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,87683.93400039068,90614.59350336631,0.12386535714285621,2020-12-23,Brazil,,Plan 1
16,3,0,2,4,2,0,0,4,2,3,2,4,85709.7216849278,89924.29113786857,0.12386535714285621,2020-12-24,Brazil,,Plan 1
17,3,0,2,4,2,0,0,4,2,3,2,4,83568.25500583815,88742.69900298199,0.12386535714285621,2020-12-25,Brazil,,Plan 1
18,3,0,2,4,2,0,0,4,2,3,2,4,81315.26324571953,87189.07150359736,0.12386535714285621,2020-12-26,Brazil,,Plan 1
19,3,0,2,4,2,0,0,4,2,3,2,4,78994.1910423277,85359.97493111268,0.12386535714285621,2020-12-27,Brazil,,Plan 1
20,3,0,2,4,2,0,0,4,2,3,2,4,76638.64243469811,83332.8560469942,0.12386535714285621,2020-12-28,Brazil,,Plan 1
21,3,0,2,4,2,0,0,4,2,3,2,4,74274.40517442512,81169.20179833243,0.12386535714285621,2020-12-29,Brazil,,Plan 1
