C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,4,35782.915788028375,32450.990747984586,0.1166957142857134,2020-12-08,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,33679.242815906204,32450.990747984586,0.1166957142857134,2020-12-09,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,32662.42641906027,32450.990747984586,0.1166957142857134,2020-12-10,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,32010.29969101174,32450.990747984586,0.1166957142857134,2020-12-11,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,31483.066881323346,32450.990747984586,0.1166957142857134,2020-12-12,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,31001.087710973607,32450.990747984586,0.1166957142857134,2020-12-13,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,30537.895929588525,32450.990747984586,0.1166957142857134,2020-12-14,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,30084.68130962866,31636.957251070333,0.1166957142857134,2020-12-15,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,29638.49536495577,31059.70761522028,0.1166957142857134,2020-12-16,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,29198.335610434733,30564.837499702342,0.1166957142857134,2020-12-17,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,28763.845200988417,30101.058286841864,0.1166957142857134,2020-12-18,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,28334.880929156407,29651.317436532303,0.1166957142857134,2020-12-19,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,27911.370017647187,29209.92919462853,0.1166957142857134,2020-12-20,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,27493.26262929937,28774.981580301504,0.1166957142857134,2020-12-21,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,27982.227445953624,28474.63102834793,0.0505394642857138,2020-12-22,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,29188.002183569555,28410.274859578465,0.0505394642857138,2020-12-23,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,30911.09834737558,28654.95525057002,0.0505394642857138,2020-12-24,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,33088.791548164205,29272.804728737992,0.0505394642857138,2020-12-25,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,35709.84726733005,30326.37134847708,0.0505394642857138,2020-12-26,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,38785.524129081954,31879.8219358249,0.0505394642857138,2020-12-27,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,42339.67760987088,34000.73836162083,0.0505394642857138,2020-12-28,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,46405.27335045699,36632.602062264166,0.0505394642857138,2020-12-29,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,51023.13600443468,39751.90689381633,0.0505394642857138,2020-12-30,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,56241.54700905246,43370.542416913035,0.0505394642857138,2020-12-31,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,62116.23482105157,47517.320027325506,0.0505394642857138,2021-01-01,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,68710.58236296594,52231.710755273496,0.0505394642857138,2021-01-02,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,76095.98659934361,57561.77682245374,0.0505394642857138,2021-01-03,Brazil,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,84352.32898914692,63563.58416235032,0.0505394642857138,2021-01-04,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,91908.08148430662,70063.98532432884,0.1043117857142849,2021-01-05,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,98348.81849796932,76824.79710911949,0.1043117857142849,2021-01-06,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,103911.54615002406,83634.79698640115,0.1043117857142849,2021-01-07,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,108723.07088641122,90292.91642430967,0.1043117857142849,2021-01-08,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,112881.34631923724,96603.02556091986,0.1043117857142849,2021-01-09,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,116474.59675563073,102371.39844038943,0.1043117857142849,2021-01-10,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,119583.95802885538,107404.48830320493,0.1043117857142849,2021-01-11,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,122282.70369812266,111743.7200480358,0.1043117857142849,2021-01-12,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,124635.48486583207,115498.95810058762,0.1043117857142849,2021-01-13,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,126698.1845345148,118754.19215551489,0.1043117857142849,2021-01-14,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,128518.32647235028,121582.085810649,0.1043117857142849,2021-01-15,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,130135.81824457053,124047.01037141091,0.1043117857142849,2021-01-16,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,131583.83707296426,126205.47327388715,0.1043117857142849,2021-01-17,Brazil,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,132889.74783381552,128106.30038888144,0.1043117857142849,2021-01-18,Brazil,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,135077.29200460564,129934.09871837904,0.0867135714285707,2021-01-19,Brazil,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,137916.55452498113,131831.39438397172,0.0867135714285707,2021-01-20,Brazil,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,141220.70861765635,133906.04068156338,0.0867135714285707,2021-01-21,Brazil,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,144899.18914026715,136246.16391983724,0.0867135714285707,2021-01-22,Brazil,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,148898.92757906724,138926.6081104796,0.0867135714285707,2021-01-23,Brazil,,Plan 1
