C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,0,36253.88255294379,34094.436223915014,30.0,2020-12-08,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,34576.215222140214,34094.436223915014,30.0,2020-12-09,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,33955.18066995147,34094.436223915014,30.0,2020-12-10,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,33680.7116034023,34094.436223915014,30.0,2020-12-11,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,33519.41968661613,34094.436223915014,30.0,2020-12-12,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,33394.59888132172,34094.436223915014,30.0,2020-12-13,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,33281.044951029435,34094.436223915014,30.0,2020-12-14,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,33170.484064084725,33653.95072550657,30.0,2020-12-15,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,33060.20758886785,33437.378206467656,30.0,2020-12-16,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,32949.33690171902,33293.68623957731,30.0,2020-12-17,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,32837.59489174014,33173.24099505415,30.0,2020-12-18,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,32724.90222485665,33059.73850051708,30.0,2020-12-19,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,32611.24485168549,32947.83078199761,30.0,2020-12-20,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,32496.6299185786,32835.7714916475,30.0,2020-12-21,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,33194.985947248184,32839.27176067085,14.0,2020-12-22,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,34564.2117869342,33054.12950325176,14.0,2020-12-23,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,36425.00432257253,33550.653420516544,14.0,2020-12-24,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,38715.61446121028,34390.370501869416,14.0,2020-12-25,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,41418.81319728326,35632.35778364465,14.0,2020-12-26,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,44536.78393181688,37336.00622366342,14.0,2020-12-27,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,48082.28476721556,39562.52834489727,14.0,2020-12-28,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,52075.3342769372,42259.72096342427,14.0,2020-12-29,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,56541.84609442933,45399.38300735215,14.0,2020-12-30,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,61513.01585069519,48983.384654226815,14.0,2020-12-31,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,67025.04231347145,53027.58863312127,14.0,2021-01-01,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,73119.03405031387,57556.19161212564,14.0,2021-01-02,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,79841.02713434433,62599.65492677241,14.0,2021-01-03,Brazil,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,87242.07958526311,68193.91132935064,14.0,2021-01-04,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,95066.204807643,74335.4642623086,16.5,2021-01-05,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,103257.32693005308,81009.10438168343,16.5,2021-01-06,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,111908.81299620778,88208.50397389951,16.5,2021-01-07,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,121081.9381596683,95930.91766621335,16.5,2021-01-08,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,130828.84523202086,104175.1764064572,16.5,2021-01-09,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,141199.65564843593,112940.69476561314,16.5,2021-01-10,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,152244.68458338972,122226.78119391696,16.5,2021-01-11,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,164015.13294569912,132076.6280707821,16.5,2021-01-12,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,176563.29420968707,142548.90911072982,16.5,2021-01-13,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,189942.5893641116,153696.5914490018,16.5,2021-01-14,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,204207.5202672057,165571.67460722142,16.5,2021-01-15,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,219413.56488944349,178226.6345582818,16.5,2021-01-16,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,235617.0148887043,191714.828735463,16.5,2021-01-17,Brazil,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,252874.7514103109,206090.5525678803,16.5,2021-01-18,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,266883.3736389966,220786.01552406567,30.0,2021-01-19,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,277552.0559637014,235212.98148892488,30.0,2021-01-20,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,285629.52601952374,248882.54386826945,30.0,2021-01-21,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,291565.7350414617,261362.2888360203,30.0,2021-01-22,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,295705.55346967257,272261.1443474816,30.0,2021-01-23,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,298340.5011091336,281221.6423789715,30.0,2021-01-24,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,299721.92426180985,287914.0956434713,30.0,2021-01-25,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,300065.17268031306,292654.35264937376,30.0,2021-01-26,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,299552.60500202765,295797.28822627745,30.0,2021-01-27,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,298336.90632883913,297612.62827046536,30.0,2021-01-28,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,296544.8068411596,298323.9242418508,30.0,2021-01-29,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,294280.80706354324,298120.3890409752,30.0,2021-01-30,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,291630.6994997975,297161.84595392714,30.0,2021-01-31,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,288664.735962236,295582.2476254166,30.0,2021-02-01,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,285440.3848243906,293492.99221742764,30.0,2021-02-02,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,282004.6775357553,290986.1454365316,30.0,2021-02-03,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,278396.1698514086,288137.4687968987,30.0,2021-02-04,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,274646.5623749673,285009.1481588712,30.0,2021-02-05,Brazil,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,270782.02626600664,281652.1794735088,30.0,2021-02-06,Brazil,,Plan 1
3,1,2,2,2,0,1,4,2,3,2,1,35137.485049434865,30303.696281815133,36.67,2020-12-08,Brazil,,Plan 2
3,1,2,2,2,0,1,4,2,3,2,1,32462.07464730205,30303.696281815133,36.67,2020-12-09,Brazil,,Plan 2
