,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,3,2,4,2,3,2,4,9958.432842310174,8393.180732626346,0.4745260714285701,2021-03-01,Czech Republic,,Plan 1
1,3,3,2,4,2,3,2,4,2,3,2,4,9121.939882546909,8393.180732626346,0.4745260714285701,2021-03-02,Czech Republic,,Plan 1
2,3,3,2,4,2,3,2,4,2,3,2,4,8620.515372976204,8393.180732626346,0.4745260714285701,2021-03-03,Czech Republic,,Plan 1
3,3,3,2,4,2,3,2,4,2,3,2,4,8240.080651703187,8393.180732626346,0.4745260714285701,2021-03-04,Czech Republic,,Plan 1
4,3,3,2,4,2,3,2,4,2,3,2,4,7907.826169701497,8393.180732626346,0.4745260714285701,2021-03-05,Czech Republic,,Plan 1
5,3,3,2,4,2,3,2,4,2,3,2,4,7598.871519364363,8393.180732626346,0.4745260714285701,2021-03-06,Czech Republic,,Plan 1
6,3,3,2,4,2,3,2,4,2,3,2,4,7304.59868978208,8393.180732626346,0.4745260714285701,2021-03-07,Czech Republic,,Plan 1
7,3,0,2,4,2,1,0,4,2,3,2,4,7314.320010222746,8015.450328042426,0.14124630952380854,2021-03-08,Czech Republic,,Plan 1
8,3,0,2,4,2,1,0,4,2,3,2,4,7487.353223650702,7781.937948200111,0.14124630952380854,2021-03-09,Czech Republic,,Plan 1
9,3,0,2,4,2,1,0,4,2,3,2,4,7760.338050306073,7659.05547353295,0.14124630952380854,2021-03-10,Czech Republic,,Plan 1
10,3,0,2,4,2,1,0,4,2,3,2,4,8110.095481572697,7640.486163514308,0.14124630952380854,2021-03-11,Czech Republic,,Plan 1
11,3,0,2,4,2,1,0,4,2,3,2,4,8527.218509263805,7728.970783451781,0.14124630952380854,2021-03-12,Czech Republic,,Plan 1
12,3,0,2,4,2,1,0,4,2,3,2,4,9007.427561548895,7930.193075192428,0.14124630952380854,2021-03-13,Czech Republic,,Plan 1
13,3,0,2,4,2,1,0,4,2,3,2,4,9548.724990789296,8250.782546764887,0.14124630952380854,2021-03-14,Czech Republic,,Plan 1
14,3,3,2,4,2,3,0,4,2,3,2,4,9916.197949887815,8622.479395288468,0.39631178571428455,2021-03-15,Czech Republic,,Plan 1
15,3,3,2,4,2,3,0,4,2,3,2,4,10157.20898641327,9003.887361397408,0.39631178571428455,2021-03-16,Czech Republic,,Plan 1
16,3,3,2,4,2,3,0,4,2,3,2,4,10307.737013514075,9367.801498998551,0.39631178571428455,2021-03-17,Czech Republic,,Plan 1
17,3,3,2,4,2,3,0,4,2,3,2,4,10387.921225306027,9693.20517667474,0.39631178571428455,2021-03-18,Czech Republic,,Plan 1
18,3,3,2,4,2,3,0,4,2,3,2,4,10411.878509674352,9962.442319590535,0.39631178571428455,2021-03-19,Czech Republic,,Plan 1
19,3,3,2,4,2,3,0,4,2,3,2,4,10390.679445042922,10160.049731518253,0.39631178571428455,2021-03-20,Czech Republic,,Plan 1
20,3,3,2,4,2,3,0,4,2,3,2,4,10333.346055427875,10272.138455038048,0.39631178571428455,2021-03-21,Czech Republic,,Plan 1
21,3,3,2,4,2,3,0,4,2,3,2,4,10247.284292044105,10319.436503917519,0.39631178571428455,2021-03-22,Czech Republic,,Plan 1
22,3,3,2,4,2,3,0,4,2,3,2,4,10138.555431481644,10316.771710355857,0.39631178571428455,2021-03-23,Czech Republic,,Plan 1
23,3,3,2,4,2,3,0,4,2,3,2,4,10012.093934659153,10274.536984805154,0.39631178571428455,2021-03-24,Czech Republic,,Plan 1
24,3,3,2,4,2,3,0,4,2,3,2,4,9871.896200972016,10200.81912418601,0.39631178571428455,2021-03-25,Czech Republic,,Plan 1
25,3,3,2,4,2,3,0,4,2,3,2,4,9721.18546039868,10102.148688575198,0.39631178571428455,2021-03-26,Czech Republic,,Plan 1
26,3,3,2,4,2,3,0,4,2,3,2,4,9562.553298980723,9983.844953423455,0.39631178571428455,2021-03-27,Czech Republic,,Plan 1
27,3,3,2,4,2,3,0,4,2,3,2,4,9398.078974821161,9850.23537047964,0.39631178571428455,2021-03-28,Czech Republic,,Plan 1
28,3,3,2,4,2,3,1,4,2,3,2,4,9198.00183340306,9700.337876388063,0.43541892857142733,2021-03-29,Czech Republic,,Plan 1
