C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,0,4,2,3,2,0,10422.935068296214,9945.585574436804,3.3158382642998014,2021-03-01,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9997.045251949517,9945.585574436804,3.3158382642998014,2021-03-02,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9867.647115882011,9945.585574436804,3.3158382642998014,2021-03-03,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9833.556379093217,9945.585574436804,3.3158382642998014,2021-03-04,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9828.963924630149,9945.585574436804,3.3158382642998014,2021-03-05,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9832.334543052757,9945.585574436804,3.3158382642998014,2021-03-06,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9836.61673815378,9945.585574436804,3.3158382642998014,2021-03-07,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9839.499729818579,9862.23766894,3.3158382642998014,2021-03-08,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9840.225797715977,9839.834889763779,3.3158382642998014,2021-03-09,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9838.547498691752,9835.677801593743,3.3158382642998014,2021-03-10,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9834.38613668076,9835.796338391963,3.3158382642998014,2021-03-11,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9827.720016901338,9835.618637287851,3.3158382642998014,2021-03-12,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9818.547898570849,9833.649116647575,3.3158382642998014,2021-03-13,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9806.876912229034,9829.400570086898,3.3158382642998014,2021-03-14,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9792.718636709582,9822.717556785614,3.3158382642998014,2021-03-15,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9776.087808295326,9813.554986868376,3.3158382642998014,2021-03-16,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9757.001770802452,9801.905597169909,3.3158382642998014,2021-03-17,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9735.480442925962,9787.776212347791,3.3158382642998014,2021-03-18,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9711.546129804276,9771.179942762496,3.3158382642998014,2021-03-19,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9685.2234862268,9752.13359814192,3.3158382642998014,2021-03-20,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9656.539458000752,9730.65681896645,3.3158382642998014,2021-03-21,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9625.52322250024,9706.771759793688,3.3158382642998014,2021-03-22,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9592.206126042214,9680.502948043242,3.3158382642998014,2021-03-23,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9556.62161758726,9651.877211869643,3.3158382642998014,2021-03-24,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9518.805178712604,9620.923602696306,3.3158382642998014,2021-03-25,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9478.79424990011,9587.673334138568,3.3158382642998014,2021-03-26,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9436.62815366305,9552.15971520089,3.3158382642998014,2021-03-27,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9392.348014776937,9514.41808045463,3.3158382642998014,2021-03-28,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9345.996677374713,9474.485716865269,3.3158382642998014,2021-03-29,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9297.618619639665,9432.40178737919,3.3158382642998014,2021-03-30,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9247.25986625118,9388.207251474038,3.3158382642998014,2021-03-31,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9194.967898868885,9341.944782924937,3.3158382642998014,2021-04-01,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9140.791565357242,9293.658685133096,3.3158382642998014,2021-04-02,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9084.780987033124,9243.394804185964,3.3158382642998014,2021-04-03,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,9026.987456591523,9191.200438730904,3.3158382642998014,2021-04-04,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,8967.463347208657,9137.124248707183,3.3158382642998014,2021-04-05,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,8906.262032965193,9081.216164896545,3.3158382642998014,2021-04-06,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,8843.437782485862,9023.527295787211,3.3158382642998014,2021-04-07,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,8779.045663678613,8964.109833617174,3.3158382642998014,2021-04-08,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,8713.141448696668,8903.016959808521,3.3158382642998014,2021-04-09,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,8645.781519416636,8840.302750149021,3.3158382642998014,2021-04-10,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,8577.022773679588,8776.022081161602,3.3158382642998014,2021-04-11,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,8740.077669947124,8743.538412981385,1.7391617357001965,2021-04-12,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,9070.707809610987,8767.030666787925,1.7391617357001965,2021-04-13,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,9523.55853433744,8864.190774195293,1.7391617357001965,2021-04-14,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,10081.859198091748,9050.306993397171,1.7391617357001965,2021-04-15,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,10739.678834786748,9339.81233426718,1.7391617357001965,2021-04-16,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,11495.68698848898,9746.941686991804,1.7391617357001965,2021-04-17,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,12350.892319200395,10286.065907780488,1.7391617357001965,2021-04-18,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,13055.061730672904,10902.492202169888,3.1097238658777115,2021-04-19,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,13622.203019737939,11552.705803616594,3.1097238658777115,2021-04-20,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,14089.101811527456,12204.926271786597,3.1097238658777115,2021-04-21,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,14474.763529879507,12832.484033470562,3.1097238658777115,2021-04-22,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,14792.169664516909,13411.411294860583,3.1097238658777115,2021-04-23,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,15051.670176539934,13919.408893153577,3.1097238658777115,2021-04-24,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,15261.969821942166,14335.277107830974,3.1097238658777115,2021-04-25,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,15430.456022794317,14674.619149562604,3.1097238658777115,2021-04-26,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,15563.366466501162,14951.92821338592,3.1097238658777115,2021-04-27,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,15665.925927200597,15177.188801339229,3.1097238658777115,2021-04-28,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,15742.478422851467,15358.290928906648,3.1097238658777115,2021-04-29,Czech Republic,,Plan 1
3,3,2,4,2,2,0,4,2,3,2,0,15796.614603983817,15501.783063116209,3.1097238658777115,2021-04-30,Czech Republic,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,9958.432842310174,8393.180732626346,4.326982248520709,2021-03-01,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9121.939882546909,8393.180732626346,4.326982248520709,2021-03-02,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8620.515372976204,8393.180732626346,4.326982248520709,2021-03-03,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8240.080651703187,8393.180732626346,4.326982248520709,2021-03-04,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7907.826169701497,8393.180732626346,4.326982248520709,2021-03-05,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7598.871519364363,8393.180732626346,4.326982248520709,2021-03-06,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7304.59868978208,8393.180732626346,4.326982248520709,2021-03-07,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7021.908568941215,7973.6772650022085,4.326982248520709,2021-03-08,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6749.574970324145,7634.767991827525,4.326982248520709,2021-03-09,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6487.007530118268,7329.981157133538,4.326982248520709,2021-03-10,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6233.832221178536,7043.374238487158,4.326982248520709,2021-03-11,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5989.7493455186195,6769.36326360389,4.326982248520709,2021-03-12,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5754.485609257451,6505.879562160045,4.326982248520709,2021-03-13,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5527.778277119762,6252.048074636856,4.326982248520709,2021-03-14,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5309.37008679244,6007.3997200441745,4.326982248520709,2021-03-15,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5099.0078034531625,5771.604410491177,4.326982248520709,2021-03-16,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4896.441978299214,5544.380760231311,4.326982248520709,2021-03-17,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4701.427084081089,5325.465740645961,4.326982248520709,2021-03-18,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4513.721748555971,5114.604655365583,4.326982248520709,2021-03-19,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4333.088998381031,4911.547996668954,4.326982248520709,2021-03-20,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4159.296474111285,4716.050596239171,4.326982248520709,2021-03-21,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3992.116626652955,4527.871530504957,4.326982248520709,2021-03-22,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3831.32686685647,4346.774253848287,4.326982248520709,2021-03-23,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3676.709589269751,4172.5267697012205,4.326982248520709,2021-03-24,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3528.0525949410785,4004.901842681221,4.326982248520709,2021-03-25,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3385.148834291096,3843.677140643381,4.326982248520709,2021-03-26,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3247.7966645815363,3688.635378672025,4.326982248520709,2021-03-27,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3115.7995918976253,3539.5643954986444,4.326982248520709,2021-03-28,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2988.966578647065,3396.2572457835167,4.326982248520709,2021-03-29,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2867.111934784973,3258.5122554875893,4.326982248520709,2021-03-30,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2750.055296480922,3126.133070803471,4.326982248520709,2021-03-31,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2637.6215910152882,2998.9286416712152,4.326982248520709,2021-04-01,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2529.6409894972226,2876.7132352720905,4.326982248520709,2021-04-02,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2425.948848835308,2759.3064044512007,4.326982248520709,2021-04-03,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2326.3856442693864,2646.532983361453,4.326982248520709,2021-04-04,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2230.7968936629345,2538.223028363719,4.326982248520709,2021-04-05,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2139.033074658806,2434.2117626314102,4.326982248520709,2021-04-06,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2050.949535708986,2334.3395110925617,4.326982248520709,2021-04-07,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1966.4064019039893,2238.4516269338046,4.326982248520709,2021-04-08,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1885.2684764480814,2146.398410783928,4.326982248520709,2021-04-09,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1807.4051385510654,2058.035023600464,4.326982248520709,2021-04-10,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1732.6902384385712,1973.221394196062,4.326982248520709,2021-04-11,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1661.0019901173112,1891.822122260973,4.326982248520709,2021-04-12,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1592.2228624714041,1813.7063776627729,4.326982248520709,2021-04-13,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1526.2394692101284,1738.7477967343646,4.326982248520709,2021-04-14,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1462.9424581351211,1666.824376195955,4.326982248520709,2021-04-15,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1402.226400147052,1597.8183652958076,4.326982248520709,2021-04-16,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1343.9896783673848,1531.616156698139,4.326982248520709,2021-04-17,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1288.134377709794,1468.1081765940282,4.326982248520709,2021-04-18,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1234.5661751980442,1407.1887744627045,4.326982248520709,2021-04-19,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1183.19423129235,1348.7561128656967,4.326982248520709,2021-04-20,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1133.9310824546526,1292.7120576149139,4.326982248520709,2021-04-21,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1086.6925351535492,1238.9620686175465,4.326982248520709,2021-04-22,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,1041.3975614834371,1187.4150916656015,4.326982248520709,2021-04-23,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,997.9681965477744,1137.9834514056572,4.326982248520709,2021-04-24,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,956.3294377340984,1090.5827456948437,4.326982248520709,2021-04-25,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,916.4091459883577,1045.1317415220312,4.326982248520709,2021-04-26,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,878.1379491777028,1001.5522726485103,4.326982248520709,2021-04-27,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,841.4491476142296,959.7691390998784,4.326982248520709,2021-04-28,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,806.2786217971582,919.710008620394,4.326982248520709,2021-04-29,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,772.5647424173262,881.3053201823781,4.326982248520709,2021-04-30,Czech Republic,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9958.432842310174,8393.180732626346,4.326982248520709,2021-03-01,Czech Republic,,Plan 3
3,3,2,4,2,3,2,4,2,3,2,4,9121.939882546909,8393.180732626346,4.326982248520709,2021-03-02,Czech Republic,,Plan 3
