C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,1,4,2,3,2,4,10096.57828161745,8833.209827694818,0.4354189285714273,2021-03-01,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,9379.678587357776,8833.209827694818,0.4354189285714273,2021-03-02,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,8983.382465235132,8833.209827694818,0.4354189285714273,2021-03-03,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,8697.567541151882,8833.209827694818,0.4354189285714273,2021-03-04,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,8451.748438246674,8833.209827694818,0.4354189285714273,2021-03-05,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,8222.28085225571,8833.209827694818,0.4354189285714273,2021-03-06,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,8001.2326279991,8833.209827694818,0.4354189285714273,2021-03-07,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,7785.940725796505,8503.118748291825,0.4354189285714273,2021-03-08,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,7575.506659497298,8245.379901454613,0.4354189285714273,2021-03-09,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,7369.620500439157,8014.842477912332,0.4354189285714273,2021-03-10,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,7168.166324035979,7796.356589752918,0.4354189285714273,2021-03-11,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,6971.089914146219,7584.833943452852,0.4354189285714273,2021-03-12,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,6778.354625122221,7378.558768148067,0.4354189285714273,2021-03-13,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,4,6589.926724699763,7176.943639105305,0.4354189285714273,2021-03-14,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,6606.185677708098,7008.407203664106,0.14124630952380854,2021-03-15,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,6747.913510884552,6890.179611005142,0.14124630952380854,2021-03-16,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,6973.870673650375,6833.643921463887,0.14124630952380854,2021-03-17,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,7267.157462208944,6847.7855126314535,0.14124630952380854,2021-03-18,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,7620.0932592087465,6940.500276211814,0.14124630952380854,2021-03-19,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,8028.846499739599,7119.141972585727,0.14124630952380854,2021-03-20,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,8491.480523312875,7390.7925152447415,0.14124630952380854,2021-03-21,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,9007.179162457927,7733.7915844947165,0.14124630952380854,2021-03-22,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,9575.890966022691,8137.788363800165,0.14124630952380854,2021-03-23,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,10198.132214161009,8598.397155301685,0.14124630952380854,2021-03-24,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,10874.858682059565,9113.783043851772,0.14124630952380854,2021-03-25,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,11607.373168415437,9683.39445945273,0.14124630952380854,2021-03-26,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,12397.252952959041,10307.452524198365,0.14124630952380854,2021-03-27,Czech Republic,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,13246.289604693142,10986.710964395545,0.14124630952380854,2021-03-28,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,13850.879612485442,11678.668171542331,0.39631178571428455,2021-03-29,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14263.148345754196,12348.276368646832,0.39631178571428455,2021-03-30,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14528.274288114188,12966.868093497285,0.39631178571428455,2021-03-31,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14674.270197741978,13509.641167166204,0.39631178571428455,2021-04-01,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14722.770042846803,13954.697863513542,0.39631178571428455,2021-04-02,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14691.898219023426,14282.504330094167,0.39631178571428455,2021-04-03,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14597.05166373394,14475.470338528567,0.39631178571428455,2021-04-04,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14451.211040541482,14561.231971108004,0.39631178571428455,2021-04-05,Czech Republic,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,4,14265.190130797311,14561.52365468559,0.39631178571428455,2021-04-06,Czech Republic,,Plan 1
