,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,3,2,4,2,2,1,4,2,3,2,2,10369.761391689246,9757.142153771394,58.01,2021-03-01,Czech Republic,,Plan 1
1,3,3,2,4,2,2,1,4,2,3,2,2,9895.64583695282,9757.142153771394,58.01,2021-03-02,Czech Republic,,Plan 1
2,3,3,2,4,2,2,1,4,2,3,2,2,9720.969337961402,9757.142153771394,58.01,2021-03-03,Czech Republic,,Plan 1
3,3,3,2,4,2,2,1,4,2,3,2,2,9643.102529415404,9757.142153771394,58.01,2021-03-04,Czech Republic,,Plan 1
4,3,3,2,4,2,2,1,4,2,3,2,2,9595.523026265537,9757.142153771394,58.01,2021-03-05,Czech Republic,,Plan 1
5,3,3,2,4,2,2,1,4,2,3,2,2,9556.402097286587,9757.142153771394,58.01,2021-03-06,Czech Republic,,Plan 1
6,3,3,2,4,2,2,1,4,2,3,2,2,9518.590856828761,9757.142153771394,58.01,2021-03-07,Czech Republic,,Plan 1
7,3,3,2,4,2,2,1,4,2,3,2,1,9492.722341514627,9631.850860889306,57.01,2021-03-08,Czech Republic,,Plan 1
8,3,3,2,4,2,2,1,4,2,3,2,1,9471.74452026712,9571.293529934204,57.01,2021-03-09,Czech Republic,,Plan 1
9,3,3,2,4,2,2,1,4,2,3,2,1,9452.80983264019,9532.985029174033,57.01,2021-03-10,Czech Republic,,Plan 1
10,3,3,2,4,2,2,1,4,2,3,2,1,9434.566505578145,9503.194168625852,57.01,2021-03-11,Czech Republic,,Plan 1
11,3,3,2,4,2,2,1,4,2,3,2,1,9416.246602535037,9477.583250950067,57.01,2021-03-12,Czech Republic,,Plan 1
12,3,3,2,4,2,2,1,4,2,3,2,1,9397.347051173285,9454.861101505308,57.01,2021-03-13,Czech Republic,,Plan 1
13,3,3,2,4,2,2,1,4,2,3,2,1,9377.50903456951,9434.706555468274,57.01,2021-03-14,Czech Republic,,Plan 1
14,3,3,2,4,2,1,1,4,2,3,2,2,9387.543677278733,9419.681032006003,54.01,2021-03-15,Czech Republic,,Plan 1
15,3,3,2,4,2,1,1,4,2,3,2,2,9414.053215613949,9411.43941705555,54.01,2021-03-16,Czech Republic,,Plan 1
16,3,3,2,4,2,1,1,4,2,3,2,2,9451.00483295017,9411.181559956976,54.01,2021-03-17,Czech Republic,,Plan 1
17,3,3,2,4,2,1,1,4,2,3,2,2,9495.131312740405,9419.833675265869,54.01,2021-03-18,Czech Republic,,Plan 1
18,3,3,2,4,2,1,1,4,2,3,2,2,9544.332978826991,9438.131729021861,54.01,2021-03-19,Czech Republic,,Plan 1
19,3,3,2,4,2,1,1,4,2,3,2,2,9597.094552480037,9466.6670863514,54.01,2021-03-20,Czech Republic,,Plan 1
20,3,3,2,4,2,1,1,4,2,3,2,2,9652.250612941521,9505.915883261687,54.01,2021-03-21,Czech Republic,,Plan 1
21,3,3,2,4,2,1,1,4,2,3,2,0,9730.514523227028,9554.911718397158,52.01,2021-03-22,Czech Republic,,Plan 1
22,3,3,2,4,2,1,1,4,2,3,2,0,9822.568225102208,9613.27100546691,52.01,2021-03-23,Czech Republic,,Plan 1
23,3,3,2,4,2,1,1,4,2,3,2,0,9923.997998800567,9680.84145773125,52.01,2021-03-24,Czech Republic,,Plan 1
24,3,3,2,4,2,1,1,4,2,3,2,0,10032.253778725211,9757.573238586223,52.01,2021-03-25,Czech Republic,,Plan 1
25,3,3,2,4,2,1,1,4,2,3,2,0,10145.595859672441,9843.467935849858,52.01,2021-03-26,Czech Republic,,Plan 1
26,3,3,2,4,2,1,1,4,2,3,2,0,10262.70830881187,9938.555615325837,52.01,2021-03-27,Czech Republic,,Plan 1
27,3,3,2,4,2,1,1,4,2,3,2,0,10382.54030050939,10042.882713549816,52.01,2021-03-28,Czech Republic,,Plan 1
28,3,3,2,4,2,1,1,4,2,3,2,1,10492.791241099087,10151.77938753154,53.01,2021-03-29,Czech Republic,,Plan 1
29,3,3,2,4,2,1,1,4,2,3,2,1,10597.122119163429,10262.429943826,53.01,2021-03-30,Czech Republic,,Plan 1
30,3,3,2,4,2,1,1,4,2,3,2,1,10696.896430688965,10372.844005524343,53.01,2021-03-31,Czech Republic,,Plan 1
31,3,3,2,4,2,1,1,4,2,3,2,1,10792.687644267695,10481.477414887555,53.01,2021-04-01,Czech Republic,,Plan 1
32,3,3,2,4,2,1,1,4,2,3,2,1,10884.776352427156,10587.074628138229,53.01,2021-04-02,Czech Republic,,Plan 1
33,3,3,2,4,2,1,1,4,2,3,2,1,10973.318632392553,10688.590388649754,53.01,2021-04-03,Czech Republic,,Plan 1
34,3,3,2,4,2,1,1,4,2,3,2,1,11058.406576256048,10785.142713756419,53.01,2021-04-04,Czech Republic,,Plan 1
35,3,3,2,3,2,0,1,4,2,3,2,1,11222.492975017098,10889.38581860185,46.51,2021-04-05,Czech Republic,,Plan 1
36,3,3,2,3,2,0,1,4,2,3,2,1,11435.51514179442,11009.156250406275,46.51,2021-04-06,Czech Republic,,Plan 1
37,3,3,2,3,2,0,1,4,2,3,2,1,11683.332463362272,11150.07568364532,46.51,2021-04-07,Czech Republic,,Plan 1
38,3,3,2,3,2,0,1,4,2,3,2,1,11958.667722438326,11316.644266241125,46.51,2021-04-08,Czech Republic,,Plan 1
39,3,3,2,3,2,0,1,4,2,3,2,1,12256.985283560185,11512.674113545841,46.51,2021-04-09,Czech Republic,,Plan 1
40,3,3,2,3,2,0,1,4,2,3,2,1,12575.02372485423,11741.489126754654,46.51,2021-04-10,Czech Republic,,Plan 1
41,3,3,2,3,2,0,1,4,2,3,2,1,12910.231626284178,12006.035562472958,46.51,2021-04-11,Czech Republic,,Plan 1
42,3,3,2,4,2,0,1,4,2,3,2,1,13219.647420763584,12291.34334043674,49.01,2021-04-12,Czech Republic,,Plan 1
43,3,3,2,4,2,0,1,4,2,3,2,1,13513.897469323396,12588.255101512312,49.01,2021-04-13,Czech Republic,,Plan 1
44,3,3,2,4,2,0,1,4,2,3,2,1,13798.184443484864,12890.376812958395,49.01,2021-04-14,Czech Republic,,Plan 1
45,3,3,2,4,2,0,1,4,2,3,2,1,14074.742945469883,13192.673273391474,49.01,2021-04-15,Czech Republic,,Plan 1
46,3,3,2,4,2,0,1,4,2,3,2,1,14344.714102107258,13490.920247469627,49.01,2021-04-16,Czech Republic,,Plan 1
47,3,3,2,4,2,0,1,4,2,3,2,1,14608.768146248132,13781.455164811614,49.01,2021-04-17,Czech Republic,,Plan 1
48,3,3,2,4,2,0,1,4,2,3,2,1,14867.323724634567,14061.03975029024,49.01,2021-04-18,Czech Republic,,Plan 1
49,3,3,2,4,2,1,1,4,2,3,2,0,15075.59614788347,14326.17528273594,52.01,2021-04-19,Czech Republic,,Plan 1
50,3,3,2,4,2,1,1,4,2,3,2,0,15250.441687868986,14574.253028242452,52.01,2021-04-20,Czech Republic,,Plan 1
51,3,3,2,4,2,1,1,4,2,3,2,0,15399.57456548075,14803.023045670436,52.01,2021-04-21,Czech Republic,,Plan 1
52,3,3,2,4,2,1,1,4,2,3,2,0,15527.368793209609,15010.541023918968,52.01,2021-04-22,Czech Republic,,Plan 1
53,3,3,2,4,2,1,1,4,2,3,2,0,15636.778038630995,15195.121586279502,52.01,2021-04-23,Czech Republic,,Plan 1
54,3,3,2,4,2,1,1,4,2,3,2,0,15730.010132973819,15355.2990129546,52.01,2021-04-24,Czech Republic,,Plan 1
55,3,3,2,4,2,1,1,4,2,3,2,0,15808.795509892692,15489.79498227719,52.01,2021-04-25,Czech Republic,,Plan 1
56,3,3,2,4,2,1,1,4,2,3,2,0,15874.516813318034,15603.926505910698,52.01,2021-04-26,Czech Republic,,Plan 1
57,3,3,2,4,2,1,1,4,2,3,2,0,15928.287352046604,15700.761600793214,52.01,2021-04-27,Czech Republic,,Plan 1
58,3,3,2,4,2,1,1,4,2,3,2,0,15971.006805348654,15782.3947779172,52.01,2021-04-28,Czech Republic,,Plan 1
59,3,3,2,4,2,1,1,4,2,3,2,0,16003.404366155688,15850.39985976664,52.01,2021-04-29,Czech Republic,,Plan 1
60,3,3,2,4,2,1,1,4,2,3,2,0,16026.073384688463,15906.013480631995,52.01,2021-04-30,Czech Republic,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,9958.432842310174,8393.180732626346,78.00999999999999,2021-03-01,Czech Republic,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,9121.939882546909,8393.180732626346,78.00999999999999,2021-03-02,Czech Republic,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,8620.515372976204,8393.180732626346,78.00999999999999,2021-03-03,Czech Republic,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,8240.080651703187,8393.180732626346,78.00999999999999,2021-03-04,Czech Republic,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,7907.826169701497,8393.180732626346,78.00999999999999,2021-03-05,Czech Republic,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,7598.871519364363,8393.180732626346,78.00999999999999,2021-03-06,Czech Republic,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,7304.59868978208,8393.180732626346,78.00999999999999,2021-03-07,Czech Republic,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,7021.908568941214,7973.677265002208,78.00999999999999,2021-03-08,Czech Republic,,Plan 2
