C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,0,1,4,2,3,2,1,10779.978098537707,11287.385729438345,49.01,2021-03-01,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,10686.061674683222,11287.385729438345,49.01,2021-03-02,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,10879.025342388408,11287.385729438345,49.01,2021-03-03,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,11167.752322865272,11287.385729438345,49.01,2021-03-04,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,11491.25924765089,11287.385729438345,49.01,2021-03-05,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,11830.001333916709,11287.385729438345,49.01,2021-03-06,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,12177.622086026196,11287.385729438345,49.01,2021-03-07,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,12531.951423152876,11537.667632954795,49.01,2021-03-08,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,12892.136393764973,11852.821164252193,49.01,2021-03-09,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,13257.726147763626,12192.635565020075,49.01,2021-03-10,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,13628.379450736265,12544.153726144505,49.01,2021-03-11,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,14003.770881496315,12903.083959550997,49.01,2021-03-12,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,14383.560681143645,13267.878152011985,49.01,2021-03-13,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,1,14767.384528422694,13637.844215211488,49.01,2021-03-14,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,14945.168980707957,13982.589580576494,62.01,2021-03-15,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,14994.980372326036,14282.995863228076,62.01,2021-03-16,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,14953.70082519962,14525.277960004649,62.01,2021-03-17,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,14843.462424760972,14698.861242008175,62.01,2021-03-18,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,14679.951033490921,14795.458406578833,62.01,2021-03-19,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,14475.231733204102,14808.5542711589,62.01,2021-03-20,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,14238.880290713274,14733.053665771838,62.01,2021-03-21,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,13978.567856380118,14594.96779086786,62.01,2021-03-22,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,13700.445902702344,14410.034295207337,62.01,2021-03-23,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,13409.439614354656,14189.425550800914,62.01,2021-03-24,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,13109.484221109167,13941.714378850656,62.01,2021-03-25,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,12803.718145466135,13673.681109132827,62.01,2021-03-26,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,12494.640626585313,13390.739522473,62.01,2021-03-27,Czech Republic,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,12184.239528179878,13097.219413539658,62.01,2021-03-28,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,2,12031.766157181975,12819.104885082783,50.01,2021-03-29,Czech Republic,,Plan 1
3,3,2,4,2,0,1,4,2,3,2,2,11966.14229289188,12571.34722653843,50.01,2021-03-30,Czech Republic,,Plan 1
