C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,5989.5603270234815,5690.5334882102625,0.1238653571428562,2021-01-27,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5732.388738131815,5690.5334882102625,0.1238653571428562,2021-01-28,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5649.474755503992,5690.5334882102625,0.1238653571428562,2021-01-29,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5623.3031889378335,5690.5334882102625,0.1238653571428562,2021-01-30,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5615.242484643232,5690.5334882102625,0.1238653571428562,2021-01-31,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5612.591399737983,5690.5334882102625,0.1238653571428562,2021-02-01,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,5611.1735234935095,5690.5334882102625,0.1238653571428562,2021-02-02,Czech Republic,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,5676.749477368578,5645.846223973849,0.1043117857142849,2021-02-03,Czech Republic,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,5797.181109555836,5655.1022770344225,0.1043117857142849,2021-02-04,Czech Republic,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,5952.2349973868095,5698.35374016054,0.1043117857142849,2021-02-05,Czech Republic,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,6133.443263868309,5771.230893722038,0.1043117857142849,2021-02-06,Czech Republic,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,6336.5919017774295,5874.280810455493,0.1043117857142849,2021-02-07,Czech Republic,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,6559.191556196493,6009.509404235279,0.1043117857142849,2021-02-08,Czech Republic,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,6799.582528207393,6179.282119194408,0.1043117857142849,2021-02-09,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,6991.482376337071,6367.101104761336,0.1238653571428562,2021-02-10,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7133.377720627488,6557.986334914427,0.1238653571428562,2021-02-11,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7241.086173247377,6742.107931465937,0.1238653571428562,2021-02-12,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7322.818987992705,6912.018749197996,0.1238653571428562,2021-02-13,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7383.836191085104,7061.625076241947,0.1238653571428562,2021-02-14,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7427.996640524185,7185.740088288761,0.1238653571428562,2021-02-15,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7458.320899946145,7279.845569965725,0.1238653571428562,2021-02-16,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7477.234268873608,7349.238697470943,0.1238653571428562,2021-02-17,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7486.699930052894,7399.713298817432,0.1238653571428562,2021-02-18,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7488.309616882058,7435.030933622385,0.1238653571428562,2021-02-19,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7483.353291920161,7457.964405612021,0.1238653571428562,2021-02-20,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7472.875513762688,7470.684308851677,0.1238653571428562,2021-02-21,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7457.721706675392,7474.930746873278,0.1238653571428562,2021-02-22,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7438.576138537087,7472.110066671985,0.1238653571428562,2021-02-23,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,7415.993040265091,7463.361319727909,0.1238653571428562,2021-02-24,Czech Republic,,Plan 1
