C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,4799.531833201708,4005.9464447758864,0.1238653571428562,2020-11-18,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4376.778710331846,4005.9464447758864,0.1238653571428562,2020-11-19,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,4121.380334615056,4005.9464447758864,0.1238653571428562,2020-11-20,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3927.517373610556,4005.9464447758864,0.1238653571428562,2020-11-21,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3758.836491576039,4005.9464447758864,0.1238653571428562,2020-11-22,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3602.754704890671,4005.9464447758864,0.1238653571428562,2020-11-23,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3454.82566520533,4005.9464447758864,0.1238653571428562,2020-11-24,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3313.391202205756,3793.640640347893,0.1238653571428562,2020-11-25,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3177.7510372244988,3622.35097276113,0.1238653571428562,2020-11-26,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,3047.536450137248,3468.944703550014,0.1238653571428562,2020-11-27,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2922.4959182994203,3325.3702099341376,0.1238653571428562,2020-11-28,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2802.421757218757,3188.739533597383,0.1238653571428562,2020-11-29,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2687.12489930454,3057.9352756565067,0.1238653571428562,2020-11-30,Czech Republic,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,2576.426286882079,2932.449650181757,0.1238653571428562,2020-12-01,Czech Republic,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,2507.339263058201,2817.299373160678,0.08671357142857071,2020-12-02,Czech Republic,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,2471.0640736358264,2716.3440926480107,0.08671357142857071,2020-12-03,Czech Republic,,Plan 1
