,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,1,2,2,2,0,1,4,2,3,2,0,4822.327687129136,4077.84065601147,35.67,2020-11-18,Czech Republic,,Plan 1
1,3,1,2,2,2,0,1,4,2,3,2,0,4419.337799684533,4077.84065601147,35.67,2020-11-19,Czech Republic,,Plan 1
2,3,1,2,2,2,0,1,4,2,3,2,0,4181.1703941541,4077.84065601147,35.67,2020-11-20,Czech Republic,,Plan 1
3,3,1,2,2,2,0,1,4,2,3,2,0,4002.6221796857644,4077.84065601147,35.67,2020-11-21,Czech Republic,,Plan 1
4,3,1,2,2,2,0,1,4,2,3,2,0,3847.7327691295286,4077.84065601147,35.67,2020-11-22,Czech Republic,,Plan 1
5,3,1,2,2,2,0,1,4,2,3,2,0,3704.1449644107975,4077.84065601147,35.67,2020-11-23,Czech Republic,,Plan 1
6,3,1,2,2,2,0,1,4,2,3,2,0,3567.5487978864276,4077.84065601147,35.67,2020-11-24,Czech Republic,,Plan 1
7,1,0,2,2,1,0,0,4,2,3,2,0,3508.0546802568565,3890.0873693154304,19.0,2020-11-25,Czech Republic,,Plan 1
8,1,0,2,2,1,0,0,4,2,3,2,0,3509.325239187268,3760.0855749586776,19.0,2020-11-26,Czech Republic,,Plan 1
9,1,0,2,2,1,0,0,4,2,3,2,0,3544.915660970085,3669.192041646675,19.0,2020-11-27,Czech Republic,,Plan 1
10,1,0,2,2,1,0,0,4,2,3,2,0,3603.9113793442225,3612.2333558835976,19.0,2020-11-28,Czech Republic,,Plan 1
11,1,0,2,2,1,0,0,4,2,3,2,0,3680.9851021476625,3588.412260600474,19.0,2020-11-29,Czech Republic,,Plan 1
12,1,0,2,2,1,0,0,4,2,3,2,0,3773.0340277178507,3598.2535553586245,19.0,2020-11-30,Czech Republic,,Plan 1
13,1,0,2,2,1,0,0,4,2,3,2,0,3877.996821122674,3642.6032729638027,19.0,2020-12-01,Czech Republic,,Plan 1
14,3,0,1,0,1,0,0,4,2,3,2,0,3990.0990722901197,3711.466757539983,20.5,2020-12-02,Czech Republic,,Plan 1
15,3,0,1,0,1,0,0,4,2,3,2,0,4107.340764043686,3796.897546805186,20.5,2020-12-03,Czech Republic,,Plan 1
16,3,0,1,0,1,0,0,4,2,3,2,0,4230.20719913741,3894.7963379719467,20.5,2020-12-04,Czech Republic,,Plan 1
17,3,0,1,0,1,0,0,4,2,3,2,0,4358.657499128332,4002.617212226819,20.5,2020-12-05,Czech Republic,,Plan 1
18,3,0,1,0,1,0,0,4,2,3,2,0,4492.524716092318,4118.551442790341,20.5,2020-12-06,Czech Republic,,Plan 1
19,3,0,1,0,1,0,0,4,2,3,2,0,4631.6376914839975,4241.209109042648,20.5,2020-12-07,Czech Republic,,Plan 1
