C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,2,2,2,0,0,0,4,2,3,2,0,6068.380010822784,5958.127729467333,35.34,2021-01-27,Czech Republic,,Plan 1
3,2,2,2,0,0,0,4,2,3,2,0,5878.225433999908,5958.127729467333,35.34,2021-01-28,Czech Republic,,Plan 1
3,2,2,2,0,0,0,4,2,3,2,0,5857.682294921882,5958.127729467333,35.34,2021-01-29,Czech Republic,,Plan 1
3,2,2,2,0,0,0,4,2,3,2,0,5892.340890505789,5958.127729467333,35.34,2021-01-30,Czech Republic,,Plan 1
3,2,2,2,0,0,0,4,2,3,2,0,5944.821821073158,5958.127729467333,35.34,2021-01-31,Czech Republic,,Plan 1
3,2,2,2,0,0,0,4,2,3,2,0,6002.8961604189235,5958.127729467333,35.34,2021-02-01,Czech Republic,,Plan 1
3,2,2,2,0,0,0,4,2,3,2,0,6062.547494528884,5958.127729467333,35.34,2021-02-02,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6155.713509553068,5970.6039435716575,30.0,2021-02-03,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6277.665121651776,6027.666756093355,30.0,2021-02-04,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6418.105896206057,6107.727270562522,30.0,2021-02-05,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6572.487782523054,6204.891112279272,30.0,2021-02-06,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6738.385753770872,6318.257388378946,30.0,2021-02-07,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6914.263949911881,6448.4527868779405,30.0,2021-02-08,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,7099.0295497933275,6596.521651915719,30.0,2021-02-09,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,7291.852309987269,6758.827194834891,30.0,2021-02-10,Czech Republic,,Plan 1
