C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,1,2,2,2,0,0,4,2,3,2,0,6101.783759393383,6073.080995019123,33.67,2021-01-27,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,5939.992943995301,6073.080995019123,33.67,2021-01-28,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,5946.132387285228,6073.080995019123,33.67,2021-01-29,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6007.178677577743,6073.080995019123,33.67,2021-01-30,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6086.296297346377,6073.080995019123,33.67,2021-01-31,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6171.459666350066,6073.080995019123,33.67,2021-02-01,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6258.7232331857695,6073.080995019123,33.67,2021-02-02,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6346.77258261251,6108.079398336143,33.67,2021-02-03,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6435.149523700366,6178.816052579722,33.67,2021-02-04,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6523.674071000024,6261.322007396122,33.67,2021-02-05,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6612.255978977471,6347.761621881798,33.67,2021-02-06,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6700.833405925578,6435.5526373931125,33.67,2021-02-07,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6789.352903861124,6523.823099894691,33.67,2021-02-08,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,6877.762955275926,6612.257345907571,33.67,2021-02-09,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7001.482544986104,6705.787340532371,29.0,2021-02-10,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7158.407480561138,6809.109905798195,29.0,2021-02-11,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7338.873893144033,6925.5670232473385,29.0,2021-02-12,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7538.271583476698,7057.854966747228,29.0,2021-02-13,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7753.945824418318,7208.299597960477,29.0,2021-02-14,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,7984.112457961478,7378.979534260526,29.0,2021-02-15,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,8227.451022603855,7571.792115307376,29.0,2021-02-16,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,8482.932133219654,7783.427770769312,29.0,2021-02-17,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,8749.73043923456,8010.7596220083715,29.0,2021-02-18,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,9027.1721632728,8251.945089169623,29.0,2021-02-19,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,9314.69895776638,8505.720428353863,29.0,2021-02-20,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,9611.840942604318,8771.13401666615,29.0,2021-02-21,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,9918.195614329014,9047.43161043294,29.0,2021-02-22,Czech Republic,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,10233.41097313256,9333.997317651329,29.0,2021-02-23,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,10544.009149954843,9628.43689147064,30.0,2021-02-24,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,10849.270061591016,9928.37112323585,30.0,2021-02-25,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,11152.150947998109,10231.939521053748,30.0,2021-02-26,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,11453.996088177188,10537.553396826725,30.0,2021-02-27,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,11755.529908031527,10843.794677602036,30.0,2021-02-28,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12057.1915032384,11149.365518874807,30.0,2021-03-01,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12359.254733423935,11453.057484630715,30.0,2021-03-02,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12661.87724417198,11755.61006951888,30.0,2021-03-03,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12965.124959968944,12057.87505500144,30.0,2021-03-04,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13268.987273128438,12360.280244305774,30.0,2021-03-05,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13573.38801768331,12663.050519949507,30.0,2021-03-06,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13878.194193466808,12966.288275011688,30.0,2021-03-07,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,14183.223134998409,13270.007079548834,30.0,2021-03-08,Czech Republic,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,14488.248472877833,13574.14904232796,30.0,2021-03-09,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,14743.720799235478,13871.555264479888,33.67,2021-03-10,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,14949.329739481209,14155.013090124496,33.67,2021-03-11,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15118.60151810494,14419.243696549713,33.67,2021-03-12,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15258.788908427669,14660.015252370333,33.67,2021-03-13,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15374.612027253475,14873.789228625572,33.67,2021-03-14,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15469.545633037167,15057.549585488252,33.67,2021-03-15,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15546.307009836151,15208.700805053728,33.67,2021-03-16,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15607.07480924332,15332.037092197705,33.67,2021-03-17,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15653.612680698296,15432.648940943003,33.67,2021-03-18,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15687.35371970807,15513.899255457736,33.67,2021-03-19,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15709.465017138951,15578.281556702206,33.67,2021-03-20,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15720.899429433097,15627.751185585008,33.67,2021-03-21,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15722.437748492368,15663.878630650035,33.67,2021-03-22,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15714.723216113432,15687.938088689649,33.67,2021-03-23,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15698.28972317914,15700.968790680476,33.67,2021-03-24,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15673.584703295664,15703.821936765817,33.67,2021-03-25,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15640.987758916664,15697.19822808133,33.67,2021-03-26,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15600.825732408804,15681.67833026274,33.67,2021-03-27,Czech Republic,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,15553.384816885004,15657.747671327295,33.67,2021-03-28,Czech Republic,,Plan 1
3,2,2,2,2,0,1,4,2,3,2,0,5907.266917022464,5401.602001414492,39.34,2021-01-27,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5575.533483426355,5401.602001414492,39.34,2021-01-28,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5423.080678984511,5401.602001414492,39.34,2021-01-29,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5330.2372130270005,5401.602001414492,39.34,2021-01-30,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5257.253098505351,5401.602001414492,39.34,2021-01-31,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5190.933793672202,5401.602001414492,39.34,2021-02-01,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5126.908825263567,5401.602001414492,39.34,2021-02-02,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5063.740154575381,5281.098178207767,39.34,2021-02-03,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,5000.964009162776,5199.016824741541,39.34,2021-02-04,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,4938.44011311269,5129.782458188424,39.34,2021-02-05,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,4876.1353286776175,5064.910760424226,39.34,2021-02-06,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,4814.051696240709,5001.59627438642,39.34,2021-02-07,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,4752.202549099439,4938.920382304597,39.34,2021-02-08,Czech Republic,,Plan 2
3,2,2,2,2,0,1,4,2,3,2,0,4690.604539075395,4876.591198563429,39.34,2021-02-09,Czech Republic,,Plan 2
