C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,1,2,0,0,4,2,3,2,0,16800.606795695632,18309.837565074213,1.4022534516765282,2021-01-19,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,16885.411959520658,18309.837565074213,1.4022534516765282,2021-01-20,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,17408.86322436883,18309.837565074213,1.4022534516765282,2021-01-21,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,18092.413579111217,18309.837565074213,1.4022534516765282,2021-01-22,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,18847.995062774316,18309.837565074213,1.4022534516765282,2021-01-23,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,19648.274400054637,18309.837565074213,1.4022534516765282,2021-01-24,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,20485.29793399421,18309.837565074213,1.4022534516765282,2021-01-25,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,21357.306154724905,18960.79461636411,1.4022534516765282,2021-01-26,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,22264.529565072633,19729.239988585814,1.4022534516765282,2021-01-27,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,23207.847924256424,20557.666374284046,1.4022534516765282,2021-01-28,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,24188.360952674884,21428.51599907886,1.4022534516765282,2021-01-29,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,25207.250823907158,22336.98110781212,1.4022534516765282,2021-01-30,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,26265.73682890085,23282.33288336158,1.4022534516765282,2021-01-31,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,27365.059420020014,24265.155952793837,1.4022534516765282,2021-02-01,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,28506.473409792467,25286.46556066063,1.4022534516765282,2021-02-02,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,29691.243888977217,26347.424749789858,1.4022534516765282,2021-02-03,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,30920.642787512406,27449.252587397856,1.4022534516765282,2021-02-04,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,32195.945404509413,28593.19322337422,1.4022534516765282,2021-02-05,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,33518.42667763586,29780.50405962118,1.4022534516765282,2021-02-06,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,34889.3571042853,31012.449813247524,1.4022534516765282,2021-02-07,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,36309.998272314406,32290.29822071816,1.4022534516765282,2021-02-08,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,37781.597972869706,33615.316015443466,1.4022534516765282,2021-02-09,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,39305.38487296055,34988.76472744109,1.4022534516765282,2021-02-10,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,40882.56272769324,36411.89614746692,1.4022534516765282,2021-02-11,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,42514.30411366341,37885.94739163178,1.4022534516765282,2021-02-12,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,44201.74366614752,39412.13553284773,1.4022534516765282,2021-02-13,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,45945.97080632415,40991.651775996135,1.4022534516765282,2021-02-14,France,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,47748.021944850116,42625.65515778696,1.4022534516765282,2021-02-15,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,50155.10381910476,44393.29885010625,1.0644411571334644,2021-02-16,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,53171.383385294685,46374.155780439694,1.0644411571334644,2021-02-17,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,56703.67431533452,48634.31457867417,1.0644411571334644,2021-02-18,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,60726.97148648008,51236.12420336226,1.0644411571334644,2021-02-19,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,65242.0578100642,54241.88336677894,1.0644411571334644,2021-02-20,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,70261.10773043781,57715.47435593803,1.0644411571334644,2021-02-21,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,75802.54347292279,61723.263145662684,1.0644411571334644,2021-02-22,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,81888.95982192284,66256.67114606527,1.0644411571334644,2021-02-23,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,88546.09157951381,71310.20088809657,1.0644411571334644,2021-02-24,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,95802.14942526525,76895.69733237241,1.0644411571334644,2021-02-25,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,103687.27867383778,83032.88407342348,1.0644411571334644,2021-02-26,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,112233.04547742876,89745.88231161844,1.0644411571334644,2021-02-27,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,121471.90486889785,97061.71047425557,1.0644411571334644,2021-02-28,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,131436.62091114486,105009.43582257302,1.0644411571334644,2021-03-01,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,141082.21863752167,113465.61565337285,1.2899506903353049,2021-03-02,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,150256.93067394345,122281.44980971994,1.2899506903353049,2021-03-03,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,159133.34410984017,131328.76333608778,1.2899506903353049,2021-03-04,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,167786.09943351574,140485.7377303275,1.2899506903353049,2021-03-05,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,176256.36250938452,149631.92587774975,1.2899506903353049,2021-03-06,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,184571.17588723399,158646.10745179775,1.2899506903353049,2021-03-07,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,192749.2460277656,167405.05389702928,1.2899506903353049,2021-03-08,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,200802.76947945647,175936.56116016285,1.2899506903353049,2021-03-09,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,208738.16069743622,184291.0225920904,1.2899506903353049,2021-03-10,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,216556.52954555294,192494.33479719228,1.2899506903353049,2021-03-11,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,224254.1251432143,200561.19561286343,1.2899506903353049,2021-03-12,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,231822.7926922715,208499.25706756162,1.2899506903353049,2021-03-13,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,239250.4437289747,216310.58104495308,1.2899506903353049,2021-03-14,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,246521.53041049547,223992.33595677165,1.2899506903353049,2021-03-15,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,253617.51949576763,231537.30024481608,1.2899506903353049,2021-03-16,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,260517.3616729568,238934.32895560475,1.2899506903353049,2021-03-17,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,267197.95488810306,246168.8182902548,1.2899506903353049,2021-03-18,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,273634.60215241736,253223.1721487124,1.2899506903353049,2021-03-19,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,279801.46325103357,260077.26794282126,1.2899506903353049,2021-03-20,France,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,13740.830430243714,8749.46607887396,4.326982248520709,2021-01-19,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,11234.471100091709,8749.46607887396,4.326982248520709,2021-01-20,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,9509.576726559633,8749.46607887396,4.326982248520709,2021-01-21,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,8178.0025617666715,8749.46607887396,4.326982248520709,2021-01-22,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,7082.024165675983,8749.46607887396,4.326982248520709,2021-01-23,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,6151.402855805001,8749.46607887396,4.326982248520709,2021-01-24,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,5349.954711975008,8749.46607887396,4.326982248520709,2021-01-25,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4655.468790057879,7451.557273133128,4.326982248520709,2021-01-26,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,4052.06440221807,6425.4991734368905,4.326982248520709,2021-01-27,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3527.2002432321087,5570.873961532961,4.326982248520709,2021-01-28,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,3070.4344796408727,4841.221378372132,4.326982248520709,2021-01-29,France,,Plan 2
3,3,2,4,2,3,2,4,2,3,2,4,2672.8527536747474,4211.33974808624,4.326982248520709,2021-01-30,France,,Plan 2
