C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,21915.32869066799,17446.873400962733,0.1238653571428562,2020-10-26,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,19177.994870358245,17446.873400962733,0.1238653571428562,2020-10-27,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,17721.87067465478,17446.873400962733,0.1238653571428562,2020-10-28,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16794.22619205187,17446.873400962733,0.1238653571428562,2020-10-29,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,16090.982703895294,17446.873400962733,0.1238653571428562,2020-10-30,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,15489.102991590471,17446.873400962733,0.1238653571428562,2020-10-31,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,14938.607683520457,17446.873400962733,0.1238653571428562,2020-11-01,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,14419.008062031342,16375.97045401464,0.1238653571428562,2020-11-02,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,13921.72436036254,15625.074666872393,0.1238653571428562,2020-11-03,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,13442.990763516882,15013.806108138408,0.1238653571428562,2020-11-04,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,12980.992082124472,14469.058378148782,0.1238653571428562,2020-11-05,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,12534.70819661622,13961.0191628232,0.1238653571428562,2020-11-06,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,12103.447313025825,13477.354065885393,0.1238653571428562,2020-11-07,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,11686.65778365047,13012.789794475393,0.1238653571428562,2020-11-08,France,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,11416.780982572243,12583.900211695522,0.1043117857142849,2020-11-09,France,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,11223.21513055047,12198.39889315094,0.1043117857142849,2020-11-10,France,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,11073.974131226267,11859.967945680852,0.1043117857142849,2020-11-11,France,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,10953.477954187249,11570.323070261247,0.1043117857142849,2020-11-12,France,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,10853.283686177769,11330.119568770042,0.1043117857142849,2020-11-13,France,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,10768.23114756449,11139.374402275562,0.1043117857142849,2020-11-14,France,,Plan 1
3,0,2,2,2,0,0,3,2,3,2,4,10694.817941124957,10997.68299620049,0.1043117857142849,2020-11-15,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10516.603642706998,10869.086233362601,0.1238653571428562,2020-11-16,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10285.358371642951,10735.10669637581,0.1238653571428562,2020-11-17,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10025.480277256109,10585.321860094358,0.1238653571428562,2020-11-18,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,9749.799318211406,10413.367769240667,0.1238653571428562,2020-11-19,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,9465.856122387071,10215.163831556285,0.1238653571428562,2020-11-20,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,9178.506892223731,9988.060366507603,0.1238653571428562,2020-11-21,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8891.077838533987,9730.383208994608,0.1238653571428562,2020-11-22,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8773.012660953424,9481.298783029812,0.08671357142857071,2020-11-23,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8742.523842733244,9260.893850328424,0.08671357142857071,2020-11-24,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8763.188493061007,9080.566452586268,0.08671357142857071,2020-11-25,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8817.811837553752,8947.425383920889,0.08671357142857071,2020-11-26,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8897.423537138262,8866.220728885344,0.08671357142857071,2020-11-27,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8996.715169747671,8840.250482817335,0.08671357142857071,2020-11-28,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,9112.147127595916,8871.831809826183,0.08671357142857071,2020-11-29,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,9338.895461180544,8952.672209858627,0.06357517857142801,2020-11-30,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,9650.262454355312,9082.349154376065,0.06357517857142801,2020-12-01,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,10023.069645397414,9262.332176138409,0.06357517857142801,2020-12-02,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,10447.294310227211,9495.115386520334,0.06357517857142801,2020-12-03,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,10918.38285627054,9783.823860682083,0.06357517857142801,2020-12-04,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,11434.198441546478,10132.035756653346,0.06357517857142801,2020-12-05,France,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,11993.801423462519,10543.70065606286,0.06357517857142801,2020-12-06,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,12650.360758028371,11016.767127041121,0.050539464285713806,2020-12-07,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,13416.245707801963,11554.764734676355,0.050539464285713806,2020-12-08,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,14277.800270456186,12162.583395399035,0.050539464285713806,2020-12-09,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,15231.683869438566,12846.067618143516,0.050539464285713806,2020-12-10,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,16278.910825130908,13611.857327980715,0.050539464285713806,2020-12-11,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,17422.568646505148,14467.338785831953,0.050539464285713806,2020-12-12,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,18666.93864303989,15420.644102914435,0.050539464285713806,2020-12-13,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,20017.153139994847,16473.04301462393,0.050539464285713806,2020-12-14,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,21479.059392795632,17624.8735410516,0.050539464285713806,2020-12-15,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,23059.16475189739,18879.354181257484,0.050539464285713806,2020-12-16,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,24764.6153222725,20241.201531662333,0.050539464285713806,2020-12-17,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,26603.18958575176,21716.09849746531,0.050539464285713806,2020-12-18,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,28583.299107006034,23310.488563251154,0.050539464285713806,2020-12-19,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,30713.993026185013,25031.49633227188,0.050539464285713806,2020-12-20,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,33004.964378665754,26886.8979377963,0.050539464285713806,2020-12-21,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,35466.55690908352,28885.11186869457,0.050539464285713806,2020-12-22,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,38109.77137607891,31035.198529291927,0.050539464285713806,2020-12-23,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,40946.270446637165,33346.86354705831,0.050539464285713806,2020-12-24,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,43988.38086309778,35830.462300964886,0.050539464285713806,2020-12-25,France,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,20144.079178284363,12404.99809843987,0.4745260714285701,2020-10-26,France,,Plan 2
