C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,1,2,3,2,4,23257.90726015019,22191.769608341718,0.08671357142857071,2020-10-26,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,21777.733522257597,22191.769608341718,0.08671357142857071,2020-10-27,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,21477.80925876056,22191.769608341718,0.08671357142857071,2020-10-28,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,21635.83631643129,22191.769608341718,0.08671357142857071,2020-10-29,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,21974.335903036932,22191.769608341718,0.08671357142857071,2020-10-30,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,22386.718949304293,22191.769608341718,0.08671357142857071,2020-10-31,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,22832.046048451226,22191.769608341718,0.08671357142857071,2020-11-01,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,23294.600311970644,22197.011472887505,0.08671357142857071,2020-11-02,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,23768.35338482315,22481.3857389683,0.08671357142857071,2020-11-03,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,24250.99662358233,22877.555362514267,0.08671357142857071,2020-11-04,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,24741.647832927167,23321.24272201368,0.08671357142857071,2020-11-05,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,25239.96951800694,23787.761809866533,0.08671357142857071,2020-11-06,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,25745.829733646144,24267.634779058233,0.08671357142857071,2020-11-07,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,26259.171987234284,24757.22419888438,0.08671357142857071,2020-11-08,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,27197.32100819811,25314.755726916872,0.050539464285713806,2020-11-09,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,28502.81564343288,25991.10747814683,0.050539464285713806,2020-11-10,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,30073.286268364598,26822.863141687158,0.050539464285713806,2020-11-11,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,31871.10498489036,27841.357020539046,0.050539464285713806,2020-11-12,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,33884.39278100158,29076.274629538282,0.050539464285713806,2020-11-13,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,36112.034501130685,30557.16102489322,0.050539464285713806,2020-11-14,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,38557.94078107192,32314.12799544145,0.050539464285713806,2020-11-15,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,41228.82478932189,34318.62853560199,0.050539464285713806,2020-11-16,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,44133.3040735878,36551.55545419555,0.050539464285713806,2020-11-17,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,47281.503723212816,39009.87223345957,0.050539464285713806,2020-11-18,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,50684.851592049716,41697.55032019663,0.050539464285713806,2020-11-19,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,54355.948812711016,44622.05832472655,0.050539464285713806,2020-11-20,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,58308.47035680273,47792.9777326797,0.050539464285713806,2020-11-21,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,62557.077223447675,51221.42579587624,0.050539464285713806,2020-11-22,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,65278.748400731085,54657.12916893469,0.1238653571428562,2020-11-23,France,,Plan 1
