C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,2,2,0,0,4,2,3,2,0,23021.322191273888,21291.56257073285,25.0,2020-10-26,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,21312.92555109591,21291.56257073285,25.0,2020-10-27,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,20793.88075345797,21291.56257073285,25.0,2020-10-28,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,20736.198387593537,21291.56257073285,25.0,2020-10-29,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,20857.869166164368,21291.56257073285,25.0,2020-10-30,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,21049.627192525662,21291.56257073285,25.0,2020-10-31,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,21269.11475301865,21291.56257073285,25.0,2020-11-01,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,21499.8929466216,21074.21553578253,25.0,2020-11-02,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,21735.562842748885,21134.592291732955,25.0,2020-11-03,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,21973.614117923407,21303.12562951373,25.0,2020-11-04,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,22213.042457034517,21514.103353719584,25.0,2020-11-05,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,22453.42621484557,21742.04007495976,25.0,2020-11-06,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,22694.568499137724,21977.031690190048,25.0,2020-11-07,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,22936.358624279408,22215.209386084443,25.0,2020-11-08,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,23392.018813157767,22485.513081303896,19.0,2020-11-09,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,23971.656877020025,22804.95508619977,19.0,2020-11-10,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,24636.60199171877,23185.3819253134,19.0,2020-11-11,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,25369.000276162267,23636.233042331645,19.0,2020-11-12,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,26159.673362130477,24165.696920515205,19.0,2020-11-13,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,27003.27651293801,24781.226636772382,19.0,2020-11-14,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,27896.34112448521,25489.795565373213,19.0,2020-11-15,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,28836.45175936148,26267.571700545177,19.0,2020-11-16,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,29821.872124939702,27103.31673596227,19.0,2020-11-17,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,30851.353080558,27991.13832008216,19.0,2020-11-18,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,31924.018143375848,28927.569443969813,19.0,2020-11-19,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,33039.28550806465,29910.371179103266,19.0,2020-11-20,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,34196.80959101003,30938.018761684987,19.0,2020-11-21,France,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,35396.43458306644,32009.460684339447,19.0,2020-11-22,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,36746.474855857385,33139.46398383886,16.5,2020-11-23,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,38241.94899115429,34342.3321075838,16.5,2020-11-24,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,39856.21020935397,35628.740268840374,16.5,2020-11-25,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,41578.086855880334,37007.892942055296,16.5,2020-11-26,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,43402.75197776842,38488.388152012965,16.5,2020-11-27,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,45328.163638753904,40078.58158740496,16.5,2020-11-28,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,47353.642997136434,41786.75421798638,16.5,2020-11-29,France,,Plan 1
