C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,0,2,0,0,4,2,3,2,0,16139.63816209338,12602.45474971562,1.2899506903353049,2020-11-24,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,13467.654863517837,12602.45474971562,1.2899506903353049,2020-11-25,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,12233.774014677734,12602.45474971562,1.2899506903353049,2020-11-26,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,11707.979530991191,12602.45474971562,1.2899506903353049,2020-11-27,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,11531.345962273756,12602.45474971562,1.2899506903353049,2020-11-28,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,11527.402619727758,12602.45474971562,1.2899506903353049,2020-11-29,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,11609.388094727688,12602.45474971562,1.2899506903353049,2020-11-30,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,11767.787871193359,11977.904708158474,1.2036587771203149,2020-12-01,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,11975.803765903276,11764.783122784966,1.2036587771203149,2020-12-02,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,12208.898240477703,11761.229440756391,1.2036587771203149,2020-12-03,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,12455.872249324224,11868.071257661108,1.2036587771203149,2020-12-04,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,12711.70307381387,12036.69370216684,1.2036587771203149,2020-12-05,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,12974.203473175572,12243.379538373669,1.2036587771203149,2020-12-06,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,13242.470801294548,12476.677067883222,1.2036587771203149,2020-12-07,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,13516.173083368902,12726.446383908298,1.2036587771203149,2020-12-08,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,13795.224578414522,12986.363642838476,1.2036587771203149,2020-12-09,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,14079.641221529619,13253.612640131609,1.2036587771203149,2020-12-10,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,14369.478029681854,13526.984894468409,1.2036587771203149,2020-12-11,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,14664.803168525008,13805.99919371286,1.2036587771203149,2020-12-12,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,14965.68800327069,14090.496983726447,1.2036587771203149,2020-12-13,France,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,15272.203885198003,14380.458852855516,1.2036587771203149,2020-12-14,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,15549.003427841835,14670.86318778022,1.2899506903353049,2020-12-15,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,15798.818591902802,14957.090903992826,1.2899506903353049,2020-12-16,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,16035.864523487367,15236.551375701081,1.2899506903353049,2020-12-17,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,16267.29122058718,15507.667545830413,1.2899506903353049,2020-12-18,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,16496.73707399516,15769.372389469008,1.2899506903353049,2020-12-19,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,16726.083948664887,16020.85752452532,1.2899506903353049,2020-12-20,France,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,16956.327277742537,16261.446580603111,1.2899506903353049,2020-12-21,France,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,17208.15300562052,16498.467948857207,1.24680473372781,2020-12-22,France,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,17479.778050107987,16738.60501431509,1.24680473372781,2020-12-23,France,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,17763.337075733994,16985.38680749318,1.24680473372781,2020-12-24,France,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,18054.95618760019,17240.767517066466,1.24680473372781,2020-12-25,France,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,18352.725284992626,17505.908690066106,1.24680473372781,2020-12-26,France,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,18655.701156877367,17781.568291239317,1.24680473372781,2020-12-27,France,,Plan 1
3,0,2,0,1,0,0,4,2,3,2,0,18963.417394807268,18068.295450819995,1.24680473372781,2020-12-28,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,19389.133710463502,18379.86412294042,1.0644411571334644,2020-12-29,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,19921.65477119253,18728.703654523928,1.0644411571334644,2020-12-30,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,20516.86016909773,19122.06409643303,1.0644411571334644,2020-12-31,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,21153.829113964523,19564.760228770792,1.0644411571334644,2021-01-01,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,21822.79557565336,20060.48455600804,1.0644411571334644,2021-01-02,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,22519.327701562182,20612.43120524873,1.0644411571334644,2021-01-03,France,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,23241.53266990228,21223.5905302623,1.0644411571334644,2021-01-04,France,,Plan 1
