C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,4,15532.576992311968,10847.289737417354,0.1238653571428562,2020-11-24,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,12383.243983724622,10847.289737417354,0.1238653571428562,2020-11-25,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,10755.2381495118,10847.289737417354,0.1238653571428562,2020-11-26,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,9885.758727947705,10847.289737417354,0.1238653571428562,2020-11-27,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,9394.811678366555,10847.289737417354,0.1238653571428562,2020-11-28,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,9093.095526662337,10847.289737417354,0.1238653571428562,2020-11-29,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8886.303103396493,10847.289737417354,0.1238653571428562,2020-11-30,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8727.447295749163,9875.128352194095,0.1238653571428562,2020-12-01,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8593.114772514398,9333.681322021208,0.1238653571428562,2020-12-02,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8471.635941948405,9007.452435226436,0.1238653571428562,2020-12-03,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8357.191647777085,8789.085709487777,0.1238653571428562,2020-12-04,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8246.877307436676,8625.095085069222,0.1238653571428562,2020-12-05,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8139.240403150994,8488.830067424746,0.1238653571428562,2020-12-06,France,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,4,8033.551837433941,8367.008458001523,0.1238653571428562,2020-12-07,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8074.748257687731,8273.765738278462,0.0867135714285707,2020-12-08,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8222.393021538503,8220.805488139047,0.0867135714285707,2020-12-09,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8419.120360277226,8213.303262186022,0.0867135714285707,2020-12-10,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8639.680600912772,8253.658826919691,0.0867135714285707,2020-12-11,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,8873.443708614588,8343.16831280225,0.0867135714285707,2020-12-12,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,9116.252903667088,8482.741527161692,0.0867135714285707,2020-12-13,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,9366.707914389335,8673.192395298178,0.0867135714285707,2020-12-14,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,9624.513653378182,8894.587451825384,0.0867135714285707,2020-12-15,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,9889.77235857558,9132.78449997354,0.0867135714285707,2020-12-16,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,10162.698354511873,9381.867070578488,0.0867135714285707,2020-12-17,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,10443.514753703741,9639.557663834345,0.0867135714285707,2020-12-18,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,10732.42442307576,9905.126337328797,0.0867135714285707,2020-12-19,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,11029.608672536584,10178.462875738722,0.0867135714285707,2020-12-20,France,,Plan 1
3,0,2,4,2,0,0,1,2,3,2,4,11335.233983243892,10459.680885575086,0.0867135714285707,2020-12-21,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,11817.962497163664,10773.030720401584,0.0505394642857138,2020-12-22,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,12470.82572926082,11141.752630499475,0.0505394642857138,2020-12-23,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,13233.166840074951,11580.390985579917,0.0505394642857138,2020-12-24,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,14079.570314627317,12099.827494283283,0.0505394642857138,2020-12-25,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,15000.971781944072,12709.619974121611,0.0505394642857138,2020-12-26,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,15995.834181654993,13419.080761138528,0.0505394642857138,2020-12-27,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,17066.093074276327,14237.774917000304,0.0505394642857138,2020-12-28,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,18215.33328450565,15151.685029477734,0.0505394642857138,2020-12-29,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,19447.994250274463,16148.42338962254,0.0505394642857138,2020-12-30,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,20769.041562115734,17224.976921342648,0.0505394642857138,2020-12-31,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,22183.844876494586,18382.73043018084,0.0505394642857138,2021-01-01,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,23698.143828319946,19625.183579663102,0.0505394642857138,2021-01-02,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,25318.049526832787,20956.92862897421,0.0505394642857138,2021-01-03,France,,Plan 1
2,0,2,1,2,0,0,0,2,3,2,4,27050.058870723256,22383.20945703806,0.0505394642857138,2021-01-04,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,28689.598042256854,23879.532993859662,0.0743296428571422,2021-01-05,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,30183.23081925129,25413.13821799921,0.0743296428571422,2021-01-06,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,31615.231739285387,26962.59395759487,0.0743296428571422,2021-01-07,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,33030.42803845248,28512.10583787457,0.0743296428571422,2021-01-08,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,34453.797864366294,30048.627843024053,0.0743296428571422,2021-01-09,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,35900.11448625221,31560.3514086554,0.0743296428571422,2021-01-10,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,37378.754187943654,33035.87931111545,0.0743296428571422,2021-01-11,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,38896.136244403184,34493.956197136366,0.0743296428571422,2021-01-12,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,40456.991110834286,35961.63623879107,0.0743296428571422,2021-01-13,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,42065.036974319846,37454.46555808171,0.0743296428571422,2021-01-14,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,43723.357751416945,38982.02694564806,0.0743296428571422,2021-01-15,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,45434.61842236177,40550.715596790265,0.0743296428571422,2021-01-16,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,47201.194444901055,42165.15559088297,0.0743296428571422,2021-01-17,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,49025.25190386974,43828.940978872415,0.0743296428571422,2021-01-18,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,50908.79861942883,45545.035603876066,0.0743296428571422,2021-01-19,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,52853.7172710252,47315.99648390334,0.0743296428571422,2021-01-20,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,54861.78659549724,49144.10357264297,0.0743296428571422,2021-01-21,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,56934.695025601744,51031.437468955075,0.0743296428571422,2021-01-22,France,,Plan 1
3,0,2,4,2,0,0,0,2,3,2,4,59074.048838932176,52979.927528465145,0.0743296428571422,2021-01-23,France,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,14534.636284899409,7943.945527791323,0.4745260714285701,2020-11-24,France,,Plan 10
3,3,2,4,2,3,2,4,2,3,2,4,10511.846350719172,7943.945527791323,0.4745260714285701,2020-11-25,France,,Plan 10
