,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,2,0,2,2,1,0,0,4,2,3,2,0,16383.20625793871,13348.720622519006,24.0,2020-11-24,France,,Plan 1
1,2,0,2,2,1,0,0,4,2,3,2,0,13907.079467640253,13348.720622519006,24.0,2020-11-25,France,,Plan 1
2,2,0,2,2,1,0,0,4,2,3,2,0,12841.514068321076,13348.720622519006,24.0,2020-11-26,France,,Plan 1
3,2,0,2,2,1,0,0,4,2,3,2,0,12469.766717318198,13348.720622519006,24.0,2020-11-27,France,,Plan 1
4,2,0,2,2,1,0,0,4,2,3,2,0,12441.111406313365,13348.720622519006,24.0,2020-11-28,France,,Plan 1
5,2,0,2,2,1,0,0,4,2,3,2,0,12583.961024322454,13348.720622519006,24.0,2020-11-29,France,,Plan 1
6,2,0,2,2,1,0,0,4,2,3,2,0,12814.405415778983,13348.720622519006,24.0,2020-11-30,France,,Plan 1
7,3,0,2,2,2,0,0,4,2,3,2,0,12986.467116925192,12863.472173802787,30.0,2020-12-01,France,,Plan 1
8,3,0,2,2,2,0,0,4,2,3,2,0,13091.835627584811,12747.008768080585,30.0,2020-12-02,France,,Plan 1
9,3,0,2,2,2,0,0,4,2,3,2,0,13167.51606877792,12793.58048243156,30.0,2020-12-03,France,,Plan 1
10,3,0,2,2,2,0,0,4,2,3,2,0,13230.274399490989,12902.224437027675,30.0,2020-12-04,France,,Plan 1
11,3,0,2,2,2,0,0,4,2,3,2,0,13287.571530059415,13023.14731184854,30.0,2020-12-05,France,,Plan 1
12,3,0,2,2,2,0,0,4,2,3,2,0,13342.634963814548,13131.52930320455,30.0,2020-12-06,France,,Plan 1
13,3,0,2,2,2,0,0,4,2,3,2,0,13396.798413318747,13214.72830285309,30.0,2020-12-07,France,,Plan 1
14,3,0,2,2,0,0,0,4,2,3,2,0,13485.247419758462,13285.982631829273,28.0,2020-12-08,France,,Plan 1
15,3,0,2,2,0,0,0,4,2,3,2,0,13602.640256573712,13358.954721684828,28.0,2020-12-09,France,,Plan 1
16,3,0,2,2,0,0,0,4,2,3,2,0,13734.746132405275,13439.987587917307,28.0,2020-12-10,France,,Plan 1
17,3,0,2,2,0,0,0,4,2,3,2,0,13874.611380243547,13532.035728024814,28.0,2020-12-11,France,,Plan 1
18,3,0,2,2,0,0,0,4,2,3,2,0,14018.842023948973,13636.502941437608,28.0,2020-12-12,France,,Plan 1
19,3,0,2,2,0,0,0,4,2,3,2,0,14165.781630300773,13754.095322364214,28.0,2020-12-13,France,,Plan 1
20,3,0,2,2,0,0,0,4,2,3,2,0,14314.620032622479,13885.21269655046,28.0,2020-12-14,France,,Plan 1
21,2,0,2,2,2,0,0,4,2,3,2,0,14520.25389156243,14033.070763951026,25.0,2020-12-15,France,,Plan 1
22,2,0,2,2,2,0,0,4,2,3,2,0,14774.778925065331,14200.519145164115,25.0,2020-12-16,France,,Plan 1
23,2,0,2,2,2,0,0,4,2,3,2,0,15056.198672522509,14389.298079466578,25.0,2020-12-17,France,,Plan 1
24,2,0,2,2,2,0,0,4,2,3,2,0,15353.919401346438,14600.62779676699,25.0,2020-12-18,France,,Plan 1
25,2,0,2,2,2,0,0,4,2,3,2,0,15662.864451151874,14835.488143510262,25.0,2020-12-19,France,,Plan 1
26,2,0,2,2,2,0,0,4,2,3,2,0,15980.61418828387,15094.749937507848,25.0,2020-12-20,France,,Plan 1
27,2,0,2,2,2,0,0,4,2,3,2,0,16306.02324248935,15379.236110345972,25.0,2020-12-21,France,,Plan 1
28,2,0,1,0,2,0,0,4,2,3,2,0,16807.995747868692,15706.056375532582,16.5,2020-12-22,France,,Plan 1
29,2,0,1,0,2,0,0,4,2,3,2,0,17471.164775985304,16091.254354235434,16.5,2020-12-23,France,,Plan 1
30,2,0,1,0,2,0,0,4,2,3,2,0,18231.7605652497,16544.90605319646,16.5,2020-12-24,France,,Plan 1
31,2,0,1,0,2,0,0,4,2,3,2,0,19061.091447430794,17074.50205977994,16.5,2020-12-25,France,,Plan 1
32,2,0,1,0,2,0,0,4,2,3,2,0,19946.947803444487,17686.513967250314,16.5,2020-12-26,France,,Plan 1
33,2,0,1,0,2,0,0,4,2,3,2,0,20884.778974316425,18387.108936683537,16.5,2020-12-27,France,,Plan 1
34,2,0,1,0,2,0,0,4,2,3,2,0,21873.559918242834,19182.471318934033,16.5,2020-12-28,France,,Plan 1
35,1,0,1,1,2,0,0,4,2,3,2,0,22991.27629090227,20065.797110795975,14.0,2020-12-29,France,,Plan 1
36,1,0,1,1,2,0,0,4,2,3,2,0,24244.811915918235,21033.46098792925,14.0,2020-12-30,France,,Plan 1
37,1,0,1,1,2,0,0,4,2,3,2,0,25608.152540772775,22087.23127014683,14.0,2020-12-31,France,,Plan 1
38,1,0,1,1,2,0,0,4,2,3,2,0,27071.164605924376,23231.527435645916,14.0,2021-01-01,France,,Plan 1
39,1,0,1,1,2,0,0,4,2,3,2,0,28631.352386632843,24472.15666181568,14.0,2021-01-02,France,,Plan 1
40,1,0,1,1,2,0,0,4,2,3,2,0,30289.937106329893,25815.750680674748,14.0,2021-01-03,France,,Plan 1
41,1,0,1,1,2,0,0,4,2,3,2,0,32050.005638494193,27269.528640710654,14.0,2021-01-04,France,,Plan 1
42,1,0,1,1,2,0,0,4,2,3,2,0,33915.643679205146,28830.15255332535,14.0,2021-01-05,France,,Plan 1
43,1,0,1,1,2,0,0,4,2,3,2,0,35891.534312351,30493.970038530035,14.0,2021-01-06,France,,Plan 1
44,1,0,1,1,2,0,0,4,2,3,2,0,37982.77362310754,32261.773050292144,14.0,2021-01-07,France,,Plan 1
45,1,0,1,1,2,0,0,4,2,3,2,0,40194.78670172483,34136.57620683506,14.0,2021-01-08,France,,Plan 1
46,1,0,1,1,2,0,0,4,2,3,2,0,42533.28870006602,36122.56710875408,14.0,2021-01-09,France,,Plan 1
47,1,0,1,1,2,0,0,4,2,3,2,0,45004.26528606615,38224.613991573555,14.0,2021-01-10,France,,Plan 1
48,1,0,1,1,2,0,0,4,2,3,2,0,47613.96075463499,40448.036151022236,14.0,2021-01-11,France,,Plan 1
49,3,0,1,0,2,0,0,4,2,3,2,1,49989.35654471508,42744.280846095084,22.5,2021-01-12,France,,Plan 1
50,3,0,1,0,2,0,0,4,2,3,2,1,52056.28172377388,45053.53047629836,22.5,2021-01-13,France,,Plan 1
51,3,0,1,0,2,0,0,4,2,3,2,1,53966.3020655486,47336.89168236136,22.5,2021-01-14,France,,Plan 1
52,3,0,1,0,2,0,0,4,2,3,2,1,55799.58290408036,49566.148282697875,22.5,2021-01-15,France,,Plan 1
53,3,0,1,0,2,0,0,4,2,3,2,1,57600.01275873057,51718.537433935664,22.5,2021-01-16,France,,Plan 1
54,3,0,1,0,2,0,0,4,2,3,2,1,59392.611076075824,53774.015403937046,22.5,2021-01-17,France,,Plan 1
55,3,0,1,0,2,0,0,4,2,3,2,1,61192.28396435517,55713.77586246849,22.5,2021-01-18,France,,Plan 1
56,3,0,1,0,2,0,0,4,2,3,2,1,63008.31504155781,57573.62707630317,22.5,2021-01-19,France,,Plan 1
57,3,0,1,0,2,0,0,4,2,3,2,1,64846.72670726524,59400.83350251622,22.5,2021-01-20,France,,Plan 1
58,3,0,1,0,2,0,0,4,2,3,2,1,66711.56037368218,61221.58468939245,22.5,2021-01-21,France,,Plan 1
