C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,2,1,0,0,4,2,3,2,0,16383.20625793871,13348.720622519006,24.0,2020-11-24,France,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,13907.079467640251,13348.720622519006,24.0,2020-11-25,France,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,12841.514068321078,13348.720622519006,24.0,2020-11-26,France,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,12469.766717318198,13348.720622519006,24.0,2020-11-27,France,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,12441.111406313365,13348.720622519006,24.0,2020-11-28,France,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,12583.961024322454,13348.720622519006,24.0,2020-11-29,France,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,12814.405415778985,13348.720622519006,24.0,2020-11-30,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,12986.467116925192,12863.472173802787,30.0,2020-12-01,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13091.835627584813,12747.008768080583,30.0,2020-12-02,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13167.51606877792,12793.58048243156,30.0,2020-12-03,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13230.274399490989,12902.224437027677,30.0,2020-12-04,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13287.571530059417,13023.14731184854,30.0,2020-12-05,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13342.634963814548,13131.52930320455,30.0,2020-12-06,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,13396.798413318747,13214.728302853091,30.0,2020-12-07,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,13485.247419758462,13285.982631829273,28.0,2020-12-08,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,13602.640256573712,13358.95472168483,28.0,2020-12-09,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,13734.746132405277,13439.987587917307,28.0,2020-12-10,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,13874.611380243547,13532.035728024814,28.0,2020-12-11,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,14018.842023948971,13636.502941437608,28.0,2020-12-12,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,14165.781630300771,13754.095322364214,28.0,2020-12-13,France,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,14314.62003262248,13885.21269655046,28.0,2020-12-14,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,14520.253891562432,14033.070763951026,25.0,2020-12-15,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,14774.778925065331,14200.519145164117,25.0,2020-12-16,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,15056.198672522507,14389.298079466576,25.0,2020-12-17,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,15353.919401346438,14600.62779676699,25.0,2020-12-18,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,15662.864451151874,14835.488143510262,25.0,2020-12-19,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,15980.61418828387,15094.74993750785,25.0,2020-12-20,France,,Plan 1
2,0,2,2,2,0,0,4,2,3,2,0,16306.023242489351,15379.236110345972,25.0,2020-12-21,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,16807.995747868692,15706.056375532584,16.5,2020-12-22,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,17471.164775985304,16091.254354235434,16.5,2020-12-23,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,18231.7605652497,16544.90605319646,16.5,2020-12-24,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,19061.0914474308,17074.50205977994,16.5,2020-12-25,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,19946.947803444487,17686.513967250314,16.5,2020-12-26,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,20884.778974316425,18387.108936683537,16.5,2020-12-27,France,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,21873.559918242838,19182.47131893404,16.5,2020-12-28,France,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,22991.27629090227,20065.797110795967,14.0,2020-12-29,France,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,24244.81191591824,21033.46098792925,14.0,2020-12-30,France,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,25608.152540772768,22087.231270146833,14.0,2020-12-31,France,,Plan 1
