C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,1,16713.549852049127,15983.728710452036,31.0,2021-05-07,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,16033.802426684453,15983.728710452036,31.0,2021-05-08,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,15836.283855728536,15983.728710452036,31.0,2021-05-09,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,15796.181525827427,15983.728710452036,31.0,2021-05-10,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,15807.022540673186,15983.728710452036,31.0,2021-05-11,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,15833.899148473218,15983.728710452036,31.0,2021-05-12,France,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,1,15865.361623728297,15983.728710452036,31.0,2021-05-13,France,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,16066.173309398919,15891.24634721629,23.0,2021-05-14,France,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,16404.69222128274,15944.230603587475,23.0,2021-05-15,France,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,16831.748040102008,16086.439772783686,23.0,2021-05-16,France,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,17326.506054659894,16305.057562616897,23.0,2021-05-17,France,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,17878.497812604073,16600.982601464166,23.0,2021-05-18,France,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,18481.539292162262,16979.216907705457,23.0,2021-05-19,France,,Plan 1
2,0,2,2,0,0,0,4,2,3,2,0,19131.557984576648,17445.81638782665,23.0,2021-05-20,France,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,19633.18046685764,17955.38883889218,32.0,2021-05-21,France,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,19996.38596155793,18468.48794464578,32.0,2021-05-22,France,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,20264.631043008965,18958.89980220392,32.0,2021-05-23,France,,Plan 1
3,0,2,2,2,0,1,4,2,3,2,0,20460.988081701897,19406.6829489242,32.0,2021-05-24,France,,Plan 1
