C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,4,14335.98329517874,11990.887699125347,0.1166957142857134,2020-12-05,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,13091.1279952536,11990.887699125347,0.1166957142857134,2020-12-06,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,12336.263909621743,11990.887699125347,0.1166957142857134,2020-12-07,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,11761.173316226072,11990.887699125347,0.1166957142857134,2020-12-08,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,11259.854265305425,11990.887699125347,0.1166957142857134,2020-12-09,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,10795.773121104856,11990.887699125347,0.1166957142857134,2020-12-10,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,10356.037991186971,11990.887699125347,0.1166957142857134,2020-12-11,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,9935.814669660993,11362.292181194238,0.1166957142857134,2020-12-12,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,9533.025505930087,10853.991825576592,0.1166957142857134,2020-12-13,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,9146.545999616304,10398.317838432957,0.1166957142857134,2020-12-14,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,8775.590961656277,9971.806073494416,0.1166957142857134,2020-12-15,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,8419.505405163702,9566.041950617027,0.1166957142857134,2020-12-16,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,8077.692694909003,9177.74474687476,0.1166957142857134,2020-12-17,Germany,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,4,7749.589872398691,8805.395015619293,0.1166957142857134,2020-12-18,Germany,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,7639.341984291418,8477.327489137926,0.063575178571428,2020-12-19,Germany,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,7672.591783736263,8211.551243110238,0.063575178571428,2020-12-20,Germany,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,7797.253853982215,8018.795222305367,0.063575178571428,2020-12-21,Germany,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,7990.3673578767775,7906.6204217654395,0.063575178571428,2020-12-22,Germany,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,8240.293165436988,7881.018673233052,0.063575178571428,2020-12-23,Germany,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,8540.27061843914,7947.101233737357,0.063575178571428,2020-12-24,Germany,,Plan 1
3,0,2,1,2,0,0,0,2,3,2,4,8886.001343950686,8109.445729673354,0.063575178571428,2020-12-25,Germany,,Plan 1
