,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,2,0,0,0,4,2,3,2,0,14703.957492656606,13190.054362442957,28.0,2020-12-05,Germany,,Plan 1
1,3,0,2,2,0,0,0,4,2,3,2,0,13782.413759260855,13190.054362442957,28.0,2020-12-06,Germany,,Plan 1
2,3,0,2,2,0,0,0,4,2,3,2,0,13315.530817724897,13190.054362442957,28.0,2020-12-07,Germany,,Plan 1
3,3,0,2,2,0,0,0,4,2,3,2,0,13002.770979504556,13190.054362442957,28.0,2020-12-08,Germany,,Plan 1
4,3,0,2,2,0,0,0,4,2,3,2,0,12743.903267777738,13190.054362442957,28.0,2020-12-09,Germany,,Plan 1
5,3,0,2,2,0,0,0,4,2,3,2,0,12505.480870847945,13190.054362442957,28.0,2020-12-10,Germany,,Plan 1
6,3,0,2,2,0,0,0,4,2,3,2,0,12276.323349328111,13190.054362442957,28.0,2020-12-11,Germany,,Plan 1
7,2,0,2,2,0,0,0,4,2,3,2,0,12174.434222451253,12828.693895270762,23.0,2020-12-12,Germany,,Plan 1
8,2,0,2,2,0,0,0,4,2,3,2,0,12137.43351381565,12593.696717350022,23.0,2020-12-13,Germany,,Plan 1
9,2,0,2,2,0,0,0,4,2,3,2,0,12139.805978612203,12425.73602604821,23.0,2020-12-14,Germany,,Plan 1
10,2,0,2,2,0,0,0,4,2,3,2,0,12169.40098156924,12306.683169200307,23.0,2020-12-15,Germany,,Plan 1
11,2,0,2,2,0,0,0,4,2,3,2,0,12219.31502847328,12231.74199215681,23.0,2020-12-16,Germany,,Plan 1
12,2,0,2,2,0,0,0,4,2,3,2,0,12285.012523317939,12200.24651393824,23.0,2020-12-17,Germany,,Plan 1
13,2,0,2,2,0,0,0,4,2,3,2,0,12363.229679268914,12212.661703929783,23.0,2020-12-18,Germany,,Plan 1
14,1,0,2,2,1,0,0,4,2,3,2,0,12516.118774895498,12261.47378285039,19.0,2020-12-19,Germany,,Plan 1
15,1,0,2,2,1,0,0,4,2,3,2,0,12734.175644682404,12346.722658688495,19.0,2020-12-20,Germany,,Plan 1
16,1,0,2,2,1,0,0,4,2,3,2,0,12999.040140746916,12469.470396136312,19.0,2020-12-21,Germany,,Plan 1
17,1,0,2,2,1,0,0,4,2,3,2,0,13301.571581641616,12631.209053289509,19.0,2020-12-22,Germany,,Plan 1
18,1,0,2,2,1,0,0,4,2,3,2,0,13636.362266844772,12833.644373056866,19.0,2020-12-23,Germany,,Plan 1
19,1,0,2,2,1,0,0,4,2,3,2,0,13999.77024970679,13078.609762540988,19.0,2020-12-24,Germany,,Plan 1
20,1,0,2,2,1,0,0,4,2,3,2,0,14389.1551667951,13368.027689330442,19.0,2020-12-25,Germany,,Plan 1
21,2,0,1,0,2,0,0,4,2,3,2,0,14845.78800682574,13700.83757960619,16.5,2020-12-26,Germany,,Plan 1
22,2,0,1,0,2,0,0,4,2,3,2,0,15373.826546179107,14077.930565534292,16.5,2020-12-27,Germany,,Plan 1
23,2,0,1,0,2,0,0,4,2,3,2,0,15960.837558005556,14501.044482285526,16.5,2020-12-28,Germany,,Plan 1
24,2,0,1,0,2,0,0,4,2,3,2,0,16601.21170143372,14972.421642255826,16.5,2020-12-29,Germany,,Plan 1
25,2,0,1,0,2,0,0,4,2,3,2,0,17292.06600091555,15494.665032837367,16.5,2020-12-30,Germany,,Plan 1
26,2,0,1,0,2,0,0,4,2,3,2,0,18031.815352728405,16070.671476126168,16.5,2020-12-31,Germany,,Plan 1
27,2,0,1,0,2,0,0,4,2,3,2,0,18819.633191444467,16703.596908218933,16.5,2021-01-01,Germany,,Plan 1
28,1,0,1,1,2,0,0,4,2,3,2,0,19722.838743989036,17400.318442099408,14.0,2021-01-02,Germany,,Plan 1
29,1,0,1,1,2,0,0,4,2,3,2,0,20755.984905864923,18169.198207768808,14.0,2021-01-03,Germany,,Plan 1
30,1,0,1,1,2,0,0,4,2,3,2,0,21904.711048869704,19018.32299217797,14.0,2021-01-04,Germany,,Plan 1
31,1,0,1,1,2,0,0,4,2,3,2,0,23164.866818559276,19955.988008910197,14.0,2021-01-05,Germany,,Plan 1
32,1,0,1,1,2,0,0,4,2,3,2,0,24536.31635466885,20990.880916589234,14.0,2021-01-06,Germany,,Plan 1
33,1,0,1,1,2,0,0,4,2,3,2,0,26020.84197990719,22132.170434757634,14.0,2021-01-07,Germany,,Plan 1
34,1,0,1,1,2,0,0,4,2,3,2,0,27621.39014443305,23389.564285184573,14.0,2021-01-08,Germany,,Plan 1
35,1,0,1,1,2,0,0,4,2,3,2,0,29341.769170009273,24763.697203187465,14.0,2021-01-09,Germany,,Plan 1
36,1,0,1,1,2,0,0,4,2,3,2,0,31186.505861108657,26253.771625365138,14.0,2021-01-10,Germany,,Plan 1
37,1,0,1,1,2,0,0,4,2,3,2,0,33160.7636167948,27861.779135068726,14.0,2021-01-11,Germany,,Plan 1
38,1,0,1,1,2,0,0,4,2,3,2,0,35270.287747951435,29591.12498212475,14.0,2021-01-12,Germany,,Plan 1
39,1,0,1,1,2,0,0,4,2,3,2,0,37521.36514295223,31446.131951879517,14.0,2021-01-13,Germany,,Plan 1
40,1,0,1,1,2,0,0,4,2,3,2,0,39920.7921474367,33431.83911866945,14.0,2021-01-14,Germany,,Plan 1
41,1,0,1,1,2,0,0,4,2,3,2,0,42475.84760196571,35553.90446974555,14.0,2021-01-15,Germany,,Plan 1
42,1,0,1,1,2,0,0,4,2,3,2,0,45194.26892371643,37818.54729170371,14.0,2021-01-16,Germany,,Plan 1
43,1,0,1,1,2,0,0,4,2,3,2,0,48084.22954109266,40232.50781741571,14.0,2021-01-17,Germany,,Plan 1
44,1,0,1,1,2,0,0,4,2,3,2,0,51154.31643307882,42803.015362599144,14.0,2021-01-18,Germany,,Plan 1
45,1,0,1,1,2,0,0,4,2,3,2,0,54413.50680139877,45537.760941663044,14.0,2021-01-19,Germany,,Plan 1
46,1,0,1,1,2,0,0,4,2,3,2,0,57871.14250745523,48444.87199373491,14.0,2021-01-20,Germany,,Plan 1
47,1,0,1,1,2,0,0,4,2,3,2,0,61536.90147223794,51532.88761156366,14.0,2021-01-21,Germany,,Plan 1
48,1,0,1,1,2,0,0,4,2,3,2,0,65420.76508932224,54810.7329669003,14.0,2021-01-22,Germany,,Plan 1
49,3,0,1,0,2,0,0,4,2,3,2,1,68975.27588192715,58208.01967521612,22.5,2021-01-23,Germany,,Plan 1
50,3,0,1,0,2,0,0,4,2,3,2,1,72029.05532655126,61628.70907313877,22.5,2021-01-24,Germany,,Plan 1
51,3,0,1,0,2,0,0,4,2,3,2,1,74719.21712078435,64995.123457096706,22.5,2021-01-25,Germany,,Plan 1
52,3,0,1,0,2,0,0,4,2,3,2,1,77118.00011770012,68238.62250228261,22.5,2021-01-26,Germany,,Plan 1
53,3,0,1,0,2,0,0,4,2,3,2,1,79274.28753270811,71296.21464874731,22.5,2021-01-27,Germany,,Plan 1
54,3,0,1,0,2,0,0,4,2,3,2,1,81226.32236663619,74108.98906223277,22.5,2021-01-28,Germany,,Plan 1
55,3,0,1,0,2,0,0,4,2,3,2,1,83005.73051584877,76621.12698030799,22.5,2021-01-29,Germany,,Plan 1
56,3,0,1,0,2,0,0,4,2,3,2,1,84639.00405524409,78858.80243363898,22.5,2021-01-30,Germany,,Plan 1
57,3,0,1,0,2,0,0,4,2,3,2,1,86148.26898723921,80875.8329565944,22.5,2021-01-31,Germany,,Plan 1
58,3,0,1,0,2,0,0,4,2,3,2,1,87551.86924646949,82709.06897454942,22.5,2021-02-01,Germany,,Plan 1
59,3,0,1,0,2,0,0,4,2,3,2,1,88864.88637204107,84387.19558231243,22.5,2021-02-02,Germany,,Plan 1
60,3,0,1,0,2,0,0,4,2,3,2,1,90099.61683082559,85933.6711963292,22.5,2021-02-03,Germany,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,12569.144239207124,7387.71643514842,78.00999999999999,2020-12-05,Germany,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,9927.51188148145,7387.71643514842,78.00999999999999,2020-12-06,Germany,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,8111.922111855794,7387.71643514842,78.00999999999999,2020-12-07,Germany,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,6738.496670120702,7387.71643514842,78.00999999999999,2020-12-08,Germany,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,5640.87274345571,7387.71643514842,78.00999999999999,2020-12-09,Germany,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,4738.75504051903,7387.71643514842,78.00999999999999,2020-12-10,Germany,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,3987.312359399127,7387.71643514842,78.00999999999999,2020-12-11,Germany,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,3357.4698946551107,6071.762957355275,78.00999999999999,2020-12-12,Germany,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,2828.0449313960216,5057.5533930573565,78.00999999999999,2020-12-13,Germany,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,2382.4523723805837,4239.057715989469,78.00999999999999,2020-12-14,Germany,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,2007.1989397007096,3563.158040215185,78.00999999999999,2020-12-15,Germany,,Plan 2
72,3,3,2,4,2,3,2,4,2,3,2,4,1691.0985311429877,2998.904581313367,78.00999999999999,2020-12-16,Germany,,Plan 2
73,3,3,2,4,2,3,2,4,2,3,2,4,1424.7955774901527,2525.48180088067,78.00999999999999,2020-12-17,Germany,,Plan 2
74,3,3,2,4,2,3,2,4,2,3,2,4,1200.4337223149973,2127.356281297223,78.00999999999999,2020-12-18,Germany,,Plan 2
75,3,3,2,4,2,3,2,4,2,3,2,4,1011.4034215357207,1792.2039279944531,78.00999999999999,2020-12-19,Germany,,Plan 2
76,3,3,2,4,2,3,2,4,2,3,2,4,852.1394564995911,1509.9317172949632,78.00999999999999,2020-12-20,Germany,,Plan 2
77,3,3,2,4,2,3,2,4,2,3,2,4,717.9541886226478,1272.146262472401,78.00999999999999,2020-12-21,Germany,,Plan 2
78,3,3,2,4,2,3,2,4,2,3,2,4,604.8985268671695,1071.8176320676096,78.00999999999999,2020-12-22,Germany,,Plan 2
79,3,3,2,4,2,3,2,4,2,3,2,4,509.6453331885982,903.0386037884111,78.00999999999999,2020-12-23,Germany,,Plan 2
80,3,3,2,4,2,3,2,4,2,3,2,4,429.3913883843305,760.8380053447223,78.00999999999999,2020-12-24,Germany,,Plan 2
81,3,3,2,4,2,3,2,4,2,3,2,4,361.77486653954395,641.0295973768003,78.00999999999999,2020-12-25,Germany,,Plan 2
82,3,3,2,4,2,3,2,4,2,3,2,4,304.80582823729185,540.0870840484532,78.00999999999999,2020-12-26,Germany,,Plan 2
83,3,3,2,4,2,3,2,4,2,3,2,4,256.80766536489233,455.03968531492495,78.00999999999999,2020-12-27,Germany,,Plan 2
84,3,3,2,4,2,3,2,4,2,3,2,4,216.3677672123784,383.384482256315,78.00999999999999,2020-12-28,Germany,,Plan 2
