,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,1,0,4,2,3,2,4,14520.41302493966,14205.192824821206,0.14124630952380854,2021-03-28,Germany,,Plan 1
1,3,0,2,4,2,1,0,4,2,3,2,4,14047.631842543968,14205.192824821206,0.14124630952380854,2021-03-29,Germany,,Plan 1
2,3,0,2,4,2,1,0,4,2,3,2,4,13980.947472329599,14205.192824821206,0.14124630952380854,2021-03-30,Germany,,Plan 1
3,3,0,2,4,2,1,0,4,2,3,2,4,14046.507542046216,14205.192824821206,0.14124630952380854,2021-03-31,Germany,,Plan 1
4,3,0,2,4,2,1,0,4,2,3,2,4,14155.363657216772,14205.192824821206,0.14124630952380854,2021-04-01,Germany,,Plan 1
5,3,0,2,4,2,1,0,4,2,3,2,4,14278.61649994012,14205.192824821206,0.14124630952380854,2021-04-02,Germany,,Plan 1
6,3,0,2,4,2,1,0,4,2,3,2,4,14406.869734732105,14205.192824821206,0.14124630952380854,2021-04-03,Germany,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,14597.773732168585,14216.244354425338,0.12386535714285621,2021-04-04,Germany,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,14823.178267569117,14327.036700857503,0.12386535714285621,2021-04-05,Germany,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,15071.87045646297,14482.882841447983,0.12386535714285621,2021-04-06,Germany,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,15338.58713416873,14667.465640322627,0.12386535714285621,2021-04-07,Germany,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,15620.347060830221,14876.748983695978,0.12386535714285621,2021-04-08,Germany,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,15915.185108296995,15110.544499175534,0.12386535714285621,2021-04-09,Germany,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,16221.681367427915,15369.803303846362,0.12386535714285621,2021-04-10,Germany,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,16538.761125387726,15647.087217163382,0.12386535714285621,2021-04-11,Germany,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,16865.59326775426,15938.860788618402,0.12386535714285621,2021-04-12,Germany,,Plan 1
