C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,4,2,0,0,4,2,3,2,0,14936.243320800402,15812.542462500274,1.7391617357001965,2021-03-28,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,14855.365492027506,15812.542462500274,1.7391617357001965,2021-03-29,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,15174.85630265901,15812.542462500274,1.7391617357001965,2021-03-30,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,15632.778384482332,15812.542462500274,1.7391617357001965,2021-03-31,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,16146.183618960133,15812.542462500274,1.7391617357001965,2021-04-01,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,16689.02402739371,15812.542462500274,1.7391617357001965,2021-04-02,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,17253.346091178817,15812.542462500274,1.7391617357001965,2021-04-03,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,17836.953798224324,16226.929673560831,1.7391617357001965,2021-04-04,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,18439.486559372926,16738.946968895892,1.7391617357001965,2021-04-05,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,19061.17254985508,17294.135004209616,1.7391617357001965,2021-04-06,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,19702.431881250144,17875.51407517645,1.7391617357001965,2021-04-07,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,20363.74985074426,18478.02353685989,1.7391617357001965,2021-04-08,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,21045.63669059092,19100.396774459496,1.7391617357001965,2021-04-09,Germany,,Plan 1
3,0,2,4,2,0,0,4,2,3,2,0,21748.614272767583,19742.57794325789,1.7391617357001965,2021-04-10,Germany,,Plan 1
