C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,2,2,2,2,0,0,4,2,3,2,0,14676.725496588211,14793.062701417586,37.34,2021-03-28,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,14349.58426870486,14793.062701417586,37.34,2021-03-29,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,14424.257646567716,14793.062701417586,37.34,2021-03-30,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,14631.220159265782,14793.062701417586,37.34,2021-03-31,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,14883.676666628648,14793.062701417586,37.34,2021-04-01,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,15153.690340883926,14793.062701417586,37.34,2021-04-02,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,15432.284331283965,14793.062701417586,37.34,2021-04-03,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,15716.588785266616,14941.614599800216,37.34,2021-04-04,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,16005.700223396521,15178.202593327595,37.34,2021-04-05,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,16299.348007276772,15446.072644857459,37.34,2021-04-06,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,16597.464297473496,15726.96466460142,37.34,2021-04-07,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,16900.045644714108,16015.017375756486,37.34,2021-04-08,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,17207.108343888693,16308.362804757167,37.34,2021-04-09,Germany,,Plan 1
3,2,2,2,2,0,0,4,2,3,2,0,17518.673835562193,16606.418448225486,37.34,2021-04-10,Germany,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,18029.095105522338,16936.776493976304,29.0,2021-04-11,Germany,,Plan 1
