C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,0,4,2,3,2,2,1486.1292912390304,1276.9356169854948,3.524319526627218,2021-05-05,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,2,1370.2179203482444,1276.9356169854948,3.524319526627218,2021-05-06,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,2,1303.7844108227332,1276.9356169854948,3.524319526627218,2021-05-07,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,2,1254.9490700685162,1276.9356169854948,3.524319526627218,2021-05-08,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,2,1212.8821724814666,1276.9356169854948,3.524319526627218,2021-05-09,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,2,1173.8896755240069,1276.9356169854948,3.524319526627218,2021-05-10,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,2,1136.6967784144656,1276.9356169854948,3.524319526627218,2021-05-11,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,1104.5782979595729,1222.4283322312865,3.315838264299801,2021-05-12,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,1075.304569906942,1180.2978535968148,3.315838264299801,2021-05-13,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,1047.9355739294065,1143.748019754911,3.315838264299801,2021-05-14,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,1022.0081212371836,1110.470741350435,3.315838264299801,2021-05-15,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,997.2520846300304,1079.666443085944,3.315838264299801,2021-05-16,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,973.4873752285076,1051.0375430437296,3.315838264299801,2021-05-17,Greece,,Plan 1
3,3,2,4,2,3,0,4,2,3,2,0,950.5834497196604,1024.4499246587577,3.315838264299801,2021-05-18,Greece,,Plan 1
3,0,2,1,2,0,0,4,2,3,2,0,971.7736466506284,1005.4778316146228,1.4022534516765282,2021-05-19,Greece,,Plan 1
