C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,2,4,2,3,2,4,1422.6994629513536,1086.5557989570284,0.4745260714285701,2021-05-05,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,1253.3368804272704,1086.5557989570284,0.4745260714285701,2021-05-06,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,1141.7729506601015,1086.5557989570284,0.4745260714285701,2021-05-07,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,1054.113383775468,1086.5557989570284,0.4745260714285701,2021-05-08,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,978.1943145023024,1086.5557989570284,0.4745260714285701,2021-05-09,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,909.510099200004,1086.5557989570284,0.4745260714285701,2021-05-10,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,846.2635011826981,1086.5557989570284,0.4745260714285701,2021-05-11,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,787.6242185393593,995.830764041029,0.4745260714285701,2021-05-12,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,733.1154313102713,921.513414167172,0.4745260714285701,2021-05-13,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,682.3971651146093,855.8883019463875,0.4745260714285701,2021-05-14,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,635.1893028492613,796.0420046712151,0.4745260714285701,2021-05-15,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,591.2436948024573,740.7633447140943,0.4745260714285701,2021-05-16,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,550.3336339931492,689.4524211131151,0.4745260714285701,2021-05-17,Greece,,Plan 1
3,3,2,4,2,3,2,4,2,3,2,4,512.2494730445521,641.7361313790942,0.4745260714285701,2021-05-18,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,498.0158095696383,600.363501526277,0.14124630952380854,2021-05-19,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,497.1338519811316,566.6518473363999,0.14124630952380854,2021-05-20,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,504.2191185569776,541.1978406853096,0.14124630952380854,2021-05-21,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,517.0707102458387,524.3237560276779,0.14124630952380854,2021-05-22,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,534.6772394495881,516.2428338344108,0.14124630952380854,2021-05-23,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,556.5051350038559,517.1244768359403,0.14124630952380854,2021-05-24,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,582.2445873996337,527.1237788866663,0.14124630952380854,2021-05-25,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,611.7132200040846,543.3662660915871,0.14124630952380854,2021-05-26,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,644.8143610221925,564.4634816688816,0.14124630952380854,2021-05-27,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,681.5154565555774,589.7915299543959,0.14124630952380854,2021-05-28,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,721.8349679303337,619.0435667664666,0.14124630952380854,2021-05-29,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,765.8337090404361,652.0659195651591,0.14124630952380854,2021-05-30,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,813.6087732915413,688.7950107491142,0.14124630952380854,2021-05-31,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,865.2892628541997,729.2299643854808,0.14124630952380854,2021-06-01,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,921.0332953415938,773.4185465765535,0.14124630952380854,2021-06-02,Greece,,Plan 1
3,0,2,4,2,1,0,4,2,3,2,4,981.0259480792853,821.4487732989952,0.14124630952380854,2021-06-03,Greece,,Plan 1
