C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,3,2,4,2,3,1,4,2,3,2,2,1462.3031933374198,1202.567350345946,62.01,2021-05-05,Greece,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1325.9571930475645,1202.567350345946,62.01,2021-05-06,Greece,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1241.8077260430323,1202.567350345946,62.01,2021-05-07,Greece,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1177.2613307167371,1202.567350345946,62.01,2021-05-08,Greece,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1121.047544801019,1202.567350345946,62.01,2021-05-09,Greece,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1069.2243281034466,1202.567350345946,62.01,2021-05-10,Greece,,Plan 1
3,3,2,4,2,3,1,4,2,3,2,2,1020.3701363724028,1202.567350345946,62.01,2021-05-11,Greece,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,0,990.3037854470914,1135.138863504471,52.01,2021-05-12,Greece,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,0,969.4708887656636,1084.2122486070564,52.01,2021-05-13,Greece,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,0,953.9524614655908,1043.090067953136,52.01,2021-05-14,Greece,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,0,941.94712204833,1009.4737524290776,52.01,2021-05-15,Greece,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,0,932.473294169854,982.5345737674828,52.01,2021-05-16,Greece,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,0,924.9074995547644,961.9178839748135,52.01,2021-05-17,Greece,,Plan 1
3,3,2,4,2,1,1,4,2,3,2,0,918.8112241297126,947.4094679401436,52.01,2021-05-18,Greece,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,921.3510087645676,937.5590712712116,45.51,2021-05-19,Greece,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,930.2867861284165,931.9613423230336,45.51,2021-05-20,Greece,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,943.6001060440688,930.4824344056732,45.51,2021-05-21,Greece,,Plan 1
