,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,1,0,1,1,2,0,0,4,2,3,2,0,861.816380754951,877.7896975166485,14.0,2020-10-08,Hungary,,Plan 1
1,1,0,1,1,2,0,0,4,2,3,2,0,845.5841535505663,877.7896975166485,14.0,2020-10-09,Hungary,,Plan 1
2,1,0,1,1,2,0,0,4,2,3,2,0,852.912827477603,877.7896975166485,14.0,2020-10-10,Hungary,,Plan 1
3,1,0,1,1,2,0,0,4,2,3,2,0,868.0812586842869,877.7896975166485,14.0,2020-10-11,Hungary,,Plan 1
4,1,0,1,1,2,0,0,4,2,3,2,0,886.0373665027016,877.7896975166485,14.0,2020-10-12,Hungary,,Plan 1
5,1,0,1,1,2,0,0,4,2,3,2,0,905.1607879839031,877.7896975166485,14.0,2020-10-13,Hungary,,Plan 1
6,1,0,1,1,2,0,0,4,2,3,2,0,924.9351076625276,877.7896975166485,14.0,2020-10-14,Hungary,,Plan 1
7,3,0,2,2,2,0,0,4,2,3,2,0,919.5162923516867,886.0325420304679,30.0,2020-10-15,Hungary,,Plan 1
8,3,0,2,2,2,0,0,4,2,3,2,0,900.1308598324874,893.8249286421709,30.0,2020-10-16,Hungary,,Plan 1
9,3,0,2,2,2,0,0,4,2,3,2,0,872.186884478327,896.5783653565601,30.0,2020-10-17,Hungary,,Plan 1
10,3,0,2,2,2,0,0,4,2,3,2,0,838.8754915007521,892.4061129017692,30.0,2020-10-18,Hungary,,Plan 1
11,3,0,2,2,2,0,0,4,2,3,2,0,802.3307678588616,880.4480273812208,30.0,2020-10-19,Hungary,,Plan 1
12,3,0,2,2,2,0,0,4,2,3,2,0,764.0636944516385,860.2912997337545,30.0,2020-10-20,Hungary,,Plan 1
13,3,0,2,2,2,0,0,4,2,3,2,0,725.1629695068921,831.7524228543779,30.0,2020-10-21,Hungary,,Plan 1
14,1,0,1,1,2,0,0,4,2,3,2,0,704.6178643633579,801.0526474274739,14.0,2020-10-22,Hungary,,Plan 1
15,1,0,1,1,2,0,0,4,2,3,2,0,693.7975919156605,771.5764662964986,14.0,2020-10-23,Hungary,,Plan 1
16,1,0,1,1,2,0,0,4,2,3,2,0,688.9820702284885,745.404349975093,14.0,2020-10-24,Hungary,,Plan 1
17,1,0,1,1,2,0,0,4,2,3,2,0,688.358936317218,723.901984948874,14.0,2020-10-25,Hungary,,Plan 1
18,1,0,1,1,2,0,0,4,2,3,2,0,690.9008014601122,707.9834183204812,14.0,2020-10-26,Hungary,,Plan 1
19,1,0,1,1,2,0,0,4,2,3,2,0,695.9418007796099,698.2517192244769,14.0,2020-10-27,Hungary,,Plan 1
20,1,0,1,1,2,0,0,4,2,3,2,0,703.0095451455725,695.0869443157171,14.0,2020-10-28,Hungary,,Plan 1
21,2,0,1,0,2,0,0,4,2,3,2,0,708.3558651222669,695.6209444241325,16.5,2020-10-29,Hungary,,Plan 1
22,2,0,1,0,2,0,0,4,2,3,2,0,712.9759562378779,698.360710755878,16.5,2020-10-30,Hungary,,Plan 1
23,2,0,1,0,2,0,0,4,2,3,2,0,717.2255385546315,702.3954919453271,16.5,2020-10-31,Hungary,,Plan 1
24,2,0,1,0,2,0,0,4,2,3,2,0,721.2463508191466,707.0936940170311,16.5,2020-11-01,Hungary,,Plan 1
25,2,0,1,0,2,0,0,4,2,3,2,0,725.1054599437925,711.980073800414,16.5,2020-11-02,Hungary,,Plan 1
26,2,0,1,0,2,0,0,4,2,3,2,0,728.8415293099979,716.6800350190408,16.5,2020-11-03,Hungary,,Plan 1
27,2,0,1,0,2,0,0,4,2,3,2,0,732.480660093908,720.8901942973745,16.5,2020-11-04,Hungary,,Plan 1
28,1,0,1,1,2,0,0,4,2,3,2,0,739.5561144586294,725.3473727739977,14.0,2020-11-05,Hungary,,Plan 1
29,1,0,1,1,2,0,0,4,2,3,2,0,748.7660524106368,730.4602436558204,14.0,2020-11-06,Hungary,,Plan 1
30,1,0,1,1,2,0,0,4,2,3,2,0,759.5303281198164,736.5037850222753,14.0,2020-11-07,Hungary,,Plan 1
31,1,0,1,1,2,0,0,4,2,3,2,0,771.5384362435716,743.688368654336,14.0,2020-11-08,Hungary,,Plan 1
32,1,0,1,1,2,0,0,4,2,3,2,0,784.5932199213214,752.1866200796974,14.0,2020-11-09,Hungary,,Plan 1
33,1,0,1,1,2,0,0,4,2,3,2,0,798.5542229787956,762.1455763180971,14.0,2020-11-10,Hungary,,Plan 1
34,1,0,1,1,2,0,0,4,2,3,2,0,813.3150769701442,773.6933501575594,14.0,2020-11-11,Hungary,,Plan 1
35,1,0,1,1,2,0,0,4,2,3,2,0,828.7929572458718,786.4414705557368,14.0,2020-11-12,Hungary,,Plan 1
36,1,0,1,1,2,0,0,4,2,3,2,0,844.9226734569635,800.1781307052121,14.0,2020-11-13,Hungary,,Plan 1
37,1,0,1,1,2,0,0,4,2,3,2,0,861.6527911221135,814.7670539912544,14.0,2020-11-14,Hungary,,Plan 1
38,1,0,1,1,2,0,0,4,2,3,2,0,878.9428221208609,830.1105376880101,14.0,2020-11-15,Hungary,,Plan 1
39,1,0,1,1,2,0,0,4,2,3,2,0,896.761075059849,846.1345169935141,14.0,2020-11-16,Hungary,,Plan 1
40,1,0,1,1,2,0,0,4,2,3,2,0,915.082965263062,862.7814801769807,14.0,2020-11-17,Hungary,,Plan 1
41,1,0,1,1,2,0,0,4,2,3,2,0,933.8896718538963,880.006422303231,14.0,2020-11-18,Hungary,,Plan 1
42,1,0,1,1,2,0,0,4,2,3,2,0,953.1670584312161,897.7741510439945,14.0,2020-11-19,Hungary,,Plan 1
43,1,0,1,1,2,0,0,4,2,3,2,0,972.9048009708122,916.0573121174014,14.0,2020-11-20,Hungary,,Plan 1
44,1,0,1,1,2,0,0,4,2,3,2,0,993.0956835691612,934.8348681812655,14.0,2020-11-21,Hungary,,Plan 1
45,1,0,1,1,2,0,0,4,2,3,2,0,1013.7350296505631,954.0908978283658,14.0,2020-11-22,Hungary,,Plan 1
46,1,0,1,1,2,0,0,4,2,3,2,0,1034.8202363210867,973.8136351513997,14.0,2020-11-23,Hungary,,Plan 1
