,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,3804.44634506804,3041.6484835235565,0.12386535714285621,2020-11-10,Hungary,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,3417.6207760362126,3041.6484835235565,0.12386535714285621,2020-11-11,Hungary,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,3167.664365879155,3041.6484835235565,0.12386535714285621,2020-11-12,Hungary,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,2970.954539471285,3041.6484835235565,0.12386535714285621,2020-11-13,Hungary,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,2798.540758595138,3041.6484835235565,0.12386535714285621,2020-11-14,Hungary,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,2640.196165832977,3041.6484835235565,0.12386535714285621,2020-11-15,Hungary,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,2492.1164337820874,3041.6484835235565,0.12386535714285621,2020-11-16,Hungary,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,2352.7102287276407,2834.257609760642,0.12386535714285621,2020-11-17,Hungary,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,2221.157908320355,2663.334342944091,0.12386535714285621,2020-11-18,Hungary,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,2096.917622969574,2510.3705225284366,0.12386535714285621,2020-11-19,Hungary,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,1979.5557987691925,2368.7421309995666,0.12386535714285621,2020-11-20,Hungary,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,1868.6884450215966,2235.906086203346,0.12386535714285621,2020-11-21,Hungary,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,1763.9605528972452,2110.7295700696704,0.12386535714285621,2020-11-22,Hungary,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,1665.0385162493874,1992.5755818507132,0.12386535714285621,2020-11-23,Hungary,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,1571.6069978266648,1880.9894060077165,0.12386535714285621,2020-11-24,Hungary,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,1483.367358520626,1775.5907560363266,0.12386535714285621,2020-11-25,Hungary,,Plan 1
16,3,0,2,4,2,0,0,4,2,3,2,4,1400.0366295881115,1676.0363284104035,0.12386535714285621,2020-11-26,Hungary,,Plan 1
17,3,0,2,4,2,0,0,4,2,3,2,4,1321.3466885755795,1582.0064555256015,0.12386535714285621,2020-11-27,Hungary,,Plan 1
18,3,0,2,4,2,0,0,4,2,3,2,4,1247.0435220525385,1493.2000379585934,0.12386535714285621,2020-11-28,Hungary,,Plan 1
19,3,0,2,4,2,0,0,4,2,3,2,4,1176.8865356976974,1409.3323212158007,0.12386535714285621,2020-11-29,Hungary,,Plan 1
20,3,0,2,4,2,0,0,4,2,3,2,4,1110.6478948284296,1330.133661012807,0.12386535714285621,2020-11-30,Hungary,,Plan 1
21,3,0,2,4,2,0,0,0,2,3,2,4,1077.4359576482987,1259.5377981301829,0.0743296428571422,2020-12-01,Hungary,,Plan 1
22,3,0,2,4,2,0,0,0,2,3,2,4,1062.0706055082646,1199.3525476998457,0.0743296428571422,2020-12-02,Hungary,,Plan 1
23,3,0,2,4,2,0,0,0,2,3,2,4,1057.9628940086782,1150.4848711884981,0.0743296428571422,2020-12-03,Hungary,,Plan 1
24,3,0,2,4,2,0,0,0,2,3,2,4,1061.8994151302263,1113.420974982019,0.0743296428571422,2020-12-04,Hungary,,Plan 1
25,3,0,2,4,2,0,0,0,2,3,2,4,1072.062732882678,1088.4237193863246,0.0743296428571422,2020-12-05,Hungary,,Plan 1
26,3,0,2,4,2,0,0,0,2,3,2,4,1087.2798409208644,1075.6227629896343,0.0743296428571422,2020-12-06,Hungary,,Plan 1
27,3,0,2,4,2,0,0,0,2,3,2,4,1106.723126948012,1075.0620818638604,0.0743296428571422,2020-12-07,Hungary,,Plan 1
28,3,0,2,4,2,0,0,1,2,3,2,4,1122.8797050004955,1081.554045771317,0.08671357142857071,2020-12-08,Hungary,,Plan 1
29,3,0,2,4,2,0,0,1,2,3,2,4,1137.7494639838555,1092.3653112678298,0.08671357142857071,2020-12-09,Hungary,,Plan 1
30,3,0,2,4,2,0,0,1,2,3,2,4,1152.0304844691586,1105.80353847647,0.08671357142857071,2020-12-10,Hungary,,Plan 1
31,3,0,2,4,2,0,0,1,2,3,2,4,1165.9923057506892,1120.6739514222504,0.08671357142857071,2020-12-11,Hungary,,Plan 1
32,3,0,2,4,2,0,0,1,2,3,2,4,1179.7581566395663,1136.0590119589488,0.08671357142857071,2020-12-12,Hungary,,Plan 1
33,3,0,2,4,2,0,0,1,2,3,2,4,1193.3972538063877,1151.2186423711664,0.08671357142857071,2020-12-13,Hungary,,Plan 1
34,3,0,2,4,2,0,0,1,2,3,2,4,1206.9557770937104,1165.5375923919805,0.08671357142857071,2020-12-14,Hungary,,Plan 1
35,3,0,2,1,2,0,0,0,2,3,2,4,1236.2640913654946,1181.7353618726945,0.06357517857142801,2020-12-15,Hungary,,Plan 1
36,3,0,2,1,2,0,0,0,2,3,2,4,1275.75333861839,1201.4502011061995,0.06357517857142801,2020-12-16,Hungary,,Plan 1
37,3,0,2,1,2,0,0,0,2,3,2,4,1323.1886527186984,1225.901367998991,0.06357517857142801,2020-12-17,Hungary,,Plan 1
38,3,0,2,1,2,0,0,0,2,3,2,4,1377.5591457277153,1256.125202281423,0.06357517857142801,2020-12-18,Hungary,,Plan 1
39,3,0,2,1,2,0,0,0,2,3,2,4,1438.345743880936,1293.0662861730475,0.06357517857142801,2020-12-19,Hungary,,Plan 1
40,3,0,2,1,2,0,0,0,2,3,2,4,1505.2606384301826,1337.6181982621608,0.06357517857142801,2020-12-20,Hungary,,Plan 1
41,3,0,2,1,2,0,0,0,2,3,2,4,1578.1480832164132,1390.6456705654043,0.06357517857142801,2020-12-21,Hungary,,Plan 1
42,2,0,2,1,2,0,0,0,2,3,2,4,1665.7382018664755,1451.9991149226876,0.050539464285713806,2020-12-22,Hungary,,Plan 1
43,2,0,2,1,2,0,0,0,2,3,2,4,1768.7482207990245,1522.4269552342064,0.050539464285713806,2020-12-23,Hungary,,Plan 1
44,2,0,2,1,2,0,0,0,2,3,2,4,1885.8550353643639,1602.8078670407301,0.050539464285713806,2020-12-24,Hungary,,Plan 1
45,2,0,2,1,2,0,0,0,2,3,2,4,2016.891351211364,1694.1410392526798,0.050539464285713806,2020-12-25,Hungary,,Plan 1
46,2,0,2,1,2,0,0,0,2,3,2,4,2162.161287435022,1797.5432597604065,0.050539464285713806,2020-12-26,Hungary,,Plan 1
47,2,0,2,1,2,0,0,0,2,3,2,4,2322.2125492275654,1914.250675588604,0.050539464285713806,2020-12-27,Hungary,,Plan 1
48,2,0,2,1,2,0,0,0,2,3,2,4,2497.756738900169,2045.6233406862832,0.050539464285713806,2020-12-28,Hungary,,Plan 1
49,2,0,2,1,2,0,0,0,2,3,2,4,2689.6395212313664,2191.8949577384105,0.050539464285713806,2020-12-29,Hungary,,Plan 1
50,2,0,2,1,2,0,0,0,2,3,2,4,2898.8283678270454,2353.3349787424136,0.050539464285713806,2020-12-30,Hungary,,Plan 1
51,2,0,2,1,2,0,0,0,2,3,2,4,3126.4072666316597,2530.556726066313,0.050539464285713806,2020-12-31,Hungary,,Plan 1
52,2,0,2,1,2,0,0,0,2,3,2,4,3373.5747132899396,2724.3686349346813,0.050539464285713806,2021-01-01,Hungary,,Plan 1
53,2,0,2,1,2,0,0,0,2,3,2,4,3641.6434658566254,2935.7232318520532,0.050539464285713806,2021-01-02,Hungary,,Plan 1
54,2,0,2,1,2,0,0,0,2,3,2,4,3932.041396529894,3165.6987814666713,0.050539464285713806,2021-01-03,Hungary,,Plan 1
55,2,0,2,1,2,0,0,0,2,3,2,4,4246.313017255118,3415.4925355173787,0.050539464285713806,2021-01-04,Hungary,,Plan 1
56,2,0,2,1,2,0,0,0,2,3,2,4,4586.121387746968,3686.4185164481787,0.050539464285713806,2021-01-05,Hungary,,Plan 1
57,2,0,2,1,2,0,0,0,2,3,2,4,4953.250177003466,3979.907346330524,0.050539464285713806,2021-01-06,Hungary,,Plan 1
58,2,0,2,1,2,0,0,0,2,3,2,4,5349.605650006509,4297.5071153840745,0.050539464285713806,2021-01-07,Hungary,,Plan 1
59,2,0,2,1,2,0,0,0,2,3,2,4,5777.218366618855,4640.884780145348,0.050539464285713806,2021-01-08,Hungary,,Plan 1
60,2,0,2,1,2,0,0,0,2,3,2,4,6238.244379503814,5011.827767809232,0.050539464285713806,2021-01-09,Hungary,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,3408.893689127158,2034.5875432164505,0.4745260714285701,2020-11-10,Hungary,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,2713.0411140554347,2034.5875432164505,0.4745260714285701,2020-11-11,Hungary,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,2232.36595703805,2034.5875432164505,0.4745260714285701,2020-11-12,Hungary,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,1866.1357140008993,2034.5875432164505,0.4745260714285701,2020-11-13,Hungary,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,1571.3211761721898,2034.5875432164505,0.4745260714285701,2020-11-14,Hungary,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,1327.3947768382639,2034.5875432164505,0.4745260714285701,2020-11-15,Hungary,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,1122.9603752831586,2034.5875432164505,0.4745260714285701,2020-11-16,Hungary,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,950.6193955598517,1683.4055012782642,0.4745260714285701,2020-11-17,Hungary,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,804.9528290232394,1410.821460559379,0.4745260714285701,2020-11-18,Hungary,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,681.6891719611119,1189.2962055483877,0.4745260714285701,2020-11-19,Hungary,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,577.3298409948304,1005.181080833235,0.4745260714285701,2020-11-20,Hungary,,Plan 2
72,3,3,2,4,2,3,2,4,2,3,2,4,488.9561473351559,850.5575052850874,0.4745260714285701,2020-11-21,Hungary,,Plan 2
73,3,3,2,4,2,3,2,4,2,3,2,4,414.1125347646338,720.0886135602831,0.4745260714285701,2020-11-22,Hungary,,Plan 2
74,3,3,2,4,2,3,2,4,2,3,2,4,350.7252440566357,609.7693090993513,0.4745260714285701,2020-11-23,Hungary,,Plan 2
75,3,3,2,4,2,3,2,4,2,3,2,4,297.0400087664985,516.4008252717293,0.4745260714285701,2020-11-24,Hungary,,Plan 2
76,3,3,2,4,2,3,2,4,2,3,2,4,251.57174598814532,437.3463848381445,0.4745260714285701,2020-11-25,Hungary,,Plan 2
77,3,3,2,4,2,3,2,4,2,3,2,4,213.06285909599086,370.39976871455576,0.4745260714285701,2020-11-26,Hungary,,Plan 2
78,3,3,2,4,2,3,2,4,2,3,2,4,180.44825585244394,313.7023994085006,0.4745260714285701,2020-11-27,Hungary,,Plan 2
79,3,3,2,4,2,3,2,4,2,3,2,4,152.82583912107503,265.68378394934615,0.4745260714285701,2020-11-28,Hungary,,Plan 2
80,3,3,2,4,2,3,2,4,2,3,2,4,129.43155371603893,225.01507237097547,0.4745260714285701,2020-11-29,Hungary,,Plan 2
81,3,3,2,4,2,3,2,4,2,3,2,4,109.61826383298963,190.57121805331175,0.4745260714285701,2020-11-30,Hungary,,Plan 2
82,3,3,2,4,2,3,2,4,2,3,2,4,92.83786520042216,161.399483258158,0.4745260714285701,2020-12-01,Hungary,,Plan 2
83,3,3,2,4,2,3,2,4,2,3,2,4,78.62613400477444,136.69296726053355,0.4745260714285701,2020-12-02,Hungary,,Plan 2
84,3,3,2,4,2,3,2,4,2,3,2,4,66.58989316568373,115.76825784191827,0.4745260714285701,2020-12-03,Hungary,,Plan 2
85,3,3,2,4,2,3,2,4,2,3,2,4,56.396141447423055,98.04652721262957,0.4745260714285701,2020-12-04,Hungary,,Plan 2
86,3,3,2,4,2,3,2,4,2,3,2,4,47.762845310511466,83.03752809683478,0.4745260714285701,2020-12-05,Hungary,,Plan 2
87,3,3,2,4,2,3,2,4,2,3,2,4,40.451139319663284,70.32604032592397,0.4745260714285701,2020-12-06,Hungary,,Plan 2
88,3,3,2,4,2,3,2,4,2,3,2,4,34.25871976549832,59.56039117342521,0.4745260714285701,2020-12-07,Hungary,,Plan 2
89,3,3,2,4,2,3,2,4,2,3,2,4,29.014249053427527,50.44273172385454,0.4745260714285701,2020-12-08,Hungary,,Plan 2
90,3,3,2,4,2,3,2,4,2,3,2,4,24.572616285928415,42.720800621162255,0.4745260714285701,2020-12-09,Hungary,,Plan 2
91,3,3,2,4,2,3,2,4,2,3,2,4,20.810923083750453,36.180947752314644,0.4745260714285701,2020-12-10,Hungary,,Plan 2
92,3,3,2,4,2,3,2,4,2,3,2,4,17.625083706481497,30.642225217894424,0.4745260714285701,2020-12-11,Hungary,,Plan 2
93,3,3,2,4,2,3,2,4,2,3,2,4,14.926945492578179,25.951382386761093,0.4745260714285701,2020-12-12,Hungary,,Plan 2
94,3,3,2,4,2,3,2,4,2,3,2,4,12.641850008881255,21.97862677093509,0.4745260714285701,2020-12-13,Hungary,,Plan 2
95,3,3,2,4,2,3,2,4,2,3,2,4,10.706567474499387,18.614033586506675,0.4745260714285701,2020-12-14,Hungary,,Plan 2
96,3,3,2,4,2,3,2,4,2,3,2,4,9.067547338466852,15.764504770083718,0.4745260714285701,2020-12-15,Hungary,,Plan 2
97,3,3,2,4,2,3,2,4,2,3,2,4,7.679436628589336,13.351193390463852,0.4745260714285701,2020-12-16,Hungary,,Plan 2
98,3,3,2,4,2,3,2,4,2,3,2,4,6.503825091026675,11.30732224864617,0.4745260714285701,2020-12-17,Hungary,,Plan 2
99,3,3,2,4,2,3,2,4,2,3,2,4,5.508182410422947,9.576336349209232,0.4745260714285701,2020-12-18,Hungary,,Plan 2
100,3,3,2,4,2,3,2,4,2,3,2,4,4.664958111691818,8.110338151939752,0.4745260714285701,2020-12-19,Hungary,,Plan 2
101,3,3,2,4,2,3,2,4,2,3,2,4,3.9508192434388927,6.868762328305129,0.4745260714285701,2020-12-20,Hungary,,Plan 2
102,3,3,2,4,2,3,2,4,2,3,2,4,3.346004753641428,5.8172533681825636,0.4745260714285701,2020-12-21,Hungary,,Plan 2
103,3,3,2,4,2,3,2,4,2,3,2,4,2.8337786958270135,4.926714990662587,0.4745260714285701,2020-12-22,Hungary,,Plan 2
104,3,3,2,4,2,3,2,4,2,3,2,4,2.399967137758376,4.1725050634010215,0.4745260714285701,2020-12-23,Hungary,,Plan 2
105,3,3,2,4,2,3,2,4,2,3,2,4,2.0325659600693746,3.5337537589785506,0.4745260714285701,2020-12-24,Hungary,,Plan 2
106,3,3,2,4,2,3,2,4,2,3,2,4,1.7214086934010162,2.9927860851182744,0.4745260714285701,2020-12-25,Hungary,,Plan 2
107,3,3,2,4,2,3,2,4,2,3,2,4,1.457885203562938,2.5346328125284336,0.4745260714285701,2020-12-26,Hungary,,Plan 2
108,3,3,2,4,2,3,2,4,2,3,2,4,1.23470344190189,2.1466162694517195,0.4745260714285701,2020-12-27,Hungary,,Plan 2
109,3,3,2,4,2,3,2,4,2,3,2,4,1.0456876639269763,1.8179995423496549,0.4745260714285701,2020-12-28,Hungary,,Plan 2
110,3,3,2,4,2,3,1,4,2,3,2,4,0.8882908454824606,1.5400727065861475,0.43541892857142733,2020-12-29,Hungary,,Plan 2
111,3,3,2,4,2,3,1,4,2,3,2,4,0.7560252544706949,1.305223866116479,0.43541892857142733,2020-12-30,Hungary,,Plan 2
112,3,3,2,4,2,3,1,4,2,3,2,4,0.6442869818047506,1.106898297792961,0.43541892857142733,2020-12-31,Hungary,,Plan 2
113,3,3,2,4,2,3,1,4,2,3,2,4,0.5495755026409126,0.9394935562558032,0.43541892857142733,2021-01-01,Hungary,,Plan 2
114,3,3,2,4,2,3,1,4,2,3,2,4,0.4691154658350672,0.7982407365803932,0.43541892857142733,2021-01-02,Hungary,,Plan 2
115,3,3,2,4,2,3,1,4,2,3,2,4,0.4006518150302382,0.6790905041701573,0.43541892857142733,2021-01-03,Hungary,,Plan 2
116,3,3,2,4,2,3,1,4,2,3,2,4,0.34232515837858923,0.5786101462346733,0.43541892857142733,2021-01-04,Hungary,,Plan 2
117,3,3,2,4,2,3,1,4,2,3,2,4,0.29258796391204916,0.49350973458175745,0.43541892857142733,2021-01-05,Hungary,,Plan 2
118,3,3,2,4,2,3,1,4,2,3,2,4,0.2501440713030404,0.4212409941292354,0.43541892857142733,2021-01-06,Hungary,,Plan 2
119,3,3,2,4,2,3,1,4,2,3,2,4,0.21390287325509422,0.359757550050713,0.43541892857142733,2021-01-07,Hungary,,Plan 2
120,3,3,2,4,2,3,1,4,2,3,2,4,0.1829435275099791,0.3073815536034368,0.43541892857142733,2021-01-08,Hungary,,Plan 2
121,3,3,2,4,2,3,1,4,2,3,2,4,0.15648642640587831,0.2627202622564098,0.43541892857142733,2021-01-09,Hungary,,Plan 2
122,3,3,2,4,2,3,0,4,2,3,2,4,3476.8337746698953,2185.3057327036795,0.39631178571428455,2020-11-10,Hungary,,Plan 3
123,3,3,2,4,2,3,0,4,2,3,2,4,2830.6345733842572,2185.3057327036795,0.39631178571428455,2020-11-11,Hungary,,Plan 3
124,3,3,2,4,2,3,0,4,2,3,2,4,2382.810737854267,2185.3057327036795,0.39631178571428455,2020-11-12,Hungary,,Plan 3
125,3,3,2,4,2,3,0,4,2,3,2,4,2036.5356451029224,2185.3057327036795,0.39631178571428455,2020-11-13,Hungary,,Plan 3
126,3,3,2,4,2,3,0,4,2,3,2,4,1752.2165090086307,2185.3057327036795,0.39631178571428455,2020-11-14,Hungary,,Plan 3
127,3,3,2,4,2,3,0,4,2,3,2,4,1511.9251574199443,2185.3057327036795,0.39631178571428455,2020-11-15,Hungary,,Plan 3
128,3,3,2,4,2,3,0,4,2,3,2,4,1306.183731485841,2185.3057327036795,0.39631178571428455,2020-11-16,Hungary,,Plan 3
129,3,0,2,4,2,1,0,4,2,3,2,4,1161.2382091076358,1854.5063661947856,0.14124630952380854,2020-11-17,Hungary,,Plan 3
130,3,0,2,4,2,1,0,4,2,3,2,4,1048.1008318022373,1599.8586888259256,0.14124630952380854,2020-11-18,Hungary,,Plan 3
131,3,0,2,4,2,1,0,4,2,3,2,4,954.3421401625915,1395.791746298543,0.14124630952380854,2020-11-19,Hungary,,Plan 3
132,3,0,2,4,2,1,0,4,2,3,2,4,873.9890159928443,1229.713656425675,0.14124630952380854,2020-11-20,Hungary,,Plan 3
133,3,0,2,4,2,1,0,4,2,3,2,4,803.7202168291694,1094.2141861143234,0.14124630952380854,2020-11-21,Hungary,,Plan 3
134,3,0,2,4,2,1,0,4,2,3,2,4,741.4279297449405,984.1431535893228,0.14124630952380854,2020-11-22,Hungary,,Plan 3
135,3,0,2,4,2,1,0,4,2,3,2,4,685.6449658550921,895.4947584992159,0.14124630952380854,2020-11-23,Hungary,,Plan 3
136,3,0,2,4,2,0,0,4,2,3,2,4,637.4616095031471,820.6695299842888,0.12386535714285621,2020-11-24,Hungary,,Plan 3
137,3,0,2,4,2,0,0,4,2,3,2,4,594.7714824829853,755.9081943672528,0.12386535714285621,2020-11-25,Hungary,,Plan 3
138,3,0,2,4,2,0,0,4,2,3,2,4,556.3606547273348,699.0536964479305,0.12386535714285621,2020-11-26,Hungary,,Plan 3
139,3,0,2,4,2,0,0,4,2,3,2,4,521.4392245832727,648.6894405322774,0.12386535714285621,2020-11-27,Hungary,,Plan 3
140,3,0,2,4,2,0,0,4,2,3,2,4,489.4468396543394,603.7932437930159,0.12386535714285621,2020-11-28,Hungary,,Plan 3
141,3,0,2,4,2,0,0,4,2,3,2,4,459.9637493438645,563.5840751642908,0.12386535714285621,2020-11-29,Hungary,,Plan 3
142,3,0,2,4,2,0,0,4,2,3,2,4,432.6646298345549,527.4440271613569,0.12386535714285621,2020-11-30,Hungary,,Plan 3
143,3,0,2,4,2,0,0,4,2,3,2,4,407.2914013741856,494.56256885721956,0.12386535714285621,2020-12-01,Hungary,,Plan 3
144,3,0,2,4,2,0,0,4,2,3,2,4,383.6355670926337,464.4002952300265,0.12386535714285621,2020-12-02,Hungary,,Plan 3
145,3,0,2,4,2,0,0,4,2,3,2,4,361.52597902714285,436.5667701299991,0.12386535714285621,2020-12-03,Hungary,,Plan 3
146,3,0,2,4,2,0,0,4,2,3,2,4,340.8200399942731,410.76402947442773,0.12386535714285621,2020-12-04,Hungary,,Plan 3
147,3,0,2,4,2,0,0,4,2,3,2,4,321.39723558572064,386.7569431789108,0.12386535714285621,2020-12-05,Hungary,,Plan 3
148,3,0,2,4,2,0,0,4,2,3,2,4,303.1543182858197,364.35559588490435,0.12386535714285621,2020-12-06,Hungary,,Plan 3
149,3,0,2,4,2,0,0,4,2,3,2,4,286.00168892855856,343.4037471840478,0.12386535714285621,2020-12-07,Hungary,,Plan 3
150,3,0,2,2,2,0,0,4,2,3,2,4,271.2395116016997,323.9677629308355,0.1166957142857134,2020-12-08,Hungary,,Plan 3
151,3,0,2,2,2,0,0,4,2,3,2,4,258.0648606498206,306.02909058186214,0.1166957142857134,2020-12-09,Hungary,,Plan 3
152,3,0,2,2,2,0,0,4,2,3,2,4,246.06987706435416,289.5353617300352,0.1166957142857134,2020-12-10,Hungary,,Plan 3
153,3,0,2,2,2,0,0,4,2,3,2,4,235.0135405235904,274.42014751993764,0.1166957142857134,2020-12-11,Hungary,,Plan 3
154,3,0,2,2,2,0,0,4,2,3,2,4,224.73475723847238,260.61122204175933,0.1166957142857134,2020-12-12,Hungary,,Plan 3
155,3,0,2,2,2,0,0,4,2,3,2,4,215.11681828586404,248.03443632748,0.1166957142857134,2020-12-13,Hungary,,Plan 3
156,3,0,2,2,2,0,0,4,2,3,2,4,206.07109107933948,236.61577949187725,0.1166957142857134,2020-12-14,Hungary,,Plan 3
157,3,0,2,4,2,0,0,4,2,3,2,4,196.5480798591093,225.94557495722145,0.12386535714285621,2020-12-15,Hungary,,Plan 3
158,3,0,2,4,2,0,0,4,2,3,2,4,186.98821895162862,215.7917690003369,0.12386535714285621,2020-12-16,Hungary,,Plan 3
159,3,0,2,4,2,0,0,4,2,3,2,4,177.58904006529534,206.00879228618564,0.12386535714285621,2020-12-17,Hungary,,Plan 3
160,3,0,2,4,2,0,0,4,2,3,2,4,168.4507778633861,196.49982619187077,0.12386535714285621,2020-12-18,Hungary,,Plan 3
161,3,0,2,4,2,0,0,4,2,3,2,4,159.62886818908615,187.1989848991013,0.12386535714285621,2020-12-19,Hungary,,Plan 3
