C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,2,0,1,0,0,4,2,3,2,0,4154.214710068202,4235.751519178805,1.0644411571334644,2020-11-10,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4080.4596087989366,4235.751519178805,1.0644411571334644,2020-11-11,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4117.5319220742595,4235.751519178805,1.0644411571334644,2020-11-12,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4191.012269695339,4235.751519178805,1.0644411571334644,2020-11-13,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4277.096683458839,4235.751519178805,1.0644411571334644,2020-11-14,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4368.166542599769,4235.751519178805,1.0644411571334644,2020-11-15,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4461.778897556295,4235.751519178805,1.0644411571334644,2020-11-16,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4557.145080060283,4293.313000606246,1.0644411571334644,2020-11-17,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4654.00430817601,4375.2479576601145,1.0644411571334644,2020-11-18,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4752.263425178052,4465.923886674941,1.0644411571334644,2020-11-19,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4851.881496298198,4560.333776189636,1.0644411571334644,2020-11-20,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,4952.8328712393295,4656.867517301134,1.0644411571334644,2020-11-21,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5055.095339643402,4755.000202593083,1.0644411571334644,2020-11-22,Hungary,,Plan 1
2,0,2,0,1,0,0,4,2,3,2,0,5158.646243212323,4854.552680543943,1.0644411571334644,2020-11-23,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,5297.0724821184285,4960.256595123678,0.9252235371466134,2020-11-24,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,5458.46832037315,5075.180025437555,0.9252235371466134,2020-11-25,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,5637.928085989833,5201.7035484106655,0.9252235371466134,2020-11-26,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,5833.0625917751795,5341.872276335949,0.9252235371466134,2020-11-27,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,6042.4815474730285,5497.5363729407645,0.9252235371466134,2020-11-28,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,6265.260417415069,5670.417098336717,0.9252235371466134,2020-11-29,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,6500.736780417235,5862.144317937417,0.9252235371466134,2020-11-30,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,6748.420308082883,6069.479721646625,0.9252235371466134,2020-12-01,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,7007.944621143538,6290.833478899539,0.9252235371466134,2020-12-02,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,7279.036616230119,6525.27755464815,0.9252235371466134,2020-12-03,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,7561.494349481291,6772.196377177594,0.9252235371466134,2020-12-04,Hungary,,Plan 1
1,0,2,0,2,0,0,4,2,3,2,0,7855.169940235905,7031.151861858007,0.9252235371466134,2020-12-05,Hungary,,Plan 1
