C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
1,0,1,1,2,0,0,4,2,3,2,0,4379.887934798631,5178.2798334838735,14.0,2020-11-10,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4524.738722179178,5178.2798334838735,14.0,2020-11-11,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4786.821801675963,5178.2798334838735,14.0,2020-11-12,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5099.300978982628,5178.2798334838735,14.0,2020-11-13,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5442.389292343775,5178.2798334838735,14.0,2020-11-14,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5810.84990346742,5178.2798334838735,14.0,2020-11-15,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6203.970200939522,5178.2798334838735,14.0,2020-11-16,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6622.466889294416,5498.6482555547,14.0,2020-11-17,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7067.529415712488,5861.904068916601,14.0,2020-11-18,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,7540.522517124698,6255.289885409278,14.0,2020-11-19,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8042.891742383716,6675.802851609434,14.0,2020-11-20,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,8576.130727133217,7123.480199436496,14.0,2020-11-21,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9141.766761183233,7599.32546482447,14.0,2020-11-22,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,9741.351093395508,8104.6655923181825,14.0,2020-11-23,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,10250.641115575032,8622.976196072555,21.5,2020-11-24,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,10700.040033432857,9141.906284318324,21.5,2020-11-25,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,11105.30584874276,9651.161045978046,21.5,2020-11-26,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,11475.065565367537,10141.471592118594,21.5,2020-11-27,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,11815.270827510292,10604.205892172458,21.5,2020-11-28,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12130.56226833786,11031.176678908838,21.5,2020-11-29,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12424.724690841997,11414.515764258334,21.5,2020-11-30,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12700.874592404363,11764.549118091096,21.5,2020-12-01,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,12961.569059002837,12087.624693172522,21.5,2020-12-02,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,13208.88880322383,12388.136543812676,21.5,2020-12-03,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,13444.509446929087,12669.48566975004,21.5,2020-12-04,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,13669.764406995742,12934.413323962246,21.5,2020-12-05,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,13885.700100492148,13185.147299984284,21.5,2020-12-06,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,14093.123791834512,13423.490028697504,21.5,2020-12-07,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14231.94107721389,13642.213812241722,24.0,2020-12-08,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14325.040931366013,13836.995508293603,24.0,2020-12-09,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14383.436548414144,14004.78804332079,24.0,2020-12-10,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14413.730731245452,14143.248226794556,24.0,2020-12-11,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14420.578953612849,14250.507447739858,24.0,2020-12-12,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14407.562258054102,14325.05918453442,24.0,2020-12-13,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14377.54408214267,14365.690654578444,24.0,2020-12-14,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14332.851481188338,14380.106426574795,24.0,2020-12-15,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14275.389715788422,14373.013395777996,24.0,2020-12-16,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14206.726194734323,14347.769059538025,24.0,2020-12-17,Hungary,,Plan 1
2,0,2,2,1,0,0,4,2,3,2,0,14128.156373782536,14306.972722757608,24.0,2020-12-18,Hungary,,Plan 1
