,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,2217.320815508379,1620.145591240185,0.12386535714285621,2020-12-25,Hungary,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,1888.7996460749093,1620.145591240185,0.12386535714285621,2020-12-26,Hungary,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,1689.8122190816116,1620.145591240185,0.12386535714285621,2020-12-27,Hungary,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,1547.0403827359635,1620.145591240185,0.12386535714285621,2020-12-28,Hungary,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,1430.9540224973623,1620.145591240185,0.12386535714285621,2020-12-29,Hungary,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,1329.4966826923308,1620.145591240185,0.12386535714285621,2020-12-30,Hungary,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,1237.5953700907387,1620.145591240185,0.12386535714285621,2020-12-31,Hungary,,Plan 1
7,3,0,2,4,2,0,0,0,2,3,2,4,1188.4862420640748,1473.1692236052843,0.0743296428571422,2021-01-01,Hungary,,Plan 1
8,3,0,2,4,2,0,0,0,2,3,2,4,1164.533270763097,1369.7025985607397,0.0743296428571422,2021-01-02,Hungary,,Plan 1
9,3,0,2,4,2,0,0,0,2,3,2,4,1152.7947574303064,1292.985818324839,0.0743296428571422,2021-01-03,Hungary,,Plan 1
10,3,0,2,4,2,0,0,0,2,3,2,4,1148.1310113318682,1235.9987652671111,0.0743296428571422,2021-01-04,Hungary,,Plan 1
11,3,0,2,4,2,0,0,0,2,3,2,4,1148.2710742744944,1195.6154869495585,0.0743296428571422,2021-01-05,Hungary,,Plan 1
12,3,0,2,4,2,0,0,0,2,3,2,4,1152.0259086578142,1170.262519230342,0.0743296428571422,2021-01-06,Hungary,,Plan 1
13,3,0,2,4,2,0,0,0,2,3,2,4,1158.6497783007092,1158.9845775460522,0.0743296428571422,2021-01-07,Hungary,,Plan 1
14,3,0,2,4,2,0,0,0,2,3,2,4,1167.609636062131,1156.00220526006,0.0743296428571422,2021-01-08,Hungary,,Plan 1
15,3,0,2,4,2,0,0,0,2,3,2,4,1178.4968431365553,1157.9970013134114,0.0743296428571422,2021-01-09,Hungary,,Plan 1
16,3,0,2,4,2,0,0,0,2,3,2,4,1190.988405942369,1163.4532368151345,0.0743296428571422,2021-01-10,Hungary,,Plan 1
17,3,0,2,4,2,0,0,0,2,3,2,4,1204.8260134720854,1171.5525228351655,0.0743296428571422,2021-01-11,Hungary,,Plan 1
18,3,0,2,4,2,0,0,0,2,3,2,4,1219.802253907273,1181.7712627827054,0.0743296428571422,2021-01-12,Hungary,,Plan 1
19,3,0,2,4,2,0,0,0,2,3,2,4,1235.750372812616,1193.7319005191057,0.0743296428571422,2021-01-13,Hungary,,Plan 1
20,3,0,2,4,2,0,0,0,2,3,2,4,1252.5362455914715,1207.1442529892142,0.0743296428571422,2021-01-14,Hungary,,Plan 1
21,3,0,2,4,2,0,0,0,2,3,2,4,1270.0519793291649,1221.7788734559338,0.0743296428571422,2021-01-15,Hungary,,Plan 1
22,3,0,2,4,2,0,0,0,2,3,2,4,1288.2107779957548,1237.4522927215335,0.0743296428571422,2021-01-16,Hungary,,Plan 1
23,3,0,2,4,2,0,0,0,2,3,2,4,1306.9428270530284,1254.0172100230561,0.0743296428571422,2021-01-17,Hungary,,Plan 1
24,3,0,2,4,2,0,0,0,2,3,2,4,1326.1919910215572,1271.355206815838,0.0743296428571422,2021-01-18,Hungary,,Plan 1
25,3,0,2,4,2,0,0,0,2,3,2,4,1345.9131596724087,1289.3710504965716,0.0743296428571422,2021-01-19,Hungary,,Plan 1
26,3,0,2,4,2,0,0,0,2,3,2,4,1366.07011910175,1307.9881571093051,0.0743296428571422,2021-01-20,Hungary,,Plan 1
27,3,0,2,4,2,0,0,0,2,3,2,4,1386.633839806172,1327.1449562828336,0.0743296428571422,2021-01-21,Hungary,,Plan 1
