,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,2,2,0,1,4,2,3,2,0,2262.650863700868,1754.6311481114349,32.0,2020-12-25,Hungary,,Plan 1
1,3,0,2,2,2,0,1,4,2,3,2,0,1973.2728073048331,1754.6311481114349,32.0,2020-12-26,Hungary,,Plan 1
2,3,0,2,2,2,0,1,4,2,3,2,0,1806.616384099493,1754.6311481114349,32.0,2020-12-27,Hungary,,Plan 1
3,3,0,2,2,2,0,1,4,2,3,2,0,1690.6014520236788,1754.6311481114349,32.0,2020-12-28,Hungary,,Plan 1
4,3,0,2,2,2,0,1,4,2,3,2,0,1596.8801320568157,1754.6311481114349,32.0,2020-12-29,Hungary,,Plan 1
5,3,0,2,2,2,0,1,4,2,3,2,0,1514.234940387201,1754.6311481114349,32.0,2020-12-30,Hungary,,Plan 1
6,3,0,2,2,2,0,1,4,2,3,2,0,1438.1614572071544,1754.6311481114349,32.0,2020-12-31,Hungary,,Plan 1
7,2,0,1,0,2,0,0,4,2,3,2,0,1402.4857364370928,1631.7504156451812,16.5,2021-01-01,Hungary,,Plan 1
8,2,0,1,0,2,0,0,4,2,3,2,0,1394.2250553519468,1549.0293082233402,16.5,2021-01-02,Hungary,,Plan 1
9,2,0,1,0,2,0,0,4,2,3,2,0,1399.6977054109957,1490.8980684106978,16.5,2021-01-03,Hungary,,Plan 1
10,2,0,1,0,2,0,0,4,2,3,2,0,1413.5123540513046,1451.3139115575016,16.5,2021-01-04,Hungary,,Plan 1
11,2,0,1,0,2,0,0,4,2,3,2,0,1433.3048110025734,1427.9460085497526,16.5,2021-01-05,Hungary,,Plan 1
12,2,0,1,0,2,0,0,4,2,3,2,0,1457.8497040935333,1419.8909747935143,16.5,2021-01-06,Hungary,,Plan 1
13,2,0,1,0,2,0,0,4,2,3,2,0,1486.3880474513319,1426.7804876855396,16.5,2021-01-07,Hungary,,Plan 1
14,2,0,1,0,2,0,0,4,2,3,2,0,1518.38420637472,1443.3374119623438,16.5,2021-01-08,Hungary,,Plan 1
15,2,0,1,0,2,0,0,4,2,3,2,0,1553.4326689381019,1466.081356760366,16.5,2021-01-09,Hungary,,Plan 1
16,2,0,1,0,2,0,0,4,2,3,2,0,1591.217128782135,1493.4412743848145,16.5,2021-01-10,Hungary,,Plan 1
17,2,0,1,0,2,0,0,4,2,3,2,0,1631.4885782518056,1524.5807349848858,16.5,2021-01-11,Hungary,,Plan 1
18,2,0,1,0,2,0,0,4,2,3,2,0,1674.0511014124033,1558.9730621862902,16.5,2021-01-12,Hungary,,Plan 1
19,2,0,1,0,2,0,0,4,2,3,2,0,1718.7514232179076,1596.244736346915,16.5,2021-01-13,Hungary,,Plan 1
20,2,0,1,0,2,0,0,4,2,3,2,0,1765.4707650519194,1636.113696004142,16.5,2021-01-14,Hungary,,Plan 1
21,1,0,1,1,2,0,0,4,2,3,2,0,1820.6455579726005,1679.2938890895532,14.0,2021-01-15,Hungary,,Plan 1
22,1,0,1,1,2,0,0,4,2,3,2,0,1884.8467668619617,1726.6387602215332,14.0,2021-01-16,Hungary,,Plan 1
23,1,0,1,1,2,0,0,4,2,3,2,0,1956.0835023898094,1778.7625278797725,14.0,2021-01-17,Hungary,,Plan 1
24,1,0,1,1,2,0,0,4,2,3,2,0,2033.479691268968,1836.1898297393673,14.0,2021-01-18,Hungary,,Plan 1
25,1,0,1,1,2,0,0,4,2,3,2,0,2116.6210169399096,1899.4141033861538,14.0,2021-01-19,Hungary,,Plan 1
26,1,0,1,1,2,0,0,4,2,3,2,0,2205.3023247331494,1968.9213750311883,14.0,2021-01-20,Hungary,,Plan 1
27,1,0,1,1,2,0,0,4,2,3,2,0,2299.427085416561,2045.200849368994,14.0,2021-01-21,Hungary,,Plan 1
28,1,0,1,1,2,0,0,4,2,3,2,0,2398.964997389885,2127.817912142892,14.0,2021-01-22,Hungary,,Plan 1
29,1,0,1,1,2,0,0,4,2,3,2,0,2503.9322569954015,2216.258696447669,14.0,2021-01-23,Hungary,,Plan 1
30,1,0,1,1,2,0,0,4,2,3,2,0,2614.3810403623806,2310.3012018723225,14.0,2021-01-24,Hungary,,Plan 1
31,1,0,1,1,2,0,0,4,2,3,2,0,2730.392988812595,2409.8602443785544,14.0,2021-01-25,Hungary,,Plan 1
32,1,0,1,1,2,0,0,4,2,3,2,0,2852.074664362051,2514.9250511531463,14.0,2021-01-26,Hungary,,Plan 1
33,1,0,1,1,2,0,0,4,2,3,2,0,2979.5541043202784,2625.532448237022,14.0,2021-01-27,Hungary,,Plan 1
34,1,0,1,1,2,0,0,4,2,3,2,0,3112.978075286281,2741.7540182184102,14.0,2021-01-28,Hungary,,Plan 1
35,1,0,1,1,2,0,0,4,2,3,2,0,3252.509828950875,2863.6889941556947,14.0,2021-01-29,Hungary,,Plan 1
36,1,0,1,1,2,0,0,4,2,3,2,0,3398.327233825672,2991.4597051314477,14.0,2021-01-30,Hungary,,Plan 1
37,1,0,1,1,2,0,0,4,2,3,2,0,3550.6211770898617,3125.208296092517,14.0,2021-01-31,Hungary,,Plan 1
