C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,1,0,2,0,0,4,2,3,2,0,2424.1387140304682,2247.382230242305,21.5,2020-12-25,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2266.500677069449,2247.382230242305,21.5,2020-12-26,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2213.4912834504253,2247.382230242305,21.5,2020-12-27,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2200.017371180285,2247.382230242305,21.5,2020-12-28,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2201.4545014247387,2247.382230242305,21.5,2020-12-29,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2208.4862717307024,2247.382230242305,21.5,2020-12-30,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2217.586792810066,2247.382230242305,21.5,2020-12-31,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2227.4208110496893,2219.2796726736224,21.5,2021-01-01,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2237.4818070578604,2215.134119814824,21.5,2021-01-02,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2247.5767896939115,2220.0034778496074,21.5,2021-01-03,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2257.6314244387195,2228.2340568865266,21.5,2021-01-04,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2267.616256936809,2237.6857362453948,21.5,2021-01-05,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2277.5188088072173,2247.547527256325,21.5,2021-01-06,Hungary,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,2287.3330668355416,2257.5112806885354,21.5,2021-01-07,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2319.6217432714348,2270.6828424344994,14.0,2021-01-08,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2373.863695904448,2290.1659694125838,14.0,2021-01-09,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2442.5466663865204,2318.018808940099,14.0,2021-01-10,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2522.363821895136,2355.837722862444,14.0,2021-01-11,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2611.703831108371,2404.9930906012382,14.0,2021-01-12,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2709.682782664115,2466.730801152224,14.0,2021-01-13,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2815.764627052604,2542.221024040376,14.0,2021-01-14,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,2929.605933497096,2629.3616226440413,14.0,2021-01-15,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3050.98708370846,2726.093535187472,14.0,2021-01-16,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3179.777784539381,2831.412266352166,14.0,2021-01-17,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3315.91699920094,2944.7770059672807,14.0,2021-01-18,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3459.399598858011,3065.876401360086,14.0,2021-01-19,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3610.266618183964,3194.5312350057793,14.0,2021-01-20,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3768.597689366466,3330.6502439077594,14.0,2021-01-21,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,3934.504982524923,3474.207250911735,14.0,2021-01-22,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4108.128244166176,3625.2274166914094,14.0,2021-01-23,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4289.63065936324,3783.777827380532,14.0,2021-01-24,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4479.195360855501,3949.960450474041,14.0,2021-01-25,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4677.0224546691825,4123.906572732779,14.0,2021-01-26,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,4883.32641272847,4305.772257667709,14.0,2021-01-27,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5098.333767780462,4495.7345545839935,14.0,2021-01-28,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5322.281049070764,4693.988278376257,14.0,2021-01-29,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5555.412890458599,4900.743227846602,14.0,2021-01-30,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,5797.980244342639,5116.221739986517,14.0,2021-01-31,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6050.238681365852,5340.656500059425,14.0,2021-02-01,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6312.446738429425,5574.288540596602,14.0,2021-02-02,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6584.864273279775,5817.365377818217,14.0,2021-02-03,Hungary,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,6867.750827269264,6070.139243459474,14.0,2021-02-04,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7138.007201420483,6329.528693795148,16.5,2021-02-05,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7391.219556578232,6591.786788955096,16.5,2021-02-06,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7634.507637081842,6854.1478450606955,16.5,2021-02-07,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7871.42509814225,7114.317333171609,16.5,2021-02-08,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8104.047437400155,7370.260290167428,16.5,2021-02-09,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8333.765385350882,7620.103306177587,16.5,2021-02-10,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8561.598608409487,7862.081560626189,16.5,2021-02-11,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8788.32949105399,8097.8418877166905,16.5,2021-02-12,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,9014.567860289544,8329.74878824688,16.5,2021-02-13,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,9240.787965398653,8559.21740657785,16.5,2021-02-14,Hungary,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,9467.353158778873,8787.207129525941,16.5,2021-02-15,Hungary,,Plan 1
