C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,0,0,0,0,4,2,3,2,0,6380.281984997565,6614.909241633128,1.2036587771203149,2020-12-21,Iran,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,6240.397170835367,6614.909241633128,1.2036587771203149,2020-12-22,Iran,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,6330.374389684722,6614.909241633128,1.2036587771203149,2020-12-23,Iran,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,6506.101225663624,6614.909241633128,1.2036587771203149,2020-12-24,Iran,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,6716.958565941623,6614.909241633128,1.2036587771203149,2020-12-25,Iran,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,6945.272016463227,6614.909241633128,1.2036587771203149,2020-12-26,Iran,,Plan 1
3,0,2,0,0,0,0,4,2,3,2,0,7184.979337845771,6614.909241633128,1.2036587771203149,2020-12-27,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7411.962270336878,6762.292139538745,1.2899506903353049,2020-12-28,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7626.776298837371,6960.346300681888,1.2899506903353049,2020-12-29,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,7836.069004135927,7175.445531317775,1.2899506903353049,2020-12-30,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8042.934960955585,7394.993207788054,1.2899506903353049,2020-12-31,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8249.087653048795,7613.868791660508,1.2899506903353049,2021-01-01,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8455.644531658101,7829.636293831202,1.2899506903353049,2021-01-02,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8663.424098111218,8040.842688154838,1.2899506903353049,2021-01-03,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,8873.068054625324,8249.572085910331,1.2899506903353049,2021-01-04,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9085.0985817395,8457.903840610636,1.2899506903353049,2021-01-05,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9299.949850565405,8667.029675814845,1.2899506903353049,2021-01-06,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9517.988178003552,8877.751563964557,1.2899506903353049,2021-01-07,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9739.52633747422,9090.671376025331,1.2899506903353049,2021-01-08,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,9964.834309831962,9306.269915764455,1.2899506903353049,2021-01-09,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,10194.147709135621,9524.944717339371,1.2899506903353049,2021-01-10,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,10427.67446333244,9747.03134715467,1.2899506903353049,2021-01-11,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,10665.600119964794,9972.817281186855,1.2899506903353049,2021-01-12,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,10908.092114187426,10202.551890275716,1.2899506903353049,2021-01-13,Iran,,Plan 1
3,0,2,0,2,0,0,4,2,3,2,0,11155.30323115858,10436.454040726434,1.2899506903353049,2021-01-14,Iran,,Plan 1
