,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,5928.860692811397,5062.041301429924,0.12386535714285621,2020-12-21,Iran,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,5396.145487139068,5062.041301429924,0.12386535714285621,2020-12-22,Iran,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,5121.676291407979,5062.041301429924,0.12386535714285621,2020-12-23,Iran,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,4943.938331859977,5062.041301429924,0.12386535714285621,2020-12-24,Iran,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,4803.5717149159345,5062.041301429924,0.12386535714285621,2020-12-25,Iran,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,4678.734240431289,5062.041301429924,0.12386535714285621,2020-12-26,Iran,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,4561.362351443818,5062.041301429924,0.12386535714285621,2020-12-27,Iran,,Plan 1
7,3,0,2,4,2,0,0,4,2,3,2,4,4448.453986080361,4850.554629039775,0.12386535714285621,2020-12-28,Iran,,Plan 1
8,3,0,2,4,2,0,0,4,2,3,2,4,4338.866787056071,4699.514814742203,0.12386535714285621,2020-12-29,Iran,,Plan 1
9,3,0,2,4,2,0,0,4,2,3,2,4,4232.142203348309,4572.438516447965,0.12386535714285621,2020-12-30,Iran,,Plan 1
10,3,0,2,4,2,0,0,4,2,3,2,4,4128.073719180935,4455.886428922388,0.12386535714285621,2020-12-31,Iran,,Plan 1
11,3,0,2,4,2,0,0,4,2,3,2,4,4026.5481642315403,4344.883064538903,0.12386535714285621,2021-01-01,Iran,,Plan 1
12,3,0,2,4,2,0,0,4,2,3,2,4,3927.487422301115,4237.562090520307,0.12386535714285621,2021-01-02,Iran,,Plan 1
13,3,0,2,4,2,0,0,4,2,3,2,4,3830.8271002507395,4133.199911778438,0.12386535714285621,2021-01-03,Iran,,Plan 1
14,3,0,2,4,2,0,0,4,2,3,2,4,3736.5085630934577,4031.4934227803096,0.12386535714285621,2021-01-04,Iran,,Plan 1
15,3,0,2,4,2,0,0,4,2,3,2,4,3644.476069539124,3932.294748849317,0.12386535714285621,2021-01-05,Iran,,Plan 1
16,3,0,2,4,2,0,0,4,2,3,2,4,3554.6756810238094,3835.5138170886744,0.12386535714285621,2021-01-06,Iran,,Plan 1
17,3,0,2,4,2,0,0,4,2,3,2,4,3467.0548527049536,3741.0825504492486,0.12386535714285621,2021-01-07,Iran,,Plan 1
18,3,0,2,4,2,0,0,4,2,3,2,4,3381.562269391115,3648.941708329188,0.12386535714285621,2021-01-08,Iran,,Plan 1
19,3,0,2,4,2,0,0,4,2,3,2,4,3298.147772058743,3559.036044008849,0.12386535714285621,2021-01-09,Iran,,Plan 1
20,3,0,2,4,2,0,0,4,2,3,2,4,3216.7623177979053,3471.312503658444,0.12386535714285621,2021-01-10,Iran,,Plan 1
21,3,0,2,4,2,0,0,3,2,3,2,4,3161.230094056719,3389.1298652246237,0.1114814285714277,2021-01-11,Iran,,Plan 1
22,3,0,2,4,2,0,0,3,2,3,2,4,3121.160276701975,3314.3704662478885,0.1114814285714277,2021-01-12,Iran,,Plan 1
23,3,0,2,4,2,0,0,3,2,3,2,4,3090.8124400320958,3248.1042889633577,0.1114814285714277,2021-01-13,Iran,,Plan 1
24,3,0,2,4,2,0,0,3,2,3,2,4,3067.2326949979297,3190.9868378623546,0.1114814285714277,2021-01-14,Iran,,Plan 1
25,3,0,2,4,2,0,0,3,2,3,2,4,3048.6744699319624,3143.4314379396187,0.1114814285714277,2021-01-15,Iran,,Plan 1
26,3,0,2,4,2,0,0,3,2,3,2,4,3033.9738128652166,3105.692300911972,0.1114814285714277,2021-01-16,Iran,,Plan 1
27,3,0,2,4,2,0,0,3,2,3,2,4,3022.2892889381365,3077.910439646291,0.1114814285714277,2021-01-17,Iran,,Plan 1
28,3,0,2,3,2,0,0,2,2,3,2,4,3036.6395638763565,3060.1117924776677,0.09551267857142781,2021-01-18,Iran,,Plan 1
29,3,0,2,3,2,0,0,2,2,3,2,4,3073.4268548149857,3053.2927322080977,0.09551267857142781,2021-01-19,Iran,,Plan 1
30,3,0,2,3,2,0,0,2,2,3,2,4,3125.2025543619366,3058.205605683789,0.09551267857142781,2021-01-20,Iran,,Plan 1
31,3,0,2,3,2,0,0,2,2,3,2,4,3188.4006518324404,3075.515313803005,0.09551267857142781,2021-01-21,Iran,,Plan 1
