C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,2,0,0,4,2,3,2,0,6141.01849664817,5776.989165738746,30.0,2020-12-21,Iran,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5795.4660444832925,5776.989165738746,30.0,2020-12-22,Iran,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5691.186135554938,5776.989165738746,30.0,2020-12-23,Iran,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5673.440827964357,5776.989165738746,30.0,2020-12-24,Iran,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5686.759124259125,5776.989165738746,30.0,2020-12-25,Iran,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5711.254993417911,5776.989165738746,30.0,2020-12-26,Iran,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5739.798537843427,5776.989165738746,30.0,2020-12-27,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,5788.9083379735575,5726.687714499515,28.0,2020-12-28,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,5854.523235545017,5735.124456079762,28.0,2020-12-29,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,5929.988519013012,5769.239082288057,28.0,2020-12-30,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,6012.384508363357,5817.6596080593445,28.0,2020-12-31,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,6100.22374280307,5876.72598213705,28.0,2021-01-01,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,6192.617391406811,5945.492038992607,28.0,2021-01-02,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,6288.963141656135,6023.944125251566,28.0,2021-01-03,Iran,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,6449.973736195378,6118.382039283254,21.5,2021-01-04,Iran,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,6671.306381502653,6235.065345848631,21.5,2021-01-05,Iran,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,6936.391996806011,6378.83727124763,21.5,2021-01-06,Iran,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,7238.362107976584,6553.976928335235,21.5,2021-01-07,Iran,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,7574.163023856572,6764.539682771449,21.5,2021-01-08,Iran,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,7942.3888753318215,7014.507037617878,21.5,2021-01-09,Iran,,Plan 1
3,0,1,0,2,0,0,4,2,3,2,0,8342.462738347878,7307.864122859557,21.5,2021-01-10,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,8701.672641553678,7629.5353950536,28.0,2021-01-11,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,9014.412983782931,7964.264909665068,28.0,2021-01-12,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,9298.061340923821,8301.64624453904,28.0,2021-01-13,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,9561.13419149103,8633.470827898247,28.0,2021-01-14,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,9808.700889546892,8952.690522996865,28.0,2021-01-15,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,10044.298214238434,9252.96328569781,28.0,2021-01-16,Iran,,Plan 1
3,0,2,2,0,0,0,4,2,3,2,0,10270.63820855712,9528.41692429913,28.0,2021-01-17,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,10613.914453662615,9801.594326028975,19.0,2021-01-18,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,11073.92856204572,10095.810837209374,19.0,2021-01-19,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,11621.482896062576,10427.7282022292,19.0,2021-01-20,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,12245.582192041762,10811.220773736446,19.0,2021-01-21,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,12942.341287668334,11258.883687753796,19.0,2021-01-22,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,13710.92621217027,11782.68768745834,19.0,2021-01-23,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,14552.041672968615,12394.31675380284,19.0,2021-01-24,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,15467.344650698413,13087.663924807957,19.0,2021-01-25,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,16459.196458365048,13856.987909996433,19.0,2021-01-26,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,17530.546291261537,14701.139823596282,19.0,2021-01-27,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,18684.86888753089,15621.037922951875,19.0,2021-01-28,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,19926.127567958407,16618.721677279023,19.0,2021-01-29,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,21258.751101484286,17696.982375752457,19.0,2021-01-30,Iran,,Plan 1
1,0,2,2,1,0,0,4,2,3,2,0,22687.61933552625,18859.207756117838,19.0,2021-01-31,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,24388.680784806533,20133.684346704707,14.0,2021-02-01,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,26397.49194497353,21553.440844791632,14.0,2021-02-02,Iran,,Plan 1
