C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
2,0,1,0,2,0,0,4,2,3,2,0,6823.761110180311,8390.667220759191,16.5,2020-12-21,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7085.773580161673,8390.667220759191,16.5,2020-12-22,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,7585.11154070981,8390.667220759191,16.5,2020-12-23,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8200.964100227411,8390.667220759191,16.5,2020-12-24,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,8894.893369984859,8390.667220759191,16.5,2020-12-25,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,9656.949613270364,8390.667220759191,16.5,2020-12-26,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,10487.2172307799,8390.667220759191,16.5,2020-12-27,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,11389.508042490557,9042.916782517796,16.5,2020-12-28,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,12369.220901975204,9797.694971348299,16.5,2020-12-29,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,13432.631326456209,10633.054940740645,16.5,2020-12-30,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,14586.67282343308,11545.29904405574,16.5,2020-12-31,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,15838.888247573232,12537.298312282648,16.5,2021-01-01,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,17197.44095271951,13614.511360775383,16.5,2021-01-02,Iran,,Plan 1
2,0,1,0,2,0,0,4,2,3,2,0,18671.14791457116,14783.644315602707,16.5,2021-01-03,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,20347.049579164297,16063.2931065561,14.0,2021-01-04,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,22254.52696803029,17475.47968742111,14.0,2021-01-05,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,24395.9316927604,19041.665454036,14.0,2021-01-06,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,26785.5556009004,20784.36299367418,14.0,2021-01-07,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,29443.409705433067,22727.86605908273,14.0,2021-01-08,Iran,,Plan 1
1,0,1,1,2,0,0,4,2,3,2,0,32393.160038078986,24898.683071276937,14.0,2021-01-09,Iran,,Plan 1
