C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
3,0,2,2,1,0,0,4,2,3,2,0,614.4740184809589,692.3044388927118,29.0,2020-11-19,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,600.7984291003891,692.3044388927118,29.0,2020-11-20,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,625.0237914595142,692.3044388927118,29.0,2020-11-21,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,667.0160945539415,692.3044388927118,29.0,2020-11-22,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,718.8695932529217,692.3044388927118,29.0,2020-11-23,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,777.6230810948703,692.3044388927118,29.0,2020-11-24,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,842.3260643063855,692.3044388927118,29.0,2020-11-25,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,912.8580742173317,734.9307325693362,29.0,2020-11-26,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,989.4544013153676,790.4530143143332,29.0,2020-11-27,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1072.5166113597163,854.3805600143622,29.0,2020-11-28,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1162.5379493401188,925.1693964123876,29.0,2020-11-29,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1260.0751472961251,1002.4844755614163,29.0,2020-11-30,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1365.7390499519302,1086.5010425409964,29.0,2020-12-01,Israel,,Plan 1
3,0,2,2,1,0,0,4,2,3,2,0,1480.1929521022205,1177.624883654687,29.0,2020-12-02,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1594.9146785271676,1275.061541413235,33.67,2020-12-03,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1710.7161006878118,1378.0989270378698,33.67,2020-12-04,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1830.0548100845087,1486.3186697128406,33.67,2020-12-05,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,1954.2741458479727,1599.4238406425338,33.67,2020-12-06,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,2084.263218487186,1717.1649936698282,33.67,2020-12-07,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,2220.724835610134,1839.3058201924289,33.67,2020-12-08,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,2364.286258728295,1965.6048639961537,33.67,2020-12-09,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,2515.5465044811012,2097.1236962752882,33.67,2020-12-10,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,2675.097754362874,2234.8925039431533,33.67,2020-12-11,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,2843.5360014978905,2379.6755312879222,33.67,2020-12-12,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3021.467103133674,2532.131668043022,33.67,2020-12-13,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3209.5107342394267,2692.881313150485,33.67,2020-12-14,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3408.3032911741875,2862.535378231064,33.67,2020-12-15,Israel,,Plan 1
3,1,2,2,2,0,0,4,2,3,2,0,3618.5001922456468,3041.7087973049715,33.67,2020-12-16,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,3857.5650889091353,3233.425737937548,30.0,2020-12-17,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,4125.0001714290665,3440.554654661289,30.0,2020-12-18,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,4418.242796364208,3665.512768213621,30.0,2020-12-19,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,4737.020522027336,3910.591828055572,30.0,2020-12-20,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5082.067455588083,4178.099931105379,30.0,2020-12-21,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5454.598315728147,4470.427791755946,30.0,2020-12-22,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,5856.093109709012,4790.08392282214,30.0,2020-12-23,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6288.208591238768,5137.318708869231,30.0,2020-12-24,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,6752.741075480434,5512.710266590854,30.0,2020-12-25,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,7251.609773923431,5917.4769776707435,30.0,2020-12-26,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,7786.84798519695,6353.166615266403,30.0,2020-12-27,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,8360.596832625715,6821.527954843207,30.0,2020-12-28,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,8975.099266932253,7324.456662158081,30.0,2020-12-29,Israel,,Plan 1
3,0,2,2,2,0,0,4,2,3,2,0,9632.693283340655,7863.970972676886,30.0,2020-12-30,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,10129.6586645411,8412.74955457722,45.51,2020-12-31,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,10515.264223501685,8950.252861437399,45.51,2021-01-01,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,10826.875681083076,9461.005133888775,45.51,2021-01-02,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11084.548129082217,9932.105154443814,45.51,2021-01-03,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11300.663304191941,10352.114650381844,45.51,2021-01-04,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11483.757533830068,10710.494402795815,45.51,2021-01-05,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11640.138005220024,10997.272220207158,45.51,2021-01-06,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11774.63910969824,11232.269426658178,45.51,2021-01-07,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11891.030957236006,11428.807531477363,45.51,2021-01-08,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,11992.275823950027,11595.293266172645,45.51,2021-01-09,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12080.708146500092,11737.601840089485,45.51,2021-01-10,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12158.169652627415,11860.102747008841,45.51,2021-01-11,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12226.114114405364,11966.153687091022,45.51,2021-01-12,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12285.689480129808,12058.37532636385,45.51,2021-01-13,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12337.802596387088,12138.827253033684,45.51,2021-01-14,Israel,,Plan 1
3,3,2,3,2,0,1,4,2,3,2,0,12383.170271431023,12209.132869347259,45.51,2021-01-15,Israel,,Plan 1
