,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Infections,InfectionsRolling,Stringency,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,2,4,2,0,0,4,2,3,2,4,3423.18963242973,2400.716211461841,0.12386535714285621,2020-09-18,Israel,,Plan 1
1,3,0,2,4,2,0,0,4,2,3,2,4,2921.0733258840887,2400.716211461841,0.12386535714285621,2020-09-19,Israel,,Plan 1
2,3,0,2,4,2,0,0,4,2,3,2,4,2573.823904551224,2400.716211461841,0.12386535714285621,2020-09-20,Israel,,Plan 1
3,3,0,2,4,2,0,0,4,2,3,2,4,2298.129625734416,2400.716211461841,0.12386535714285621,2020-09-21,Israel,,Plan 1
4,3,0,2,4,2,0,0,4,2,3,2,4,2062.868103568365,2400.716211461841,0.12386535714285621,2020-09-22,Israel,,Plan 1
5,3,0,2,4,2,0,0,4,2,3,2,4,1855.5417773487172,2400.716211461841,0.12386535714285621,2020-09-23,Israel,,Plan 1
6,3,0,2,4,2,0,0,4,2,3,2,4,1670.3871107163463,2400.716211461841,0.12386535714285621,2020-09-24,Israel,,Plan 1
7,2,0,2,1,2,0,0,0,2,3,2,4,1565.149678126615,2135.281932275682,0.050539464285713806,2020-09-25,Israel,,Plan 1
8,2,0,2,1,2,0,0,0,2,3,2,4,1497.4542491451782,1931.9077784558374,0.050539464285713806,2020-09-26,Israel,,Plan 1
9,2,0,2,1,2,0,0,0,2,3,2,4,1450.4159663835687,1771.4209301461724,0.050539464285713806,2020-09-27,Israel,,Plan 1
10,2,0,2,1,2,0,0,0,2,3,2,4,1416.5423912184776,1645.4798966438955,0.050539464285713806,2020-09-28,Israel,,Plan 1
11,2,0,2,1,2,0,0,0,2,3,2,4,1391.9229632208176,1549.63059087996,0.050539464285713806,2020-09-29,Israel,,Plan 1
12,2,0,2,1,2,0,0,0,2,3,2,4,1374.1658003826346,1480.8625941705197,0.050539464285713806,2020-09-30,Israel,,Plan 1
13,2,0,2,1,2,0,0,0,2,3,2,4,1361.6367337146028,1436.755397455985,0.050539464285713806,2020-10-01,Israel,,Plan 1
14,3,0,2,4,2,0,0,0,2,3,2,4,1338.1909979153013,1404.3327288543685,0.0743296428571422,2020-10-02,Israel,,Plan 1
15,3,0,2,4,2,0,0,0,2,3,2,4,1309.4035198781485,1377.468338959079,0.0743296428571422,2020-10-03,Israel,,Plan 1
16,3,0,2,4,2,0,0,0,2,3,2,4,1277.6708014551766,1352.790458255023,0.0743296428571422,2020-10-04,Israel,,Plan 1
17,3,0,2,4,2,0,0,0,2,3,2,4,1244.228734057627,1328.1742215177583,0.0743296428571422,2020-10-05,Israel,,Plan 1
18,3,0,2,4,2,0,0,0,2,3,2,4,1209.831151865146,1302.1611056098052,0.0743296428571422,2020-10-06,Israel,,Plan 1
19,3,0,2,4,2,0,0,0,2,3,2,4,1174.9923094030705,1273.7077497555817,0.0743296428571422,2020-10-07,Israel,,Plan 1
20,3,0,2,4,2,0,0,0,2,3,2,4,1140.0836672462483,1242.057311688674,0.0743296428571422,2020-10-08,Israel,,Plan 1
21,3,0,2,3,2,0,0,2,2,3,2,4,1096.959173701566,1207.5956225152834,0.09551267857142781,2020-10-09,Israel,,Plan 1
22,3,0,2,3,2,0,0,2,2,3,2,4,1049.7958383208386,1170.508810864239,0.09551267857142781,2020-10-10,Israel,,Plan 1
23,3,0,2,3,2,0,0,2,2,3,2,4,1000.7843816625852,1130.9536080367259,0.09551267857142781,2020-10-11,Israel,,Plan 1
24,3,0,2,3,2,0,0,2,2,3,2,4,951.2586345626539,1089.1007366803012,0.09551267857142781,2020-10-12,Israel,,Plan 1
25,3,0,2,3,2,0,0,2,2,3,2,4,902.1046972205579,1045.1398145882172,0.09551267857142781,2020-10-13,Israel,,Plan 1
26,3,0,2,3,2,0,0,2,2,3,2,4,853.9311750153112,999.2739382471087,0.09551267857142781,2020-10-14,Israel,,Plan 1
27,3,0,2,3,2,0,0,2,2,3,2,4,807.1551029190525,951.7127147717949,0.09551267857142781,2020-10-15,Israel,,Plan 1
28,3,0,2,1,2,0,0,0,2,3,2,4,772.1621875528507,905.3131453219786,0.06357517857142801,2020-10-16,Israel,,Plan 1
29,3,0,2,1,2,0,0,0,2,3,2,4,743.9773583838108,861.6247910452604,0.06357517857142801,2020-10-17,Israel,,Plan 1
30,3,0,2,1,2,0,0,0,2,3,2,4,720.2617718872228,821.5501325059229,0.06357517857142801,2020-10-18,Israel,,Plan 1
31,3,0,2,1,2,0,0,0,2,3,2,4,699.7455182550046,785.6196873191158,0.06357517857142801,2020-10-19,Israel,,Plan 1
32,3,0,2,1,2,0,0,0,2,3,2,4,681.6381639483409,754.1244682802277,0.06357517857142801,2020-10-20,Israel,,Plan 1
33,3,0,2,1,2,0,0,0,2,3,2,4,665.3965390590067,727.1909488578984,0.06357517857142801,2020-10-21,Israel,,Plan 1
34,3,0,2,1,2,0,0,0,2,3,2,4,650.6245893065017,704.8294469132483,0.06357517857142801,2020-10-22,Israel,,Plan 1
35,2,0,2,1,2,0,0,0,2,3,2,4,640.7266866934741,686.0529467904802,0.050539464285713806,2020-10-23,Israel,,Plan 1
36,2,0,2,1,2,0,0,0,2,3,2,4,633.8682839750282,670.323079017797,0.050539464285713806,2020-10-24,Israel,,Plan 1
37,2,0,2,1,2,0,0,0,2,3,2,4,629.1321914423205,657.3045675256681,0.050539464285713806,2020-10-25,Israel,,Plan 1
38,2,0,2,1,2,0,0,0,2,3,2,4,625.9786473763179,646.766443114427,0.050539464285713806,2020-10-26,Israel,,Plan 1
39,2,0,2,1,2,0,0,0,2,3,2,4,624.0457298492913,638.5389525288487,0.050539464285713806,2020-10-27,Israel,,Plan 1
40,2,0,2,1,2,0,0,0,2,3,2,4,623.0701789111395,632.492329650582,0.050539464285713806,2020-10-28,Israel,,Plan 1
41,2,0,2,1,2,0,0,0,2,3,2,4,622.8519299225552,628.5248068814466,0.050539464285713806,2020-10-29,Israel,,Plan 1
42,3,0,2,1,2,0,0,0,2,3,2,4,619.7447323860107,625.5273848375234,0.06357517857142801,2020-10-30,Israel,,Plan 1
43,3,0,2,1,2,0,0,0,2,3,2,4,614.9959633470825,622.831339033531,0.06357517857142801,2020-10-31,Israel,,Plan 1
44,3,0,2,1,2,0,0,0,2,3,2,4,609.1716028090552,619.979826371636,0.06357517857142801,2020-11-01,Israel,,Plan 1
45,3,0,2,1,2,0,0,0,2,3,2,4,602.5857286846393,616.6379808442533,0.06357517857142801,2020-11-02,Israel,,Plan 1
46,3,0,2,1,2,0,0,0,2,3,2,4,595.4446316548676,612.5521096736214,0.06357517857142801,2020-11-03,Israel,,Plan 1
47,3,0,2,1,2,0,0,0,2,3,2,4,587.8983367751075,607.5275607970455,0.06357517857142801,2020-11-04,Israel,,Plan 1
48,3,0,2,1,2,0,0,0,2,3,2,4,580.0614217456616,601.4146310574891,0.06357517857142801,2020-11-05,Israel,,Plan 1
49,0,0,0,0,0,0,0,0,0,0,0,0,594.1884282915026,597.7637304725595,0.0,2020-11-06,Israel,,Plan 1
50,0,0,0,0,0,0,0,0,0,0,0,0,631.6462061944877,600.1423365936173,0.0,2020-11-07,Israel,,Plan 1
51,0,0,0,0,0,0,0,0,0,0,0,0,686.8614611649442,611.2408877873158,0.0,2020-11-08,Israel,,Plan 1
52,0,0,0,0,0,0,0,0,0,0,0,0,758.9922303361568,633.5846737375325,0.0,2020-11-09,Israel,,Plan 1
53,0,0,0,0,0,0,0,0,0,0,0,0,849.061671389734,669.8156794139421,0.0,2020-11-10,Israel,,Plan 1
54,0,0,0,0,0,0,0,0,0,0,0,0,959.0559548386666,722.8381962801648,0.0,2020-11-11,Israel,,Plan 1
55,0,0,0,0,0,0,0,0,0,0,0,0,1091.667465069647,795.9247738978769,0.0,2020-11-12,Israel,,Plan 1
56,0,0,0,0,0,0,0,0,0,0,0,0,1250.2536748503949,889.6483805491473,0.0,2020-11-13,Israel,,Plan 1
57,0,0,0,0,0,0,0,0,0,0,0,0,1438.8764046639246,1004.9669803304954,0.0,2020-11-14,Israel,,Plan 1
58,0,0,0,0,0,0,0,0,0,0,0,0,1662.3801345422796,1144.326790812972,0.0,2020-11-15,Israel,,Plan 1
59,0,0,0,0,0,0,0,0,0,0,0,0,1926.4971410445069,1311.1132066284506,0.0,2020-11-16,Israel,,Plan 1
60,0,0,0,0,0,0,0,0,0,0,0,0,2237.9766176443413,1509.529627521966,0.0,2020-11-17,Israel,,Plan 1
61,3,3,2,4,2,3,2,4,2,3,2,4,3163.7877442409363,1801.540731780391,0.4745260714285701,2020-09-18,Israel,,Plan 2
62,3,3,2,4,2,3,2,4,2,3,2,4,2467.982940508543,1801.540731780391,0.4745260714285701,2020-09-19,Israel,,Plan 2
63,3,3,2,4,2,3,2,4,2,3,2,4,1987.6564468771096,1801.540731780391,0.4745260714285701,2020-09-20,Israel,,Plan 2
64,3,3,2,4,2,3,2,4,2,3,2,4,1625.9677840212053,1801.540731780391,0.4745260714285701,2020-09-21,Israel,,Plan 2
65,3,3,2,4,2,3,2,4,2,3,2,4,1339.9045410876322,1801.540731780391,0.4745260714285701,2020-09-22,Israel,,Plan 2
66,3,3,2,4,2,3,2,4,2,3,2,4,1107.9329830511156,1801.540731780391,0.4745260714285701,2020-09-23,Israel,,Plan 2
67,3,3,2,4,2,3,2,4,2,3,2,4,917.5526826761961,1801.540731780391,0.4745260714285701,2020-09-24,Israel,,Plan 2
68,3,3,2,4,2,3,2,4,2,3,2,4,760.4269773802228,1458.2034793717175,0.4745260714285701,2020-09-25,Israel,,Plan 2
69,3,3,2,4,2,3,2,4,2,3,2,4,630.4111883771074,1195.6932290672269,0.4745260714285701,2020-09-26,Israel,,Plan 2
70,3,3,2,4,2,3,2,4,2,3,2,4,522.7005946541196,986.4138216067998,0.4745260714285701,2020-09-27,Israel,,Plan 2
71,3,3,2,4,2,3,2,4,2,3,2,4,433.42070212553904,816.0499527645618,0.4745260714285701,2020-09-28,Israel,,Plan 2
72,3,3,2,4,2,3,2,4,2,3,2,4,359.3999482207945,675.9778680692992,0.4745260714285701,2020-09-29,Israel,,Plan 2
73,3,3,2,4,2,3,2,4,2,3,2,4,298.0238122295441,560.276557951932,0.4745260714285701,2020-09-30,Israel,,Plan 2
74,3,3,2,4,2,3,2,4,2,3,2,4,247.12995927042576,464.50188317967906,0.4745260714285701,2020-10-01,Israel,,Plan 2
75,3,3,2,4,2,3,2,4,2,3,2,4,204.92737899504644,385.14479769608243,0.4745260714285701,2020-10-02,Israel,,Plan 2
76,3,3,2,4,2,3,2,4,2,3,2,4,169.93162654218995,319.3620031482371,0.4745260714285701,2020-10-03,Israel,,Plan 2
77,3,3,2,4,2,3,2,4,2,3,2,4,140.911981572335,264.8207727079821,0.4745260714285701,2020-10-04,Israel,,Plan 2
78,3,3,2,4,2,3,2,4,2,3,2,4,116.84794955046384,219.59609376868568,0.4745260714285701,2020-10-05,Israel,,Plan 2
79,3,3,2,4,2,3,2,4,2,3,2,4,96.89330719938668,182.0951450513417,0.4745260714285701,2020-10-06,Israel,,Plan 2
80,3,3,2,4,2,3,2,4,2,3,2,4,80.34632850727536,150.99836166244614,0.4745260714285701,2020-10-07,Israel,,Plan 2
81,3,3,2,4,2,3,2,4,2,3,2,4,66.62510835408202,125.21195438868277,0.4745260714285701,2020-10-08,Israel,,Plan 2
82,3,3,2,4,2,3,2,4,2,3,2,4,55.24710354916005,103.82905789641327,0.4745260714285701,2020-10-09,Israel,,Plan 2
83,3,3,2,4,2,3,2,4,2,3,2,4,45.81216789994434,86.09770666180677,0.4745260714285701,2020-10-10,Israel,,Plan 2
84,3,3,2,4,2,3,2,4,2,3,2,4,37.98848377397214,71.3943498334692,0.4745260714285701,2020-10-11,Israel,,Plan 2
85,3,3,2,4,2,3,2,4,2,3,2,4,31.500895425701913,59.20191352993179,0.4745260714285701,2020-10-12,Israel,,Plan 2
86,3,3,2,4,2,3,2,4,2,3,2,4,26.121234060406465,49.091617367220316,0.4745260714285701,2020-10-13,Israel,,Plan 2
87,3,3,2,4,2,3,2,4,2,3,2,4,21.66029465899475,40.70789824603738,0.4745260714285701,2020-10-14,Israel,,Plan 2
88,3,3,2,4,2,3,2,4,2,3,2,4,17.961182622376413,33.75590885579373,0.4745260714285701,2020-10-15,Israel,,Plan 2
89,3,3,2,4,2,3,2,4,2,3,2,4,14.893796408745068,27.9911506928773,0.4745260714285701,2020-10-16,Israel,,Plan 2
90,3,3,2,4,2,3,2,4,2,3,2,4,12.350252239413571,23.21087702708719,0.4745260714285701,2020-10-17,Israel,,Plan 2
91,3,3,2,4,2,3,2,4,2,3,2,4,10.241090043664265,19.246963637043205,0.4745260714285701,2020-10-18,Israel,,Plan 2
92,3,3,2,4,2,3,2,4,2,3,2,4,8.49212726241463,15.959996756573593,0.4745260714285701,2020-10-19,Israel,,Plan 2
93,3,3,2,4,2,3,2,4,2,3,2,4,7.041849897014706,13.23437044751763,0.4745260714285701,2020-10-20,Israel,,Plan 2
94,3,3,2,4,2,3,2,4,2,3,2,4,5.839249071596684,10.974221077889336,0.4745260714285701,2020-10-21,Israel,,Plan 2
95,3,3,2,4,2,3,2,4,2,3,2,4,4.842027037411576,9.100055994322929,0.4745260714285701,2020-10-22,Israel,,Plan 2
96,3,3,2,4,2,3,2,4,2,3,2,4,4.0151095350026225,7.545957869502579,0.4745260714285701,2020-10-23,Israel,,Plan 2
97,3,3,2,4,2,3,2,4,2,3,2,4,3.329412200752241,6.257266435408104,0.4745260714285701,2020-10-24,Israel,,Plan 2
98,3,3,2,4,2,3,2,4,2,3,2,4,2.760817636482826,5.188656091525041,0.4745260714285701,2020-10-25,Israel,,Plan 2
99,3,3,2,4,2,3,2,4,2,3,2,4,2.2893271681075147,4.30254179233831,0.4745260714285701,2020-10-26,Israel,,Plan 2
100,3,3,2,4,2,3,2,4,2,3,2,4,1.8983574620378338,3.5677571587701853,0.4745260714285701,2020-10-27,Israel,,Plan 2
101,3,3,2,4,2,3,2,4,2,3,2,4,1.574157262001076,2.958458328827956,0.4745260714285701,2020-10-28,Israel,,Plan 2
102,3,3,2,4,2,3,2,4,2,3,2,4,1.3053237331561918,2.453214999648615,0.4745260714285701,2020-10-29,Israel,,Plan 2
103,3,3,2,4,2,3,2,4,2,3,2,4,1.082401403975691,2.0342566952161962,0.4745260714285701,2020-10-30,Israel,,Plan 2
104,3,3,2,4,2,3,2,4,2,3,2,4,0.8975495964642423,1.6868477517464822,0.4745260714285701,2020-10-31,Israel,,Plan 2
105,3,3,2,4,2,3,2,4,2,3,2,4,0.7442666564342933,1.3987690403109776,0.4745260714285701,2020-11-01,Israel,,Plan 2
106,3,3,2,4,2,3,2,4,2,3,2,4,0.6171612764438205,1.1598881986447354,0.4745260714285701,2020-11-02,Israel,,Plan 2
107,3,3,2,4,2,3,2,4,2,3,2,4,0.5117628717126876,0.9618032571697147,0.4745260714285701,2020-11-03,Israel,,Plan 2
108,3,3,2,4,2,3,2,4,2,3,2,4,0.4243643402316314,0.7975471254883654,0.4745260714285701,2020-11-04,Israel,,Plan 2
109,3,3,2,4,2,3,2,4,2,3,2,4,0.35189165747832835,0.6613425432486706,0.4745260714285701,2020-11-05,Israel,,Plan 2
110,3,3,2,4,2,3,0,4,2,3,2,4,0.2930713365748284,0.5485811050485474,0.39631178571428455,2020-11-06,Israel,,Plan 2
111,3,3,2,4,2,3,0,4,2,3,2,4,0.2447677296781518,0.45532655265053446,0.39631178571428455,2020-11-07,Israel,,Plan 2
112,3,3,2,4,2,3,0,4,2,3,2,4,0.20481837119862337,0.37826251190258164,0.39631178571428455,2020-11-08,Israel,,Plan 2
113,3,3,2,4,2,3,0,4,2,3,2,4,0.17162761429787032,0.3146148458817316,0.39631178571428455,2020-11-09,Israel,,Plan 2
114,3,3,2,4,2,3,0,4,2,3,2,4,0.14396588563389923,0.26207241929904757,0.39631178571428455,2020-11-10,Israel,,Plan 2
115,3,3,2,4,2,3,0,4,2,3,2,4,0.12086002121601615,0.21871465943967397,0.39631178571428455,2020-11-11,Israel,,Plan 2
116,3,3,2,4,2,3,0,4,2,3,2,4,0.101526807394842,0.18294825228489017,0.39631178571428455,2020-11-12,Israel,,Plan 2
117,3,3,2,4,2,3,0,4,2,3,2,4,0.0853289564279023,0.15327076940675788,0.39631178571428455,2020-11-13,Israel,,Plan 2
118,3,3,2,4,2,3,0,4,2,3,2,4,0.07174394971482789,0.12855308655485448,0.39631178571428455,2020-11-14,Israel,,Plan 2
119,3,3,2,4,2,3,0,4,2,3,2,4,0.060340967278538764,0.10791345742341382,0.39631178571428455,2020-11-15,Israel,,Plan 2
120,3,3,2,4,2,3,0,4,2,3,2,4,0.05076327485828265,0.09064712321775843,0.39631178571428455,2020-11-16,Israel,,Plan 2
121,3,3,2,4,2,3,0,4,2,3,2,4,0.04271449369854623,0.07618263865556515,0.39631178571428455,2020-11-17,Israel,,Plan 2
122,3,3,2,4,2,3,0,4,2,3,2,4,3208.47622220084,1895.040510392846,0.39631178571428455,2020-09-18,Israel,,Plan 3
123,3,3,2,4,2,3,0,4,2,3,2,4,2544.382756778846,1895.040510392846,0.39631178571428455,2020-09-19,Israel,,Plan 3
124,3,3,2,4,2,3,0,4,2,3,2,4,2083.843095165305,1895.040510392846,0.39631178571428455,2020-09-20,Israel,,Plan 3
125,3,3,2,4,2,3,0,4,2,3,2,4,1732.9104738796693,1895.040510392846,0.39631178571428455,2020-09-21,Israel,,Plan 3
126,3,3,2,4,2,3,0,4,2,3,2,4,1451.1636352860867,1895.040510392846,0.39631178571428455,2020-09-22,Israel,,Plan 3
127,3,3,2,4,2,3,0,4,2,3,2,4,1219.0375367736028,1895.040510392846,0.39631178571428455,2020-09-23,Israel,,Plan 3
128,3,3,2,4,2,3,0,4,2,3,2,4,1025.4698526655727,1895.040510392846,0.39631178571428455,2020-09-24,Israel,,Plan 3
129,3,0,2,4,2,0,0,4,2,3,2,4,883.9830995414505,1562.9700642986477,0.12386535714285621,2020-09-25,Israel,,Plan 3
130,3,0,2,4,2,0,0,4,2,3,2,4,772.2697116230132,1309.8110578478143,0.12386535714285621,2020-09-26,Israel,,Plan 3
131,3,0,2,4,2,0,0,4,2,3,2,4,680.0622127124085,1109.2709317831147,0.12386535714285621,2020-09-27,Israel,,Plan 3
132,3,0,2,4,2,0,0,4,2,3,2,4,602.0098945392127,947.7137061630496,0.12386535714285621,2020-09-28,Israel,,Plan 3
133,3,0,2,4,2,0,0,4,2,3,2,4,534.9173453215739,816.8213790252621,0.12386535714285621,2020-09-29,Israel,,Plan 3
134,3,0,2,4,2,0,0,4,2,3,2,4,476.6485845905481,710.7658144276829,0.12386535714285621,2020-09-30,Israel,,Plan 3
135,3,0,2,4,2,0,0,4,2,3,2,4,425.661616103598,625.0789234902578,0.12386535714285621,2020-10-01,Israel,,Plan 3
136,3,0,2,4,2,0,0,4,2,3,2,4,380.7879048681448,553.1938956797856,0.12386535714285621,2020-10-02,Israel,,Plan 3
137,3,0,2,4,2,0,0,4,2,3,2,4,341.1135727332727,491.60016155267977,0.12386535714285621,2020-10-03,Israel,,Plan 3
138,3,0,2,4,2,0,0,4,2,3,2,4,305.90759827848495,438.1495023478336,0.12386535714285621,2020-10-04,Israel,,Plan 3
139,3,0,2,4,2,0,0,4,2,3,2,4,274.5746857651784,391.37304395154297,0.12386535714285621,2020-10-05,Israel,,Plan 3
140,3,0,2,4,2,0,0,4,2,3,2,4,246.62267247981157,350.1880906884341,0.12386535714285621,2020-10-06,Israel,,Plan 3
141,3,0,2,4,2,0,0,4,2,3,2,4,221.63925236601492,313.7581860849294,0.12386535714285621,2020-10-07,Israel,,Plan 3
142,3,0,2,4,2,0,0,4,2,3,2,4,199.27499458603543,281.417240153849,0.12386535714285621,2020-10-08,Israel,,Plan 3
143,3,0,2,4,2,0,0,4,2,3,2,4,179.23075064709028,252.6233609794126,0.12386535714285621,2020-10-09,Israel,,Plan 3
144,3,0,2,4,2,0,0,4,2,3,2,4,161.24817878940178,226.92830470171677,0.12386535714285621,2020-10-10,Israel,,Plan 3
145,3,0,2,4,2,0,0,4,2,3,2,4,145.10251480481278,203.95614991976362,0.12386535714285621,2020-10-11,Israel,,Plan 3
146,3,0,2,4,2,0,0,4,2,3,2,4,130.59697898488758,183.38790609400777,0.12386535714285621,2020-10-12,Israel,,Plan 3
147,3,0,2,4,2,0,0,4,2,3,2,4,117.55838748367516,164.95015109455971,0.12386535714285621,2020-10-13,Israel,,Plan 3
148,3,0,2,4,2,0,0,4,2,3,2,4,105.83365937085048,148.40649495239336,0.12386535714285621,2020-10-14,Israel,,Plan 3
149,3,0,2,4,2,0,0,4,2,3,2,4,95.28700020298473,133.55106718338612,0.12386535714285621,2020-10-15,Israel,,Plan 3
150,3,0,2,4,2,0,0,0,2,3,2,4,87.61648653705875,120.46331516766733,0.0743296428571422,2020-10-16,Israel,,Plan 3
151,3,0,2,4,2,0,0,0,2,3,2,4,81.59966741131461,109.08495639936915,0.0743296428571422,2020-10-17,Israel,,Plan 3
152,3,0,2,4,2,0,0,0,2,3,2,4,76.648477781863,99.30580825323348,0.0743296428571422,2020-10-18,Israel,,Plan 3
153,3,0,2,4,2,0,0,0,2,3,2,4,72.44539642940933,90.99843931673658,0.0743296428571422,2020-10-19,Israel,,Plan 3
154,3,0,2,4,2,0,0,0,2,3,2,4,68.79744560230374,84.03259047654068,0.0743296428571422,2020-10-20,Israel,,Plan 3
155,3,0,2,4,2,0,0,0,2,3,2,4,65.57589137698058,78.28148076313069,0.0743296428571422,2020-10-21,Israel,,Plan 3
156,3,0,2,4,2,0,0,0,2,3,2,4,62.68946564428101,73.62469011188729,0.0743296428571422,2020-10-22,Israel,,Plan 3
157,2,0,2,1,2,0,0,0,2,3,2,4,60.7519987618604,69.7869061440018,0.050539464285713806,2020-10-23,Israel,,Plan 3
158,2,0,2,1,2,0,0,0,2,3,2,4,59.384868724938855,66.61336347451956,0.050539464285713806,2020-10-24,Israel,,Plan 3
159,2,0,2,1,2,0,0,0,2,3,2,4,58.40273918590582,64.00682938938282,0.050539464285713806,2020-10-25,Israel,,Plan 3
160,2,0,2,1,2,0,0,0,2,3,2,4,57.70069525779666,61.900443507723864,0.050539464285713806,2020-10-26,Israel,,Plan 3
161,2,0,2,1,2,0,0,0,2,3,2,4,57.2111410749515,60.24525714667355,0.050539464285713806,2020-10-27,Israel,,Plan 3
162,2,0,2,1,2,0,0,0,2,3,2,4,56.88646458653239,59.0039104623238,0.050539464285713806,2020-10-28,Israel,,Plan 3
163,2,0,2,1,2,0,0,0,2,3,2,4,56.69133535689512,58.14703470698297,0.050539464285713806,2020-10-29,Israel,,Plan 3
164,2,0,2,1,2,0,0,0,2,3,2,4,56.59877929144215,57.55371763978035,0.050539464285713806,2020-10-30,Israel,,Plan 3
165,2,0,2,1,2,0,0,0,2,3,2,4,56.58787437458137,57.15414701830072,0.050539464285713806,2020-10-31,Israel,,Plan 3
166,2,0,2,1,2,0,0,0,2,3,2,4,56.642239482638914,56.90264706069116,0.050539464285713806,2020-11-01,Israel,,Plan 3
167,2,0,2,1,2,0,0,0,2,3,2,4,56.748969830503555,56.76668628536357,0.050539464285713806,2020-11-02,Israel,,Plan 3
168,2,0,2,1,2,0,0,0,2,3,2,4,56.897854686379375,56.72193108699612,0.050539464285713806,2020-11-03,Israel,,Plan 3
169,2,0,2,1,2,0,0,0,2,3,2,4,57.08078852166878,56.749691649158464,0.050539464285713806,2020-11-04,Israel,,Plan 3
170,2,0,2,1,2,0,0,0,2,3,2,4,57.2913203991202,56.835403798047764,0.050539464285713806,2020-11-05,Israel,,Plan 3
171,0,0,0,0,0,0,0,0,0,0,0,0,59.35148824172873,57.228647933802996,0.0,2020-11-06,Israel,,Plan 3
172,0,0,0,0,0,0,0,0,0,0,0,0,63.61438762981881,58.232435541694045,0.0,2020-11-07,Israel,,Plan 3
173,0,0,0,0,0,0,0,0,0,0,0,0,69.63110317866607,60.08798749826936,0.0,2020-11-08,Israel,,Plan 3
174,0,0,0,0,0,0,0,0,0,0,0,0,77.3672324328057,63.03345358431252,0.0,2020-11-09,Israel,,Plan 3
175,0,0,0,0,0,0,0,0,0,0,0,0,86.9565022487813,67.32754609322708,0.0,2020-11-10,Israel,,Plan 3
176,0,0,0,0,0,0,0,0,0,0,0,0,98.62471102919606,73.26239216573097,0.0,2020-11-11,Israel,,Plan 3
177,0,0,0,0,0,0,0,0,0,0,0,0,112.66939517805349,81.17354570557859,0.0,2020-11-12,Israel,,Plan 3
178,0,0,0,0,0,0,0,0,0,0,0,0,129.45835592754156,91.18881251783758,0.0,2020-11-13,Israel,,Plan 3
179,0,0,0,0,0,0,0,0,0,0,0,0,149.43555143003644,103.44897877501151,0.0,2020-11-14,Israel,,Plan 3
180,0,0,0,0,0,0,0,0,0,0,0,0,173.13092118267852,118.234667061299,0.0,2020-11-15,Israel,,Plan 3
181,0,0,0,0,0,0,0,0,0,0,0,0,201.17321879421831,135.9212365415008,0.0,2020-11-16,Israel,,Plan 3
182,0,0,0,0,0,0,0,0,0,0,0,0,234.3057756987249,156.97113274863563,0.0,2020-11-17,Israel,,Plan 3
183,3,0,2,4,2,0,0,4,2,3,2,4,3423.18963242973,2400.716211461841,0.12386535714285621,2020-09-18,Israel,,Plan 4
184,3,0,2,4,2,0,0,4,2,3,2,4,2921.0733258840887,2400.716211461841,0.12386535714285621,2020-09-19,Israel,,Plan 4
185,3,0,2,4,2,0,0,4,2,3,2,4,2573.823904551224,2400.716211461841,0.12386535714285621,2020-09-20,Israel,,Plan 4
186,3,0,2,4,2,0,0,4,2,3,2,4,2298.129625734416,2400.716211461841,0.12386535714285621,2020-09-21,Israel,,Plan 4
187,3,0,2,4,2,0,0,4,2,3,2,4,2062.868103568365,2400.716211461841,0.12386535714285621,2020-09-22,Israel,,Plan 4
188,3,0,2,4,2,0,0,4,2,3,2,4,1855.5417773487172,2400.716211461841,0.12386535714285621,2020-09-23,Israel,,Plan 4
189,3,0,2,4,2,0,0,4,2,3,2,4,1670.3871107163463,2400.716211461841,0.12386535714285621,2020-09-24,Israel,,Plan 4
190,3,0,2,4,2,0,0,4,2,3,2,4,1504.1541534681548,2126.5682858959017,0.12386535714285621,2020-09-25,Israel,,Plan 4
191,3,0,2,4,2,0,0,4,2,3,2,4,1354.600482695405,1902.7864511546613,0.12386535714285621,2020-09-26,Israel,,Plan 4
